證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 零用金／週轉金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 在途原物料,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地成本,　　　　　 累計減損－土地,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良成本,　　　　　 累計折舊－租賃改良,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收款,　　　　　 長期應收票據及款項淨額,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收款－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 員工福利負債準備－流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債,　　　　　 應付公司債溢（折）價,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－轉換公司債轉換溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　　 待分配股票股利,　　　　 庫存現金,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 員工福利負債準備－流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－土地增值稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 採用權益法之投資貸餘,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 待分配股票股利,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他長期投資（淨額）,　　　　　 累計減損－其他長期投資,　　　　　 其他長期投資（淨額）,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 庫藏股票
4414,2015年09月30日,,,,                  2346,                345076,                347422,,                  1089,                  1089,,                313402,,                361253,                 24574,                336679,,,                 35532,                 35532,,                 43973,                961738,                 69989,                  4560,              1080260,              1115792,,                146363,,                 22517,              2283264,,,                170000,                170000,,                 74605,,,                269813,                 31000,                238813,,                594186,                293128,                301058,,                683864,                591020,                 92844,,                 16582,                 10840,                  5742,,                 13589,                 11237,                  2352,,                  2181,                    485,                  1696,,                 44837,                 35238,                  9599,                652104,,,                  4767,                  4767,                  4767,                  1026,,                              0,                 12676,,                 98430,                 98430,,                  3763,                  3763,,                  2128,                  2128,                116997,              1019499,              3302763,,,,,                424449,,                    678,,                219571,,                157175,                  5100,                    712,,                    745,                    745,,,                 24653,                 24653,                 36283,                 60936,                869366,,,                990000,                -82576,                907424,,                              0,,                 10058,,                  2249,                 15074,                 17323,                934805,              1804171,,,,              1367675,              1367675,,,                226794,                 22770,                249564,                  2044,                 28291,                279899,,                 22341,                              0,,               -130630,               -108289,,,                 41052,                 41052,                 90815,              1489522,                  9070,              1498592,              3302763,              0,      6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4414,2015年06月30日,,,,                    762,                461533,                462295,,                 14715,                 15408,,                287662,,                361193,                 18351,                342842,,,                 33185,                 33185,,                 51173,                871212,                 62843,                    992,                986220,              1019405,,                152614,,                 25494,              2309201,,,                170000,                170000,,                 76620,,,                259311,                 31000,                228311,,                546039,                271636,                274403,,                624755,                549702,                 75053,,                 14895,                  9848,                  5047,,                 12358,                 10354,                  2004,,                  2181,                    394,                  1787,,                 38068,                 32655,                  5413,                592018,,,                  4585,                  4585,                  4585,                  1463,,                              0,                  6418,,                101397,                101397,,                    335,                    335,,                  2775,                  2775,                110925,                955611,              3264812,,,,,                364508,,                  3992,,                205487,,                137052,,                    819,,                  1428,                  1428,,,                 30860,                 30860,                  5616,                 36476,                749762,,,                990000,                -91505,                898495,,                              0,,                  3466,,                  2111,                 22611,                 24722,                926683,              1676445,,,,              1315072,              1367675,,,                226794,                 22770,                249564,                  2044,                 28291,                279899,,                 22341,                              0,,               -109613,                -87272,,,                  8870,                  8870,,              1569172,                 19195,              1588367,              3264812,              0,              0,                    693,,                  3481,                 52603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4414,2015年03月31日,,,,,                437126,                438705,,                  1287,                  1287,,                256340,,                376050,                 15575,                360475,,,                 23763,                 23763,,                 53114,                870289,                 66463,                              0,                989866,              1013629,,                115496,,                 25120,              2211052,,,,,,                 78756,,,                261610,                 31000,                230610,,                553336,                270309,                283027,,                635003,                556094,                 78909,,                 15410,                  9764,                  5646,,                 12351,                 10191,                  2160,,                  2181,                    303,                  1878,,                 38065,                 32339,                  5726,                607956,,,                  4877,                  4877,                  4877,                  1407,,                              0,                  6440,,                152192,                152192,,,,,                  1479,                  1479,                160111,                853107,              3064159,,,,,                104844,,                  2524,,                148615,,                133694,                  2287,                 31942,,                  1402,                  1402,,,                 31300,                 31300,                 27383,                 58683,                483991,,,                990000,               -100435,                889565,,                  7825,,                  5088,,                  2054,                 22611,                 24665,                927143,              1411134,,,,              1315072,              1315072,,,                226794,                 22770,                249564,                  2044,                 28291,                279899,,                 19402,                  9805,,                 -8067,                 21140,,,                 16789,                 16789,,              1632900,                 20125,              1653025,              3064159,              0,              0,,,,,                  1579,,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4414,2014年12月31日,,,,                  1506,                329014,                330520,,                 30000,                 30000,,                456970,,                446231,                  6217,                440014,,,                              0,                              0,,                 73245,                837742,                 71085,                    457,                982529,                982529,,                 66061,,                 50460,              2356554,,,                              0,                              0,,                              0,,,                263439,                 31000,                232439,,                559142,                268143,                290999,,                641440,                557666,                 83774,,                 15610,                  9387,                  6223,,                 11603,                  9994,                  1609,,                  2181,                    212,                  1969,,                 37680,                 31942,                  5738,                622751,,,                  1880,                  1880,                  1880,                    965,,                  2851,                  6505,,                 31645,                 31645,,                              0,                              0,,                  1495,                  1495,                 42496,                668092,              3024646,,,,,              1027910,,                  4316,,                105605,,                108030,                              0,                 36488,,                  1344,                  1344,,,                 31169,                 31169,                  1284,                 32453,              1316146,,,                              0,                              0,                              0,,                 15253,,                  6394,,                  2033,                              0,                  2033,                 23680,              1339826,,,,              1315072,              1315072,,,                226794,                 22770,                249564,                  2044,                              0,                251608,,                 19402,                  9805,,                 46270,                 75477,,,                 23165,                 23165,                              0,              1665322,                 19498,              1684820,              3024646,              0,              0,                              0,,                              0,                              0,                  1506,,                              0,                              0,              0,                330520,                456970,                              0,                              0,              3024646,,,,              1027910,,                              0,,                  4316,,                105605,,                108030,                              0,                 36488,,                  1344,                  1344,,,                              0,                 31169,                 31169,                  1284,                 32453,              1316146,,,                              0,,                 15253,,                  6394,                  6394,,                  2033,                              0,                  2033,                 23680,              1339826,,,,              1315072,                              0,                              0,              1315072,,,                226794,                 22770,                249564,                  2044,                              0,                251608,,                 19402,                  9805,,                 46270,                 75477,,,                 23165,                 23165,              1665322,                 19498,              1684820,,,,,,
4414,2014年09月30日,,,,                  1294,                294537,                295831,,                              0,                              0,,                454756,,                383100,                 23320,                359780,,,                              0,                              0,,                145376,                821868,                102607,                 11162,              1081013,              1081013,,                 96532,,                 63850,              2351762,,,                              0,                              0,,                              0,,,                257012,                 31000,                226012,,                538742,                253776,                284966,,                615980,                531425,                 84555,,                 13154,                  8679,                  4475,,                 11143,                  9335,                  1808,,                  2181,                    121,                  2060,,                 36507,                 30441,                  6066,                609942,,,                  1924,                  1924,                  1924,                  1010,,                              0,                  8393,,                              0,                              0,,                              0,                              0,,                  5008,                  5008,                 13401,                626277,              2978039,,,,,              1002684,,                  3356,,                 95197,,                 85739,                 27565,                 26690,,                  1307,                  1307,,,                 30420,                 30420,                  6264,                 36684,              1279222,,,                              0,                              0,                              0,,                 22815,,                  1753,,                  1948,                              0,                  1948,                 26516,              1305738,,,,              1315072,              1315072,,,                226794,                 22770,                249564,                  2044,                              0,                251608,,                 19402,                  9805,,                 55532,                 84739,,,                    194,                    194,                              0,              1651613,                 20688,              1672301,              2978039,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4414,2014年06月30日,,,,                    995,                353380,                354375,,                 10024,                 10024,,                400000,,                358888,                 29233,                329655,,,                              0,                              0,,                 25925,                922163,                101684,                    581,              1050353,              1050353,,                 80325,,                 59641,              2284373,,,                              0,                              0,,                              0,,,                254138,                 31000,                223138,,                529620,                244875,                284745,,                601624,                517418,                 84206,,                 12940,                  8207,                  4733,,                 10896,                  8934,                  1962,,                  2181,                     30,                  2151,,                 35991,                 29166,                  6825,                607760,,,                  2073,                  2073,                  2073,                  4224,,                  3920,                  2552,,                              0,                              0,,                              0,                              0,,                 46216,                 46216,                 52688,                666745,              2951118,,,,,                975517,,                  5068,,                117791,,                120736,,                 22002,,                  1262,                  1262,,,                 29870,                 29870,                  1861,                 31731,              1274107,,,                              0,                              0,                              0,,                 29870,,                  1713,,                  1896,                              0,                  1896,                 33479,              1307586,,,,              1240634,              1315072,,,                226794,                 22770,                249564,                  2044,                              0,                251608,,                 19402,                  9805,,                 56312,                 85519,,,                 -8667,                 -8667,,              1643532,                              0,              1643532,              2951118,              0,              0,                              0,,                              0,                 74438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4414,2014年03月31日,,,,,                567751,                568316,,                              0,                              0,,                  6000,,                312983,                 29656,                283327,,,                              0,                              0,,                 29613,                861714,                111357,                              0,              1002684,              1002684,,                 28968,,                 12178,              1901473,,,,,,                              0,,,                257273,                 31000,                226273,,                535362,                244621,                290741,,                588752,                515529,                 73223,,                 12317,                  7419,                  4898,,                  9506,                  8515,                    991,,                              0,                              0,                              0,,                 35822,                 28646,                  7176,                603302,,,                  2223,                  2223,                  2223,                    557,,                    914,                  2579,,                              0,                              0,,,,,                 47145,                 47145,                 50638,                672720,              2574193,,,,,                156887,,                  2949,,                 60267,,                118768,                              0,                 13106,,                  1354,                  1354,,,                468535,                468535,                  1469,                470004,                823335,,,                              0,                              0,                              0,,                742887,,                  1772,,                  1812,                              0,                  1812,                746471,              1569806,,,,                790634,                790634,,,                 18034,                 22770,                 40804,                  2044,                              0,                 42848,,                 10417,                 56162,,                104039,                170618,,,                    287,                    287,,              1004387,                              0,              1004387,              2574193,              0,              0,,,,,                    565,,                 16000,                 16000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4414,2013年12月31日,,,,                  1062,                414107,,,                              0,                              0,,,,                550229,                 29191,                521038,,,                              0,                              0,,                 22638,                901599,                 91226,                 17879,              1033342,              1033342,,                 75307,,                 18435,              2076791,,,,,,,,,                253825,                 31000,                222825,,                524506,                235090,                289416,,                557247,                500537,                 56710,,                 12089,                  7654,                  4435,,                  9196,                  8123,                  1073,,                              0,                              0,                              0,,                 43364,                 36710,                  6654,                581113,,,                  2277,                  2277,                  2277,                  2009,,                              0,                  2140,,                              0,                              0,,,,,                  4431,                  4431,                  6571,                607970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,              0,                415169,                 13500,                 16000,                 16000,              2684761,,,,                175001,,                              0,,                  4504,,                179297,,                125755,                              0,                    657,,                  1349,                  1349,,,                              0,                 93502,                 93502,                    809,                 94311,                580874,,,                              0,,              1156325,,                  1915,                  1915,,                    770,                              0,                    770,              1159010,              1739884,,,,                790634,                              0,                              0,                790634,,,                 18034,                 22770,                 40804,                  2044,                              0,                 42848,,                 10417,                 56162,,                 54621,                121200,,,                 -9805,                 -9805,                944877,                              0,                944877,,,,,,
4414,2013年09月30日,,,,                  9974,                247941,,,                    171,                    171,,,,                431792,                 49659,                382133,,,,,,                 30693,                975826,                101982,                 32266,              1140767,              1140767,,                 88094,,                 12091,              1894671,,,,,,,,,                252570,,                252570,,                520559,                228649,                291910,,                547877,                495897,                 51980,,                 10623,                  7387,                  3236,,                  9014,                  7799,                  1215,,                              0,                              0,                              0,,                 42906,                 35935,                  6971,                607882,,,                  2421,                  2421,                  2421,                  3167,,,                  1536,,,,,,,,                  3273,                  3273,                -26191,                793279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      3711598,              0,,,,,,,,,              0,                257915,                 13500,                206000,                206000,              2687950,,,,                118774,,,,                  6267,,                117768,,                127516,                              0,                              0,,                  1548,                  1548,,,                147707,                108431,                256138,                  1626,                257764,                629637,,,,,              1266839,,                  1650,                  1650,,                    350,,                    350,              1268839,              1898476,,,,                621307,                 41965,                              0,                663272,,,                 18034,                    938,                 18972,                              0,                 19406,                 38378,,                 10417,                 56162,,                 34949,                101528,,,                -13704,                -13704,                789474,                              0,                789474,,                 31000,                -31000,,,
4414,2013年06月30日,,,,                    971,                192481,,,                    116,                    116,,,,                505476,                 50262,                455214,,,,,,                 30513,                962495,                106164,                 19319,              1118491,              1118491,,                 76742,,                 10049,              1860064,,,,,,,,,                254817,,                254817,,                527632,                226904,                300728,,                600669,                540914,                 59755,,                 10674,                  7246,                  3428,,                  8892,                  7625,                  1267,,                              0,                              0,                              0,,                 43608,                 36232,                  7376,                627371,,,                    705,                    705,                    705,                  1404,,                              0,                  1598,,,,,,,,                  3328,                  3328,                -26074,                846906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,        568803,              0,,,,,,,,,              0,                193452,                  6000,                243500,                243500,              2706970,,,,                157105,,,,                  6795,,                 81780,,                127270,,                              0,,                  1907,                  1907,,,                182591,                120895,                303486,                  2778,                306264,                681121,,,,,              1290002,,                  1650,                  1650,,                    355,,                    355,              1292007,              1973128,,,,                586304,                  6618,                 29315,                622237,,,                 18034,                      7,                 18041,                              0,                 24298,                 42339,,                 10417,                 56162,,                  9369,                 75948,,,                 -6682,                 -6682,                733842,,                733842,,                 31000,                -31000,,,
