證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 應收退稅款,　　　　 存出保證金,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　 庫藏股票,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 工程存出保證金,　　　　　 其他金融資產－其他－非流動,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　 非控制權益
2460,2015年09月30日,,,,              1485892,,                              0,,                 29118,,                197904,,              1027185,,                    655,                    655,,                  2185,,,                670458,                670458,,                489592,                 89710,                579302,              3992699,,,              2141698,                 82971,,                 69216,,                  3398,                103277,,                  7357,                  7357,                183248,              2407917,              6400616,,,,,                871612,,                              0,,                228654,,                366920,,                197227,                197227,                  8518,,                  2908,,,                674655,                  4949,                679604,              2355443,,,                770000,,                105422,,                 75311,                 75311,                950733,              3306176,,,,              1715980,              1715980,,                270187,,                338662,,                334220,                672882,,                450344,                 14953,              3094440,              3094440,              6400616,              0,              0,      1613000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,2015年06月30日,,,,              1430714,,                              0,,                 80796,,                211871,,                966985,,,                 17718,,                  2185,,,                643522,                643522,,                393894,                 61983,                455877,              3809668,,,              2053910,                 90512,,                 50976,,                  3321,                 99770,,                  7234,                  7234,                161301,              2305723,              6115391,,,,,                777070,,                              0,,                144252,,                293175,,                174626,                208946,                  7471,,                  1358,,,                694615,                  3066,                697681,              2129953,,,                808750,,                 87345,,                 75317,                 75317,                971412,              3101365,,,,              1715980,              1715980,,                270187,,                338662,,                357608,                696270,,                331589,,              3014026,              3014026,              6115391,              0,              0,              0,                 34320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,2015年03月31日,,,,              1342194,,                              0,,                  1203,,                213553,,                907679,,                 14369,                 29656,,                  2279,,,                731231,                731231,,                365632,                 58769,                424401,              3652196,,,              2076121,                 76392,,                 36903,,,                102331,,                  7739,                  7739,                150319,              2302832,              5955028,,,,,                772366,,                              0,,                109758,,                260910,,                170569,                170569,                  2952,,                  1084,,,                675885,                 14332,                690217,              2007856,,,                670000,,                 87521,,                 75324,                 75324,                832845,              2840701,,,,              1715980,              1715980,,                270187,,                329878,,                418738,                748616,,                379544,,              3114327,              3114327,              5955028,              0,              0,              0,,                 15287,                  3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,2014年12月31日,,,,              1269649,,                              0,,                              0,,                241837,,              1033755,,                 20037,                 20037,,                  2185,,,                803091,                803091,,                472142,                 93270,                565412,              3935966,,,              2090034,                 67731,,                 31702,,                  3360,                 95946,,                  8332,                  8332,                139340,              2297105,              6233071,,,,,                691574,,                              0,,                213985,,                357126,,                208145,                208145,                 14192,,                  1048,,,                582500,                  2898,                585398,              2071468,,,                852115,,                 88246,,                 75331,                 75331,              1015692,              3087160,,,,              1715980,              1715980,,                270187,,                329878,,                430894,                760772,,                398972,                              0,              3145911,              3145911,              6233071,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,2014年09月30日,,,,              1609423,,                  3098,,                 10602,,                234766,,              1014566,,                 11691,                 11691,,                  2185,,,                742440,                742440,,                425527,                 89103,                514630,              4143401,,,              1867923,                 59142,,                120641,,                  3308,                 72085,,                  8497,                  8497,                204531,              2131596,              6274997,,,,,                816689,,                              0,,                181340,,                353245,,                177173,                177173,                 16589,,                    289,,,                612500,                  4837,                617337,              2162662,,,                934585,,                 83013,,                 81831,                 81831,              1099429,              3262091,,,,              1715980,              1715980,,                270187,,                329878,,                409790,                739668,,                287071,                              0,              3012906,              3012906,              6274997,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,2014年06月30日,,,,              1700204,,                  3091,,                 25144,,                194440,,              1036965,,,                 17795,,                  2185,,,                809298,                809298,,                191150,                 63860,                255010,              4044132,,,              1801232,                 58722,,                114906,,                  2010,                 70882,,                  7123,                  7123,                194921,              2054875,              6099007,,,,,                768738,,                              0,,                177613,,                309969,,                186999,                186999,                 17861,,                    127,,,                622500,                  6204,                628704,              2090011,,,                943325,,                 77106,,                 81799,                 81799,              1102230,              3192241,,,,              1715980,              1715980,,                270187,,                329878,,                384786,                714664,,                205935,,              2906766,              2906766,              6099007,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,2014年03月31日,,,,              1368068,,                 10741,,                 95224,,                199876,,                921127,,                 12908,                 14424,,                  2246,,,                777979,                777979,,                335539,                124678,                460217,              3849902,,,              1793352,                 71997,,                106348,,,                 72695,,                  7704,                  7704,                188786,              2054135,              5904037,,,,,                655283,,                     35,,                110144,,                488249,,                174888,                174888,                  5489,,                 21116,,,                515000,                  3336,                518336,              1973540,,,                875815,,                 75699,,                 81772,                 81772,              1033286,              3006826,,,,              1715980,              1715980,,                270187,,                328406,,                319726,                648132,,                262912,,              2897211,              2897211,              5904037,              0,              0,              0,,                  1516,                  2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,2014年01月01日,,,,              1684855,,                 12292,,                 42950,,                238907,,              1105315,,                 10542,                 10542,,                  3283,,,                590151,                590151,,                126172,                 96643,                222815,              3911110,,,              1789424,                 58887,,                108345,,                  1831,                 72747,,                  7979,                  7979,                190902,              2039213,              5950323,,,,,                654451,,                    314,,                 93220,,                355216,,                194721,                194721,                  5245,,                    932,,,                570833,                  3832,                574665,              1878764,,,                984566,,                 73048,,                 81789,                 81789,              1139403,              3018167,,,,              1715980,              1715980,,                270187,,                328406,,                344928,                673334,,                272655,                              0,              2932156,              2932156,              5950323,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,2013年12月31日,,,,,,                 12292,,                 42950,,                238907,,              1105315,,                 10542,                 12023,,,,,                590151,                590151,,                126172,                 95162,                221334,              3911110,,,              1789424,                 59449,,                108345,,,                 72747,,                  7979,                  7979,                190902,              2039775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  1481,                  1831,              1684855,                  3283,              5950885,,,,                654451,,                    314,,                 93220,,                355216,,                194721,                194721,                  5245,,                    932,,,                570833,                  3832,                574665,              1878764,,,                984566,,                 73048,,                 85094,                 85094,              1142708,              3021472,,,,              1715980,              1715980,,                270187,,                328406,,                344928,                673334,,                269912,              2929413,              2929413,,,,,,,,,,,,,,,
2460,2013年09月30日,,,,,,                  9901,,                 22569,,                209535,,              1040853,,                  9690,                 40603,,,,,                846669,                846669,,                 28603,                 88244,                116847,              4502476,,,              1638778,                 63088,,                146408,,,                 68170,,                  8635,                  8635,                225017,              1926883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 30913,                  1804,              1855441,                  5723,              6429359,,,,              1046386,,                              0,,                167791,,                342927,,                187106,                187106,                  4327,,                    953,,,                658333,                  5875,                664208,              2413698,,,                997026,,                 70895,,                 85167,                 85167,              1153088,              3566786,,,,              1715980,              1715980,,                270187,,                328406,,                328033,                656439,,                219967,              2862573,              2862573,,                354335,,,,,,,,,,,,,
