證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 其他應付費用,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－合併溢額,　　　　　 資本公積－認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 待分配股票股利,　　　　　 其他非流動資產－其他,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 淨確定福利負債-非流動,　　　　 現金及約當現金合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付薪資,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－合併溢額,　　　　 資本公積－認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 應付股利,　　　　 待分配股票股利,　　　 應付公司債,　　　　 應付公司債合計,　　　　 資本公積－員工認股權,　　　　 保固之短期負債準備,　　　　 銷貨退回及折讓之短期負債準備,　　　　 其他金融負債－流動
6285,2015年09月30日,,,,              4162764,,                    359,,                654209,,                114475,,              9212341,,                148864,,              6389430,,                 70435,                239860,                310295,             20992737,,,                156432,,                146694,,              5821900,,                 82499,                163017,,                  9620,,                390554,                400174,              6770716,             27763453,,,,,              2294914,,                              0,,              9992437,,                135021,,              1134738,                830319,              1965057,,                181062,,                706903,                706903,             15275394,,,                474899,,                 21024,                 21024,                495923,             15771317,,,,              3353187,                              0,              3353187,,,              2005029,                100454,                 36653,                 74160,                153554,              2369850,,              1395202,                108123,,              4521964,              6025289,,,                331795,,                  1199,,                -89184,                -89184,                243810,             11992136,             11992136,             27763453,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6285,2015年06月30日,,,,              4134669,,,,                886479,,                 52846,,              8313635,,                149766,,              4631299,,                 49935,                250643,                300578,             18469272,,,                171064,,                134940,,              5412001,,                 70892,                160865,,                  9997,,                248502,                258499,              6208261,             24677533,,,,,              2317498,,                              0,,              7301902,,                 72809,,                986622,                744276,              2618559,,                166571,,                564637,                564637,             13041976,,,                438415,,                 22723,                 22723,                461138,             13503114,,,,              3287634,                              0,              3353387,,,              2005029,                100454,                 36653,                 74160,                153354,              2369650,,              1395202,                108123,,              3916907,              5420232,,,                153666,,                  3513,,               -126029,               -126029,                 31150,             11174419,             11174419,             24677533,              0,              0,              0,                887661,                 65753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6285,2015年03月31日,,,,              4160434,,                    480,,                960898,,                160774,,              7215824,,                142477,,              5442765,,                 43502,                350720,                394222,             18477874,,,                171064,,                139593,,              5253418,,                 51564,                161452,,                 11664,,                344444,                356108,              6133199,             24611073,,,,,              2197095,,                              0,,              7814017,,                 93176,,                822983,                847581,              1670564,,                145800,,                546791,                546791,             12467443,,,                447864,,,                 19116,                466980,             12934423,,,,              3287634,                              0,              3287634,,,              2005029,                100454,                 36653,                 74160,                153354,              2369650,,              1257563,                108123,,              4611735,              5977421,,,                199800,,                  4128,,               -161983,               -161983,                 41945,             11676650,             11676650,             24611073,              0,              0,              0,,,                344444,,                              0,                              0,                 19116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6285,2014年12月31日,,,,              4230147,,                              0,,              1219611,,                172180,,              7185356,,                153111,,              4467936,,                 57669,                335598,                393267,             17821608,,,                171064,,                138828,,              5232640,,                 59682,                163120,,                 12069,,                230424,                242493,              6007827,             23829435,,,,,              2024739,,                    870,,              7471538,,                 97468,,                999827,                794281,              1794108,,                120200,,                606200,                606200,             12115123,,,                457687,,                 21127,                 21127,                478814,             12593937,,,,              3287634,                              0,              3287634,,,              2005029,                100454,                 36653,                 74160,                153354,              2369650,,              1257563,                108123,,              4150237,              5515923,,,                247757,,                  4611,,               -190077,               -190077,                 62291,             11235498,             11235498,             23829435,              0,              0,              0,                              0,                              0,                230424,,                              0,                              0,                 21127,              4230147,,                              0,             23829435,,,,              2024739,,                    870,,              7471538,,                 97468,,                999827,                794281,              1794108,,                120200,,,                              0,                              0,                606200,                606200,             12115123,,,                457687,,                 21127,                 21127,                478814,             12593937,,,,              3287634,                              0,              3287634,,,              2005029,                100454,                 36653,                 74160,                153354,              2369650,,              1257563,                108123,,              4150237,              5515923,,,                247757,,                  4611,,               -190077,               -190077,                 62291,             11235498,             11235498,,,,,,,,
6285,2014年09月30日,,,,              3923721,,                              0,,              1154478,,                105911,,              7388939,,                192752,,              3807061,,                 57734,                208494,                266228,             16839090,,,                124968,,                132744,,              5013118,,                 69473,                136092,,                 12793,,                275787,                288580,              5764975,             22604065,,,,,              2157460,,                  1385,,              7162180,,                 93899,,                781463,                725113,              1506576,,                123111,,                485140,                485140,             11529751,,,                391314,,                 16426,                 16426,                407740,             11937491,,,,              3285644,                  5343,              3290987,,,              1884542,                100454,                 36653,                 74160,                138299,              2234108,,              1257563,                108123,,              3756192,              5121878,,,                109803,,                  5238,,                -95440,                -95440,                 19601,             10666574,             10666574,             22604065,              0,        169000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6285,2014年06月30日,,,,              4791716,,,,              1378691,,                 71688,,              6846621,,                174284,,              2869706,,                 48033,                171240,                219273,             16351979,,,                124968,,                125830,,              4767368,,                 65118,                135333,,                 12841,,                229150,                241991,              5460608,             21812587,,,,,              2184380,,                              0,,              5983709,,                 70916,,                807478,                592594,              2365376,,                121439,,                497470,                497470,             11223290,,,                372204,,                 17835,                 17835,                390039,             11613329,,,,              3217680,                  2038,              3284072,,,              1883115,                100454,                 36653,                 74160,                139235,              2233617,,              1257563,                108123,,              3417689,              4783375,,,                 16500,,                  7609,,               -125915,               -125915,               -101806,             10199258,             10199258,             21812587,              0,         61000,              0,                965304,                 64354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6285,2014年03月31日,,,,              5775211,,                    176,,              2333988,,                 63588,,              5272846,,                140434,,              2790993,,                 46672,                152315,                198987,             16576223,,,                124968,,                131828,,              4858944,,                 67899,                135868,,                 11660,,                212595,                224255,              5543762,             22119985,,,,,              2749060,,                              0,,              4655226,,                 77214,,                651799,                569001,              1220800,,                120532,,                612833,              2107198,             10930030,,,                384686,,,                 19261,                403947,             11333977,,,,              3216350,                  4442,              3220792,,,              1880003,                100454,                 36653,                 74160,                195733,              2287003,,              1105730,                108123,,              4205750,              5419603,,,                 77439,,                 13249,,               -232078,               -232078,               -141390,             10786008,             10786008,             22119985,              0,        133000,              0,,,                212595,,              1494365,              1494365,                 19261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6285,2013年12月31日,,,,,,,,              2460802,,                124297,,              5236690,,                168674,,              3138831,,                 40275,                219736,                260011,             16797438,,,                 79932,,                129626,,              4669660,,                 56858,                135803,,                 11078,,                115357,                126435,              5472792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        362000,              0,,,,,,,,              5408133,,                274478,             22270230,,,,              2251328,,                    474,,              5055984,,                105496,,              1026728,                686235,              1712963,,                112524,,,              1487608,              1487608,                612618,              2100226,             11338995,,,                387345,,                 21285,                 21285,                408630,             11747625,,,,              3212730,                 12284,              3225014,,,              1871339,                100454,                 36653,                 74160,                130276,              2212882,,              1105730,                108123,,              3959468,              5173321,,,                 90422,,                 12760,,               -191794,               -191794,                -88612,             10522605,             10522605,,,,,,,,
6285,2013年09月30日,,,,,,,,              2423437,,                154897,,              6298682,,                229930,,              3704880,,                 53171,                178276,                231447,             17920097,,,                 79932,,                125008,,              4605894,,                 56633,                134041,,                  8849,,                127778,                136627,              5414388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        718000,              0,,,,,,,,              4876824,,                276253,             23334485,,,,              2548561,,                    264,,              6555875,,                105725,,                879176,                606053,              1485229,,                111602,,,              1480881,              1480881,                568628,              2049509,             12856765,,,                327995,,                 14614,                 14614,                342609,             13199374,,,,              3134450,                 25544,              3159994,,,              1852975,                100454,                 36653,                 74160,                              0,              2064242,,              1105730,                108123,,              3657617,              4871470,,,                 27325,,                 12080,,                              0,                              0,                 39405,             10135111,             10135111,,,,,,,,
6285,2013年06月30日,,,,,,                  1333,,              2285858,,                147257,,              5533291,,                226076,,              3376523,,                 30981,                157660,                188641,             16660572,,,                 79932,,                123013,,              4702440,,                 60761,                134064,,                  8603,,                129219,                137822,              5516075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        106000,              0,,,,,,,,              4901593,,                278043,             22176647,,,,              2643889,,                              0,,              5396858,,                 88060,,                869676,                615872,              2154816,,                102644,,,              1474185,              1474185,                373524,              1847709,             12233976,,,                353727,,                 16060,                 16060,                369787,             12603763,,,,              3042126,                  3922,              3137312,,,              1850113,                100454,                 36653,                 74160,                              0,              2061380,,              1105730,                108123,,              3103136,              4316989,,,                 48367,,                  8836,,                              0,                              0,                 57203,              9572884,              9572884,                669268,                 91264,,,,,,
