證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利
2707,2015年09月30日,,,,                702858,,                334892,,                              0,,                 16492,,                215381,,                 27762,,                 53573,,                 86082,,                118682,              1555722,,,                    500,,              3224590,,                313666,,              1792170,                 56475,,                281356,              5668757,              7224479,,,,,                412000,,                 73000,,                  4598,,                 13930,,                207857,,                626906,                 49577,,                353609,              1741477,,,              1437043,,                 71428,,                    412,,                434220,              1943103,              3684580,,,,              1267458,              1267458,,                              0,                103299,                103299,,              1169230,                121914,,                793528,              2084672,,,                -28495,,                              0,                -28495,              3426934,                112965,              3539899,              7224479,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,2015年06月30日,,,,                615192,,                911901,,                              0,,                 11586,,                219292,,                 37529,,                 55545,,                 80886,,                155973,              2087904,,,                    500,,              3262709,,                289971,,              1689255,                 59753,,                299607,              5601795,              7689699,,,,,                 76000,,                 35500,,                  9098,,                  9664,,                270042,,              1677819,                125033,,                352859,              2556015,,,              1431452,,                 85714,,                    412,,                436180,              1953758,              4509773,,,,              1169231,              1267458,,                              0,                103299,                103299,,              1169230,                121914,,                580476,              1871620,,,               -166273,,                              0,               -166273,              3076104,                103822,              3179926,              7689699,              0,              0,              0,                 98227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,2015年03月31日,,,,                610427,,                535481,,                              0,,                  5771,,                249332,,                123100,,                 61215,,                 86250,,                191290,              1862866,,,                    500,,              3300792,,                300118,,              1715933,                 60679,,                301215,              5679237,              7542103,,,,,                 74000,,                 42500,,                  1748,,                 21923,,                290396,,                522635,                182150,,                395329,              1530681,,,              1425883,,                100000,,                    412,,                439518,              1965813,              3496494,,,,              1169231,              1169231,,                 98227,                103299,                201526,,              1062937,                216432,,              1416843,              2696212,,,               -119494,,                              0,               -119494,              3947475,                 98134,              4045609,              7542103,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,2014年12月31日,,,,                730177,,                351455,,                 23303,,                 10957,,                236004,,                126336,,                 44265,,                 89481,,                140035,              1752013,,,                    500,,              3190847,,                305929,,              1738032,                 56215,,                300923,              5592446,              7344459,,,,,                 76000,,                 40000,,                  2048,,                  9701,,                293032,,                644992,                115293,,                442406,              1623472,,,              1420336,,                114286,,                    467,,                437841,              1972930,              3596402,,,,              1169231,              1169231,,                 98227,                103299,                201526,,              1062937,                216432,,              1123614,              2402983,,,               -124653,,                  2739,               -121914,              3651826,                 96231,              3748057,              7344459,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,2014年09月30日,,,,                748717,,                285093,,                 16392,,                 11535,,                216240,,                 28553,,                 40084,,                102125,,                 68977,              1517716,,,                    500,,              3147050,,                322442,,              1676385,                 52827,,                302667,              5501871,              7019587,,,,,                302000,,                183000,,                  4898,,                 21718,,                269488,,                557759,                 53595,,                337793,              1730251,,,              1414810,,                128571,,                  2057,,                437953,              1983391,              3713642,,,,              1169231,              1169231,,                 98227,                103299,                201526,,              1062937,                216432,,                743799,              2023168,,,               -173346,,                 -4172,               -177518,              3216407,                 89538,              3305945,              7019587,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,2014年06月30日,,,,                816568,,                772265,,                 16472,,                 25170,,                213611,,                 30302,,                 36652,,                104945,,                112992,              2128977,,,                    500,,              2990193,,                342777,,              1650847,                 53387,,                305055,              5342759,              7471736,,,,,                113000,,                 24000,,                  4748,,                 24223,,                277033,,              1497242,                121394,,                350869,              2412509,,,              1409306,,                142857,,                    522,,                443405,              1996090,              4408599,,,,              1062937,              1169231,,                 98227,                103299,                201526,,              1062937,                216432,,                520970,              1800339,,,               -189224,,                 -4092,               -193316,              2977780,                 85357,              3063137,              7471736,              0,              0,              0,                106294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,2014年03月31日,,,,                803361,,                625152,,                 16151,,                 20008,,                224061,,                 32407,,                 36556,,                 99893,,                198920,              2056509,,,                    500,,              2870212,,                345492,,              1686165,                 53591,,                304274,              5260234,              7316743,,,,,                118000,,                 23400,,                  5348,,                 26396,,                236315,,                613140,                191404,,                352911,              1566914,,,              1403823,,                157143,,                    522,,                443200,              2004688,              3571602,,,,              1062937,              1062937,,                204521,                103299,                307820,,                966306,                148541,,              1341089,              2455936,,,               -157917,,                 -4413,               -162330,              3664363,                 80778,              3745141,              7316743,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,2013年12月31日,,,,,,                583919,,                 17597,,                 12364,,                253720,,                 34750,,                 39216,,                 61230,,                213221,              2102343,,,                    500,,              2614414,,                332411,,              1654541,                 54985,,                281659,              4938510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                886326,              7040853,,,,                115500,,                 19000,,                  7748,,                 15432,,                259232,,                726383,                129364,,                363937,              1636596,,,              1398362,,                171429,,                    458,,                439113,              2009362,              3645958,,,,              1062937,              1062937,,                204521,                103299,                307820,,                966306,                148541,,              1044369,              2159216,,,               -213465,,                 -2967,               -216432,              3313541,                 81354,              3394895,                              0
2707,2013年09月30日,,,,,,                245555,,                 17839,,                 25046,,                199174,,                 35248,,                 31710,,                 60951,,                132735,              1614213,,,                    500,,              2484153,,                354830,,              1645350,                 64559,,                282151,              4831543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                865955,              6445756,,,,                111000,,                 39000,,                  9150,,                 22746,,                222631,,                600777,                 66818,,                291389,              1363511,,,              1392922,,                185714,,                    978,,                438979,              2018593,              3382104,,,,              1062937,              1062937,,                204521,                103299,                307820,,                966306,                148541,,                690870,              1805717,,,               -191168,,                 -2725,               -193893,              2982581,                 81071,              3063652,
2707,2013年06月30日,,,,,,                649630,,                 18160,,                 19084,,                243193,,                 43067,,                 31556,,                 82679,,                149000,              1866189,,,                    500,,              2380881,,                357706,,              1671398,                 65159,,                232900,              4708544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                629820,              6574733,,,,                351408,,                 22000,,                              0,,                 17926,,                240906,,              1425310,                114615,,                637729,              2809894,,,                              0,,                535776,,                 11010,,                443242,                990028,              3799922,,,,                966306,              1062937,,                204521,                              0,                204521,,                966306,                148541,,                474450,              1589297,,,               -161042,,                 -2404,               -163446,              2693309,                 81502,              2774811,                 96631
2707,2013年03月31日,,,,,,                436897,,                 18803,,                 22827,,                265947,,                 57636,,                 35505,,                 73041,,                134134,              1866051,,,                    500,,              2335686,,                374894,,              1665778,                 65206,,                220901,              4662965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                821261,              6529016,,,,                325061,,                 30000,,                              0,,                 18453,,                211221,,                529749,                192612,,                644863,              1951959,,,                              0,,                715430,,                 13623,,                442960,              1172013,              3123972,,,,                966306,                966306,,                301152,                              0,                301152,,                878460,                              0,,              1317053,              2195513,,,               -144379,,                 -1761,               -146140,              3316831,                 88213,              3405044,
2707,2012年12月31日,,,,                481290,,                181218,,                 19285,,                 25969,,                255745,,                 57763,,                 38080,,                 64019,,                164209,              1287578,,,                    500,,              2346397,,                398821,,              1627449,                 67491,,                230345,              4671003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              5958581,,,,                 72000,,                 30000,,                              0,,                 17403,,                237633,,                557548,                136476,,                658137,              1709197,,,                              0,,                716276,,                 16734,,                440554,              1173564,              2882761,,,,                966306,                966306,,                301152,                              0,                301152,,                878460,                              0,,                994956,              1873416,,,               -158071,,                 -1279,               -159350,              2981524,                 94296,              3075820,
2707,2012年09月30日,,,,                423517,,                185293,,                 19687,,                 32277,,                280208,,                 36754,,                 37567,,                 68910,,                  2157,              1086370,,,                              0,,              2355451,,                449169,,              1644664,                 73971,,                334558,              4857813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              5944183,,,,                 55600,,                223900,,                              0,,                 27843,,                199666,,                508988,                 73828,,                583403,              1673228,,,                              0,,                917451,,                 22120,,                420445,              1360016,              3033244,,,,                966306,                966306,,                301152,                              0,                301152,,                878460,                              0,,                744990,              1623450,,,                -73817,,                   -877,                -74694,              2816214,                 94725,              2910939,
2707,2012年06月30日,,,,                367722,,                778070,,                 21535,,                 35791,,                268675,,                 45862,,                 35442,,                 53252,,                  3330,              1609679,,,                              0,,              2385087,,                447813,,              1678839,                 73066,,                357319,              4942124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              6551803,,,,                 52500,,                 42900,,,,                 22306,,                229771,,              1450006,                106312,,                585349,              2489144,,,,,                926386,,                 17790,,                430075,              1374251,              3863395,,,,                878460,                966306,,                301152,,                301152,,                878460,                              0,,                485382,              1363842,,,                -43720,,                    971,                -42749,              2588551,                 99857,              2688408,                 87846
2707,2012年03月31日,,,,                356116,,                606374,,                 19124,,                 34870,,                272552,,                 50288,,                 36454,,                 59743,,                 16623,              1452144,,,                              0,,              2407925,,                429805,,              1662957,                 73263,,                369707,              4943657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              6395801,,,,                 63700,,                 32200,,,,                 15444,,                252805,,                440562,                125050,,                607438,              1537199,,,,,              1081787,,                 19904,,                415922,              1517613,              3054812,,,,                878460,                878460,,                388998,,                388998,,                798600,                 65880,,              1199852,              2064332,,,                -94998,,                 -1440,                -96438,              3235352,                105637,              3340989,
2707,2012年01月01日,,,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                              0,,,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,,,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,,                              0,                              0,,,                              0,,                              0,                              0,                              0,                              0,                              0,
