證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他無形資產,　　　　　 待分配股票股利,　　　　　 債券換股權利證書,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　　 債券換股權利證書,　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－非流動,　　　　 商標權淨額,　　　　　 商標權淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 長期應收票據及款項,　　　　　 催收款項,　　　　　 長期應收票據及款項淨額,　　　　　 其他非流動資產－其他,　　　　 應付股利,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　　 累積盈虧
9934,2015年09月30日,,,,              2654037,,                  5981,,                 21457,,                 67142,,              3567145,,              4139352,,                422801,,                538805,             11416720,,,                     41,,                              0,,                 29906,,              2135709,,              1819154,,                203434,              2022588,                329308,,                 37884,                213132,,                219228,                470244,              4987796,             16404516,,,,,              1534880,,                 23531,,                 58818,,              2531588,,              1034457,                532061,              1566518,                172269,,,                              0,                110000,                110000,                363065,                473065,              6360669,,,                196251,,              2030000,,                 92161,,                210790,                    179,                 47652,                258621,              2577033,              8937702,,,,              3543042,                              0,              3543042,,                916938,,                648394,,              1702524,              2350918,,                552989,              7363887,                102927,              7466814,             16404516,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9934,2015年06月30日,,,,              2781922,,                 15465,,                 55125,,                 40406,,              3468068,,              4080555,,                413562,,                431360,             11286463,,,                              0,,                 18088,,                 29131,,              1896494,,              1765589,,                196951,              1962540,                298960,,                 36710,                206088,,                381538,                624336,              4829549,             16116012,,,,,              1534304,,                  3264,,                 48702,,              2610410,,              1039803,                629479,              1669282,                132762,,,                              0,                110000,                110000,                359247,                469247,              6467971,,,                195457,,              2090000,,                107924,,                210216,                    179,                 58580,                268975,              2662356,              9130327,,,,              3543042,,              3543042,,                916938,,                648394,,              1573832,              2222226,,                201461,              6883667,                102018,              6985685,             16116012,              0,              0,              0,                196951,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9934,2015年03月31日,,,,              2562161,,                 13934,,                187071,,                 38921,,              3369970,,              4228392,,                437717,,                354737,             11192903,,,                     41,,                 49780,,                 30095,,              1952011,,              1691781,,                211882,              1903663,                310253,,                 37450,                210197,,                292872,                540519,              4786362,             15979265,,,,,              1696961,,                  1190,,                 39942,,              2265864,,              1053907,                490125,              1544032,                272824,,,                              0,                              0,                              0,                359784,                359784,              6180597,,,                194664,,              2200000,,                157543,,                209545,                    179,                 60582,                270306,              2822513,              9003110,,,,              3543042,                              0,              3543042,,                916938,,                632947,,              1564559,              2197506,,                219880,              6877366,                 98789,              6976155,             15979265,              0,              0,              0,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9934,2014年12月31日,,,,              2570387,,                  1844,,                594899,,                 36029,,              3566156,,              4360998,,                307452,,                498639,             11936404,,,                     81,,                 49780,,                 30572,,              1984296,,              1792420,,                248750,              2041170,                320569,,                 55829,                213417,,                235529,                504775,              4931243,             16867647,,,,,              1810877,,                 11166,,                 26032,,              2684681,,              1224075,                385056,              1609131,                530734,,,                              0,                 92579,                 92579,                358039,                450618,              7123239,,,                193871,,              2182531,,                184361,,                218087,                    179,                 62350,                280616,              2841379,              9964618,,,,              3543042,                              0,              3543042,,                916938,,                632947,,              1478191,              2111138,,                231737,              6802855,                100174,              6903029,             16867647,              0,              0,              0,                248750,                              0,                              0,                              0,              2570387,             16867647,,,,              1810877,,                 11166,,                 26032,,              2684681,,              1224075,                385056,              1609131,                530734,,,                              0,                 92579,                 92579,                358039,                450618,              7123239,,,                193871,,              2182531,,                184361,,                218087,                    179,                 62350,                280616,              2841379,              9964618,,,,              3543042,                              0,              3543042,,                916938,,                632947,                              0,,              1478191,              2111138,,                231737,                              0,              6802855,                100174,              6903029,,,,,,,,,,,,,,,,,,,,,
9934,2014年09月30日,,,,              2029986,,                516261,,                998795,,                 47862,,              3414075,,              3988361,,                442182,,                633131,             12070653,,,                              0,,                 49780,,                 38456,,              1981717,,              1796645,,                271041,              2067686,                309134,,                 28599,                208592,,                181319,                418510,              4865283,             16935936,,,,,              1762435,,                  1351,,                 41587,,              2346551,,              1252281,                557197,              1809478,                550768,,,                876656,                 49862,                926518,                434240,              1360758,              7872928,,,                              0,,              1957924,,                169179,,                224370,                    179,                 61349,                285898,              2413001,             10285929,,,,              3543042,                              0,              3543042,,                982165,,                632947,,              1458062,              2091009,,                -64117,              6552099,                 97908,              6650007,             16935936,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9934,2014年06月30日,,,,              2103769,,                  6821,,                884511,,                 43351,,              3464889,,              4042688,,                449786,,                657603,             11653418,,,                              0,,                              0,,                 37656,,              1997942,,              1840516,,                302832,              2143348,                265578,,                 27629,                204344,,                148016,                379989,              4824513,             16477931,,,,,              1165393,,                  9731,,                 33295,,              2818840,,              1170790,                522555,              1693345,                508924,,,                873054,                 81048,                954102,                445098,              1399200,              7628728,,,                              0,,              1971329,,                159261,,                229510,                    179,                 60880,                290569,              2421159,             10049887,,,,              3295853,,              3543042,,                979537,,                632947,,              1377889,              2010836,,               -204759,              6328656,                 99388,              6428044,             16477931,              0,              0,              0,                302832,                247189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9934,2014年03月31日,,,,              2065054,,                  4652,,              1062635,,                 35895,,              3616935,,              3781986,,                438357,,                628422,             11633936,,,                              0,,                              0,,                 38342,,              2047040,,              1836148,,                325627,              2161775,                268746,,                 35757,                209264,,                163281,                408302,              4924205,             16558141,,,,,              1261053,,                 24445,,                 18103,,              2558196,,              1209951,                484674,              1694625,                406951,,,                933661,                480720,              1414381,                461262,              1875643,              7839016,,,                              0,,              1583400,,                177072,,                232208,                    179,                 63146,                295533,              2056005,              9895021,,,,              3241206,                              0,              3260072,,                950175,,                527149,,              1084984,              2305686,,                 48569,              6564502,                 98618,              6663120,             16558141,              0,              0,              0,,,                 18866,                693553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9934,2013年12月31日,,,,,,                 13614,,              1171145,,                 64850,,              3477473,,              3877499,,                358425,,                412308,             11813510,,,                              0,,                              0,,                 51447,,              1976170,,              1795029,,                342674,              2137703,                255518,,                 38969,                211906,,                156202,                407077,              4827915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,            219,              0,,,,,              2438196,             16641425,,,,                946918,,                  1680,,                 37476,,              2685220,,              1553160,                440837,              1993997,                410376,,,                964209,                513450,              1477659,                422353,              1900012,              7975679,,,                              0,,              1564175,,                185542,,                234617,                    179,                 64741,                299537,              2049254,             10024933,,,,              3238416,                  1368,              3239784,,                932717,,                527149,                693553,,              1057977,              2278679,,                 63291,                              0,              6514471,                102021,              6616492,,,,,,,,,,,,,,,,,,,,,
9934,2013年09月30日,,,,,,                 33640,,                              0,,                 37989,,              3269088,,              3735371,,                386305,,                334537,             10534975,,,                  5140,,                              0,,                 53024,,              1964218,,              1815107,,                342100,              2157207,                280439,,                 42157,                212819,,                128140,                383116,              4869900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         89623,              0,,,,,              2738045,             15404875,,,,                654619,,                  3809,,                 27920,,              2372738,,                801251,                446482,              1247733,                 34037,,,                              0,                411840,                411840,                385041,                796881,              5137737,,,              1002711,,              1685680,,                 93632,,                231005,                    179,                 64602,                295786,              3077809,              8215546,,,,              2938634,                  6413,              3205457,,                902408,,                527149,                693553,,               -435795,                784907,,                -21144,                              0,              4871628,              2317701,              7189329,,                 26756,                260410,,,,,,,,,,,,,,,,,,
9934,2013年06月30日,,,,,,                 31694,,                              0,,                 61674,,              3412205,,              3706432,,                444923,,                401904,             10672686,,,                  4886,,                  5700,,                 56093,,              1985729,,              1748696,,                352298,              2100994,                292426,,                 42514,                215759,,                148446,                406719,              4881049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4122000,,,,,              2613854,             15553735,,,,                770232,,                  1230,,                 31460,,              2265975,,                714097,                404316,              1118413,                 40306,,,                              0,                413770,                413770,                429917,                843687,              5071303,,,              1469515,,              1898850,,                 91814,,                233272,                    179,                 66307,                299758,              3759937,              8831240,,,,              3013074,                              0,              3013074,,                713453,,                527149,                693553,,               -406567,                814135,,                -63592,                 80039,              4397031,              2325464,              6722495,,                 28502,,                              0,,,,,,,,,,,,,,,,,
