證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益－母公司,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 預付租金,　　　　 應計退休金負債（應付退休金費用）,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資（淨額）,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應收票據－關係人
2390,2015年09月30日,,,,                390622,,                 32452,,                  7860,,                              0,,                129865,                129865,,                 20309,,                  9517,,                613175,,                    805,,                175671,,                 62337,              1442613,,,                 60429,,                617398,,                660955,,                499293,,,                 16390,                 16390,                 71332,,                  8827,                 24378,                  4425,                 29763,,                    212,                 67605,              1993402,              3436015,,,,,                325850,,                  6747,,                 67356,,                121614,                121614,                 26022,                  2352,,,                 83887,,                 36156,                 11642,                131685,                681626,,,                143351,,                  4087,,                 13204,                 13204,                160642,                842268,,,,              2153033,              2153033,,                341174,,                  5956,                 35529,,                116292,                157777,,,                 15451,,                -44895,                -29444,                 42829,              2579711,                 14036,              2593747,              3436015,              0,      1731000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2015年06月30日,,,,                423628,,                 32926,,                  5849,,                  2926,,                 88637,                 88637,,                  6942,,                  6133,,                610235,,                    803,,                 87592,,                 52331,              1318002,,,                 73472,,                626999,,                689173,,                661361,,,                 16795,                 16795,                 70575,,                  5573,                 24814,                  4413,                 28762,,                    212,                 63774,              2202149,              3520151,,,,,                407850,,                  4424,,                 49970,,                114679,                114679,                 22191,                  2352,,,                 84462,,                 70016,                  7205,                161683,                763149,,,                242883,,                  2576,,                 15640,                 15640,                261099,              1024248,,,,              2153033,              2153033,,                333215,,                  5956,                 35529,,                 30605,                 72090,,,,,,                -34357,                 42829,              2481152,                 14751,              2495903,              3520151,              0,      1731000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2015年03月31日,,,,                283530,,                 34531,,                  5924,,                 10245,,                131493,                131493,,                  2641,,                 14287,,                616117,,                    809,,                 24955,,                 56000,              1180532,,,                 82168,,                642049,,                696188,,                791822,,,                 16812,                 16812,                 70452,,                  3515,                 22239,                  4401,                 29377,,                    193,                 59725,              2359216,              3539748,,,,,                428850,,                  2484,,                 60010,,                 98531,                 98531,                 21618,                 19163,,,                 47974,,                 76336,                  7643,                131953,                762609,,,                270605,,                  3390,,                 17108,                 17108,                291103,              1053712,,,,              2153033,              2153033,,                331681,,                  5956,                 68594,,                -14570,                 59980,,,                 14008,,                -44948,                -30940,                 42829,              2470925,                 15111,              2486036,              3539748,              0,      1731000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2014年12月31日,,,,                346262,,                 35457,,                  5419,,                              0,,                 94702,                 94702,,                  1757,,                 21871,,                621664,,                    816,,                 12678,,                 55407,              1196033,,,                 80382,,                663507,,                703396,,                836482,,,                 17197,                 17197,                 69792,,                  2377,                 21751,                  4390,                 29864,,                    151,                 58533,              2429289,              3625322,,,,,                444850,,                  3426,,                 71620,,                 94833,                 94833,                 49843,                 18837,,,                 43580,,                 80394,                 12268,                136242,                819651,,,                304340,,                  4462,,                 19641,                 19641,                328443,              1148094,,,,              2153033,              2153033,,                329610,,                  5956,                 68594,,                -22719,                 51831,,,                 14821,,                -44457,                -29636,                 42829,              2462009,                 15219,              2477228,              3625322,              0,      1731000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2014年09月30日,,,,                371564,,                  8718,,                  7096,,                  2114,,                214914,                214914,,                  2457,,                 15758,,                641230,,                    791,,                              0,,                 51411,              1316053,,,                117241,,                681158,,                696409,,                853080,,,                 14441,                 14441,                 69904,,                  5297,                 21723,                  3199,                 29128,,                    317,                 59664,              2491897,              3807950,,,,,                604473,,                  5184,,                133816,,                 99917,                 99917,                 36692,                 16330,,,                 40425,,                161628,                  5327,                207380,              1103792,,,                191391,,                  2572,,                 19520,                 19520,                213483,              1317275,,,,              2153033,              2153033,,                325729,,                  5956,                 68594,,                  1706,                 76256,,,                  7483,,                -44037,                -36554,                 42829,              2475635,                 15040,              2490675,              3807950,              0,      1731000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2014年06月30日,,,,                236011,,                 24483,,                  8025,,                              0,,                323305,                323305,,                  9212,,                 12716,,                629141,,                    774,,                              0,,                 49028,              1292695,,,                122002,,                704950,,                688443,,                857011,,,                 13653,                 13653,                 70889,,                  2348,                 22135,                  3213,                 28591,,                    341,                 56628,              2513576,              3806271,,,,,                483742,,                  5160,,                163540,,                208624,                208624,                 32780,                 11264,,,                 40025,,                141199,                 10408,                191632,              1096742,,,                129641,,                  1626,,                 19435,                 19435,                150702,              1247444,,,,              2153033,              2153033,,                312422,,                  5956,                 68594,,                 52092,                126642,,,,,,                -48609,                              0,              2543488,                 15339,              2558827,              3806271,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2014年03月31日,,,,                448751,,                 24261,,                  6551,,                              0,,                154221,                154221,,                     29,,                  8707,,                648587,,                    786,,                              0,,                 52299,              1344192,,,                128466,,                618742,,                702786,,                860942,,,                 13299,                 13299,                 69743,,                  1059,                 22101,                  3199,                 29322,,                    299,                 55980,              2449958,              3794150,,,,,                484226,,                  5773,,                128690,,                119506,                119506,                 32775,                  6832,,,                 48608,,                142808,                  6707,                198123,                975925,,,                140290,,                  1270,,                 20146,                 20146,                161706,              1137631,,,,              2153033,              2153033,,                310177,,                    868,                 43341,,                167687,                211896,,,                  5656,,                -40228,                -34572,                              0,              2640534,                 15985,              2656519,              3794150,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2013年12月31日,,,,,,                 25406,,                  6591,,,,                154462,                154462,,                              0,,                 11649,,                608345,,                    788,,                              0,,                 42769,              1161674,,,                128466,,                429381,,                708016,,                864873,,,                 11486,                 11486,                 73398,,                  2620,                 22125,,                 29636,,                    289,                 57852,              2273472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                311664,                  3182,              3435146,,,,                364850,,                  3041,,                 99634,,                106508,                106508,                 32725,                  7227,,,                 45297,,                111851,                111851,                  7283,                164431,                778416,,,                 37446,                 37446,,                    995,,                 19919,                 19919,                 58360,                836776,,,,              2153033,              2153033,,                265149,,                    868,                 43341,,                189226,                233435,,,                  7529,                  7529,,                -76123,                -76123,                -68594,                              0,              2583023,                 15347,              2598370,,,,,,,,,,,,,
2390,2013年09月30日,,,,,,                 33404,,                  5542,,                              0,,                141985,                141985,,                     96,,                 10908,,                596747,,                    775,,,,                 36456,              1063275,,,                166423,,                282881,,                704506,,                868882,,,                 11447,                 11447,                 71401,,                 11387,                 22073,,                 29311,,                  1451,                197670,              2303210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                237362,                133448,              3366485,,,,                330699,,                  2871,,                109803,,                 92853,                 92853,                 15670,                 12814,,,                 42217,,,                 96588,                  5984,                144789,                709499,,,,                135538,,                              0,,                 18652,                 23591,                159129,                868628,,,,              2153033,              2153033,,                230054,,                    868,                 43341,,                132678,                176887,,,,                  2604,,,                -78846,                -76242,                              0,              2483732,                 14125,              2497857,                    775,                  4939,,,,,,,,,,,
2390,2013年06月30日,,,,,,                 32183,,                 10213,,,,                192870,                192870,,                     14,,                  7360,,                567703,,                    784,,,,                 48028,              1205812,,,                181773,,                299956,,                708959,,                872739,,,                 20688,                 20688,                 91352,,                  6791,                 22444,,                 29842,,                    660,                 59737,              2235204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                305657,                              0,              3441016,,,,                378600,,                  2844,,                 90564,,                 85647,                 85647,                 15602,                  9627,,,                 37347,,,                 96576,                  5583,                139506,                722390,,,,                140128,,                  2548,,                 17821,                 22959,                165635,                888025,,,,              2153033,              2153033,,                241904,,                    868,                 43341,,                167393,                211602,,,,                 13622,,,                -79775,                -66153,,              2540386,                 12605,              2552991,,                  5138,,                 41000,,,,,,,,,
