證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應付公司債,　　　　 應付公司債合計
2704,2015年09月30日,,,,                447075,,              2698910,,                  9271,,                134168,,                  4320,,                 87802,,                130900,,                  3646,              3516092,,,                801577,,                 35884,,                 37424,,              1036644,,              6454824,,                146925,                117435,,                 59336,              8690049,             12206141,,,,,                              0,,                188000,,                 12533,,                137981,,                619328,                 26237,,,                146629,                146629,                183244,                329873,              1313952,,,              1392775,,                 50952,,                186707,                 78690,                265397,              1709124,              3023076,,,,              3669234,              3669234,,              2925258,,                558981,                195815,,              1074719,              1829515,,                715979,                              0,              9139986,                 43079,              9183065,             12206141,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,2015年06月30日,,,,                472904,,              2589870,,                 16249,,                110155,,                  2740,,                 81815,,                146079,,                  2909,              3422721,,,                762947,,                 35884,,                 37424,,                916023,,              6476279,,                147050,                123401,,                 59476,              8558484,             11981205,,,,,                 98000,,                150500,,                 24959,,                150511,,                528323,                 55994,,,                142952,                142952,                183905,                326857,              1335144,,,              1443534,,                 45193,,                223732,                 67928,                291660,              1780387,              3115531,,,,              3669234,              3669234,,              2924957,,                558981,                195815,,                918749,              1673545,,                550253,                              0,              8817989,                 47685,              8865674,             11981205,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,2015年03月31日,,,,                409807,,              2724501,,                 11384,,                 97667,,                  3579,,                 76423,,                137280,,                  2878,              3463519,,,                787220,,                 35884,,                 37424,,                941316,,              6455324,,                147175,                123038,,                 62828,              8590209,             12053728,,,,,                 80000,,                123000,,                 24680,,                145544,,                261649,                 85522,,,                 52380,                 52380,                193558,                245938,                966333,,,              1520188,,                 48787,,                222719,                 64879,                287598,              1856573,              2822906,,,,              3669234,              3669234,,              2924957,,                517973,                195815,,              1146580,              1860368,,                728332,                              0,              9182891,                 47931,              9230822,             12053728,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,2014年12月31日,,,,                398873,,              2730154,,                 20040,,                102879,,                  4793,,                 92615,,                 99382,,                  3688,              3452424,,,                784191,,                 35884,,                 37407,,                945729,,              6445298,,                147300,                122815,,                 62911,              8581535,             12033959,,,,,                 60000,,                 49958,,                    269,,                147208,,                354960,                 59221,,,                 48328,                 48328,                204004,                252332,                923948,,,              1659322,,                 48332,,                221718,                 64913,                286631,              1994285,              2918233,,,,              3669234,              3669234,,              2924957,,                517973,                195815,,              1025486,              1739274,,                732404,                              0,              9065869,                 49857,              9115726,             12033959,              0,              0,              0,                398873,                 37407,             12033959,,,,                 60000,,                 49958,,                    269,,                147208,,                354960,                 59221,,,                 48328,                 48328,                204004,                252332,                923948,,,              1659322,,                 48332,,                221718,                 64913,                286631,              1994285,              2918233,,,,              3669234,              3669234,,              2924957,,                517973,                195815,,              1025486,              1739274,,                732404,                              0,              9065869,                 49857,              9115726,,,,,,
2704,2014年09月30日,,,,                362724,,              2833359,,                 15560,,                104750,,                  5429,,                 88104,,                112526,,                  7286,              3529738,,,                807122,,                 35885,,                 37407,,                951221,,              6470204,,                147425,                121067,,                 61683,              8632014,             12161752,,,,,                              0,,                136000,,                 10781,,                134645,,                484017,                 40769,,,                 48328,                 48328,                189496,                237824,              1044036,,,              1619404,,                 51884,,                220540,                 50537,                271077,              1942365,              2986401,,,,              3669234,              3669234,,              2921464,,                517973,                195815,,                957622,              1671410,,                860432,                              0,              9122540,                 52811,              9175351,             12161752,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,2014年06月30日,,,,                399849,,              2647424,,                 16859,,                112567,,                  4227,,                 83672,,                123440,,                 12252,              3400290,,,                744216,,                 38951,,                 37407,,                824130,,              6509345,,                147550,                121262,,                 61768,              8484629,             11884919,,,,,                              0,,                 56000,,                 21693,,                146077,,                458114,                 58346,,,                 20328,                 20328,                185079,                205407,                945637,,,              1885486,,                 42544,,                223882,                 49793,                273675,              2201705,              3147342,,,,              3669234,              3669234,,              2920152,,                517973,                195815,,                794595,              1508383,,                585332,                              0,              8683101,                 54476,              8737577,             11884919,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,2014年03月31日,,,,                369123,,              2774197,,                 16324,,                113851,,                  2413,,                 81654,,                124545,,                  4980,              3487087,,,                737801,,                 38951,,                 37407,,                819668,,              6546769,,                147675,                123543,,                 59491,              8511305,             11998392,,,,,                              0,,                 94000,,                 30033,,                119454,,                247399,                 69101,,,                 20328,                 20328,                192527,                212855,                772842,,,              1922568,,                 42059,,                240411,                 49509,                289920,              2254547,              3027389,,,,              3669234,              3669234,,              2920152,,                482362,                195815,,                951059,              1629236,,                698945,                              0,              8917567,                 53436,              8971003,             11998392,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,2013年12月31日,,,,,,              2841809,,                 19199,,                101159,,                  1654,,                 80139,,                 95767,,                  3574,              3516280,,,                750245,,                 38951,,,,                830444,,              6602387,,                147800,                122632,,                 60888,              8590737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                372979,                 37390,             12107017,,,,                              0,,                 89000,,                  5615,,                144209,,                332002,                 45403,,,                 20328,                 20328,                194576,                214904,                831133,,,              2007650,,                 43894,,                239904,                 49380,                289284,              2340828,              3171961,,,,              3669234,              3669234,,              2911430,,                482362,                195815,,                834663,              1512840,,                792955,                              0,              8886459,                 48597,              8935056,,                              0,,,,
2704,2013年09月30日,,,,,,              2816835,,                 11773,,                113351,,                  8331,,                 78084,,                104485,,                 16151,              3502990,,,                737220,,                 38951,,,,                825446,,              6645679,,                147926,                121274,,                 50203,              8584089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                353980,                 17390,             12087079,,,,                 15000,,                133995,,                 10336,,                129712,,                413914,                 26952,,,                540328,                540328,                181595,                721923,              1451832,,,              1492732,,                 41918,,                244791,                 48680,                293471,              1828121,              3279953,,,,              3669234,              3669234,,              2911227,,                482362,                195815,,                753952,              1432129,,                747106,                              0,              8759696,                 47430,              8807126,,,,,,
2704,2013年06月30日,,,,,,              2734701,,                 15526,,                102117,,                  2249,,                 67364,,                114610,,                  8250,              3350055,,,                706764,,                 38951,,,,                725817,,              6683236,,                148051,                121534,,                 49804,              8491547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                305238,                 17390,             11841602,,,,                 65000,,                 92988,,                 20159,,                114834,,                365072,                 45282,,,                116328,                116328,                181510,                297838,              1001173,,,              1969529,,                 37413,,                243453,                 49381,                292834,              2299776,              3300949,,,,              3669234,              3669234,,              2911338,,                482362,                195815,,                613969,              1292146,,                622042,                              0,              8494760,                 45893,              8540653,,,,,,
2704,2013年03月31日,,,,,,              2623564,,                 20262,,                104173,,                  1655,,                 66939,,                120933,,                  2963,              3179106,,,                710714,,                 38951,,,,                729450,,              6717714,,                148176,                125008,,                 41649,              8529052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                238617,                 17390,             11708158,,,,                  9000,,                 93992,,                 30106,,                114463,,                224513,                 72139,,,                656979,                656979,                185699,                842678,              1387510,,,              1444873,,                 38010,,                259626,                 49193,                308819,              1791702,              3179212,,,,              3669234,              3669234,,              2911338,,                454076,                195815,,                741957,              1391848,,                514097,                              0,              8486517,                 42429,              8528946,,                    619,,,,
2704,2012年12月31日,,,,                264354,,              2588898,,                 20577,,                 99283,,                  3095,,                 63803,,                 89162,,                  2601,              3131773,,,                716495,,                 39151,,,,                697825,,              6782796,,                148301,                125323,,                 41093,              8568357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 17373,             11700130,,,,                 18000,,                 85992,,                  5143,,                135110,,                301492,                 51696,,,                643310,                643310,                188696,                832006,              1433357,,,              1497863,,                 38756,,                258373,                 50747,                309120,              1845739,              3279096,,,,              3669234,              3669234,,              2911338,,                454076,                195815,,                648487,              1298378,,                501726,                              0,              8380676,                 40358,              8421034,,                  3918,,                              0,,                              0
2704,2012年09月30日,,,,                275266,,              2514617,,                 15115,,                118488,,                  4325,,                 52474,,                 93104,,                  8660,              3082049,,,                703789,,                 39151,,,,                690458,,              6852223,,                148426,                121513,,                 40911,              8613844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 17373,             11695893,,,,                 32000,,                100000,,                  8865,,                105842,,                450036,                 66360,,,                624564,                624564,                165114,                789678,              1562826,,,              1514890,,                 36671,,                244687,                 50427,                295114,              1846675,              3409501,,,,              3669234,              3669234,,              2910710,,                454076,                195815,,                607749,              1257640,,                408278,                              0,              8245862,                 40530,              8286392,,                 10045,,                              0,,                              0
2704,2012年06月30日,,,,                248857,,              2524339,,                 19245,,                104216,,                  2279,,                 46129,,                103984,,                 11967,              3062560,,,                693530,,                 39151,,,,                658471,,              6896474,,                148551,                121040,,                 40623,              8615213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 17373,             11677773,,,,                291000,,                202387,,                 18160,,                113178,,                435112,                 57759,,,                607512,                607512,                162126,                769638,              1893711,,,              1276864,,                 35742,,                246305,                 50154,                296459,              1609065,              3502776,,,,              3669234,              3669234,,              2910710,,                454076,                195815,,                512830,              1162721,,                390145,                              0,              8132810,                 42187,              8174997,,                  6477,,                  1544,,                              0
2704,2012年03月31日,,,,                287021,,              2292899,,                 17449,,                 92935,,                  2117,,                 44219,,                113222,,                  8480,              2859965,,,                664234,,                 39151,,,,                634089,,              6947511,,                148676,                127433,,                 47497,              8625964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 17373,             11485929,,,,                435000,,                353916,,                 24019,,                109391,,                291235,                 68146,,,                101420,                101420,                159220,                260640,              1572640,,,                942523,,                 34170,,                267072,                 50514,                317586,              1782293,              3354933,,,,              3669234,              3669234,,              2910085,,                411315,                195815,,                685063,              1292193,,                216740,                              0,              8088252,                 42744,              8130996,,                 30293,,                  1623,,                488014
2704,2012年01月01日,,,,                264588,,              2119843,,                 26610,,                 88755,,                  7252,,                 47020,,                 84744,,                  3531,              2643943,,,                656322,,                 39151,,,,                563233,,              6946569,,                148802,                123194,,                 47418,              8572048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 47359,             11215991,,,,                200000,,                218932,,                  4724,,                132334,,                366908,                 44993,,,                 98710,                 98710,                168716,                267426,              1245855,,,              1193156,,                 34170,,                265650,                 50133,                315783,              2018785,              3264640,,,,              3669234,              3669234,,              2910085,,                411315,                195815,,                613279,              1220409,,                104458,                              0,              7904186,                 47165,              7951351,,                 10538,,                  1600,,                475676
