證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　　 預付投資款,　　　　 其他流動資產－其他,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
2430,2015年09月30日,,,,                992855,,                  4179,,                  1021,,                146142,,                167707,,              2663662,,                 52879,,                              0,,                103878,                103878,              4132323,,,                 17910,,                142161,,              3687018,,                878475,,                 11424,                 77018,,                220990,,                 21773,,                148879,,                  6133,                397775,              5211781,              9344104,,,,,                  1300,,                  4798,,              2979553,,                 17269,,                876052,                     12,                              0,,,                425544,                 90293,                515837,              4394821,,,                100404,,,                174789,                 15527,                128762,                319078,                419482,              4814303,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                714639,                 59757,,                875939,              1650335,,,                -79168,                -79168,              4504046,                 25755,              4529801,              9344104,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,2015年06月30日,,,,              1674713,,                  5537,,                  1374,,                 74077,,                 42591,,              2914012,,                 79768,,                              0,,                148719,                148719,              4940791,,,                 17910,,                145412,,              3691570,,                879327,,                 12922,                 79428,,                223289,,                 21077,,                148879,,                  6868,                400113,              5226682,             10167473,,,,,                 23900,,                  5883,,              3692900,,                 32719,,                932944,                 16312,                              0,,,                540044,                 75718,                615762,              5320420,,,                165268,,,                180910,                 16628,                128463,                326001,                491269,              5811689,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                714639,                 59757,,                721433,              1495829,,,                -78145,                -78145,              4350563,                  5221,              4355784,             10167473,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,2015年03月31日,,,,                984319,,                  5897,,                  1008,,                 55091,,                 43578,,              2628656,,                164992,,                              0,,                149142,                149142,              4032683,,,                 17910,,                153355,,              3726440,,                880179,,                 13413,                 67041,,                228082,,                 20098,,                 92711,,                  7698,                348589,              5206927,              9239610,,,,,                  3100,,                  9613,,              2932231,,                 11941,,                835729,                 57424,                              0,,,                430866,                 83048,                513914,              4363952,,,                 87250,,,                188083,                 17717,                127360,                333160,                420410,              4784362,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                703574,                 72343,,                803493,              1579410,,,                -73712,                -73712,              4438577,                 16671,              4455248,              9239610,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,2014年12月31日,,,,              1233938,,                  6233,,                  4748,,                 84052,,                 45319,,              2926583,,                 64477,,                573728,,                138435,                138435,              5077513,,,                 17910,,                155288,,              3758679,,                881031,,                  9450,                116177,,                229651,,                 16040,,                 96662,,                  7928,                350281,              5288816,             10366329,,,,,                              0,,                 24667,,              3446977,,                 50039,,                982557,                 57618,                299652,,,                475146,                 83350,                558496,              5420006,,,                 86971,,,                216805,                 18663,                120683,                356151,                443122,              5863128,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                703574,                 72343,,                666202,              1442119,,,                -59757,                -59757,              4315241,                187960,              4503201,             10366329,              0,              0,              0,              1233938,             10366329,,,,                 24667,,              3446977,,                 50039,,                982557,                 57618,                299652,,,                475146,                 83350,                558496,              5420006,,,                 86971,,,                216805,                 18663,                120683,                356151,                443122,              5863128,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                703574,                 72343,,                666202,              1442119,,,                -59757,                -59757,              4315241,                187960,              4503201,,,,,,
2430,2014年09月30日,,,,              2980202,,                  6780,,                  1701,,                354437,,                142187,,              2721897,,                 75572,,                              0,,                111769,                111769,              6394545,,,                 17910,,                156826,,              2611946,,                628585,,                112493,                146205,,                251309,,                 13555,,                 17844,,                              0,                282708,              3956673,             10351218,,,,,                              0,,                 22839,,              3475364,,                 52288,,                954979,                 39709,                              0,,,                497014,                105844,                602858,              5148037,,,                 55567,,,                221333,                 18488,                123380,                363201,                418768,              5566805,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                703574,                 72343,,                878331,              1654248,,,                -67546,                -67546,              4519581,                264832,              4784413,             10351218,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,2014年06月30日,,,,              2443934,,                  2922,,                  2192,,                429274,,                 92260,,              3079432,,                 64539,,                              0,,                128611,                128611,              6243164,,,                 17910,,                156637,,              2532326,,                629381,,                109063,                137568,,                248121,,                 13269,,                 17844,,                      2,                279236,              3862121,             10105285,,,,,                              0,,                 17088,,              3309145,,                 64110,,                918525,                 74137,                              0,,,                491375,                 99338,                590713,              4973718,,,                 56119,,,                228412,                 19611,                123040,                371063,                427182,              5400900,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                703574,                 72343,,                784967,              1560884,,,                -68961,                -68961,              4424802,                279583,              4704385,             10105285,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,2014年03月31日,,,,              2232078,,                  4603,,                  3772,,                462996,,                 90907,,              3137375,,                177307,,                              0,,                144686,                144686,              6253724,,,                 17910,,                156965,,              2807179,,                399115,,                116004,                128776,,                248081,,                 12912,,                 15745,,                      7,                276745,              3902694,             10156418,,,,,                              0,,                 17391,,              3123315,,                 30239,,                849897,                139308,                              0,,,                418701,                106544,                525245,              4685395,,,                 56119,,,                235561,                 20719,                126816,                383096,                439215,              5124610,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                651513,                 30830,,              1162098,              1844441,,,                -54809,                -54809,              4722511,                309297,              5031808,             10156418,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,2013年12月31日,,,,,,                 10846,,                  8619,,                482137,,                 70530,,              3321311,,                 48602,,                              0,,                160355,                160355,              7156267,,,                 17910,,                155175,,              2834930,,                399656,,                111579,                122598,,                246305,,                 12073,,                 15745,,                     12,                274135,              3915983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              3053867,             11072250,,,,                 15475,,              3915473,,                 56477,,              1062157,                 96741,                              0,,,                530978,                107125,                638103,              5784426,,,                 55989,,,                242042,                 21904,                127531,                391477,                447466,              6231892,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                651513,                 30830,,                985093,              1667436,,,                -72343,                -72343,              4527972,                312386,              4840358,,,,,,
2430,2013年09月30日,,,,,,                  9908,,                  2946,,                534024,,                129226,,              2932565,,                 87514,,,,                115822,                115822,              6585225,,,                 17910,,                155052,,              2935135,,                400196,,                109261,                 99527,,                250359,,                 10260,,                  6735,,                     17,                267371,              3984452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2773220,             10569677,,,,                  5348,,              3554379,,                 19896,,              1110540,                 61491,,,,                426226,                148583,                574809,              5326463,,,                 56526,,,                248853,                 33776,                127620,                410249,                466775,              5793238,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                651513,                 30830,,                884247,              1566590,,,                -65661,                -65661,              4433808,                342631,              4776439,,,,,,
2430,2013年06月30日,,,,,,                 11316,,                  2043,,                209963,,                 49276,,              2773874,,                110021,,,,                146534,                146534,              6456498,,,                 17910,,                384777,,              2849924,,                400737,,                  8290,                 84112,,                224851,,                 14254,,,,                     22,                239127,              3984877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              3153471,             10441375,,,,                 97575,,              3811410,,                 92472,,                921643,                 90448,,,,                497584,                120152,                617736,              5631284,,,                 56691,,,                265471,                 34921,                124637,                425029,                481720,              6113004,,,,              1674631,              1674631,,,              1253111,                  5137,              1258248,,                651513,                 30830,,                723688,              1406031,,,                -26728,                -26728,              4312182,                 16189,              4328371,,,,,,
