證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 預付投資款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
2034,2015年09月30日,,,,                656836,,                 22250,,                 27246,,                 71015,,              1817116,,                309763,,                              0,,,              3469747,              3469747,,                 10182,,                    800,              6384955,,,                355570,,              2560938,                 59125,,                 74236,                 25425,                370332,,                201339,                201339,                671332,              3646965,             10031920,,,,,              1600896,,                 99875,,                    659,,                    348,,                191866,,                208563,                 53542,,,                221723,,                123008,                123008,                 16522,                361253,              2517002,,,                324459,,                    890,,                160339,                 64676,                225015,                550364,              3067366,,,,              3701189,              3701189,,              1848637,,                756744,                              0,,                662390,              1419134,,                 -4406,                              0,              6964554,                              0,              6964554,             10031920,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,2015年06月30日,,,,                825533,,                 72480,,                 26854,,                 60718,,              1821153,,                358369,,                              0,,,              4075999,              4075999,,                 38195,,                    800,              7280101,,,                355570,,              2564057,                 51093,,                 81089,                 25021,                370332,,                199739,                199739,                676181,              3646901,             10927002,,,,,              1326761,,                 99879,,                    414,,                    456,,                234577,,                927227,                 60408,,,                185107,,                270924,                270924,                 19817,                475848,              3125570,,,                824363,,                    890,,                160934,                 58424,                219358,              1044611,              4170181,,,,              3701189,              3701189,,              1848637,,                756744,                              0,,                455049,              1211793,,                 -4798,                              0,              6756821,                              0,              6756821,             10927002,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,2015年03月31日,,,,                816188,,                 82240,,                 36429,,                 36734,,              1938255,,                253855,,                      1,,,              4798096,              4798096,,                 40104,,                    800,              8002702,,,                355570,,              2585963,                 50675,,                 59630,                 25021,,,                 33853,                 33853,                118504,              3110712,             11113414,,,,,              1347791,,                 99855,,                    354,,                    301,,                318788,,                230625,                130238,,,                258115,,                220924,                220924,                 24192,                503231,              2631183,,,                885963,,                    890,,                161583,                  5200,                166783,              1053636,              3684819,,,,              3701189,              3701189,,              1848637,,                658463,                              0,,              1215529,              1873992,,                  4777,,              7428595,                              0,              7428595,             11113414,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,2014年12月31日,,,,                820104,,                 47686,,                 37853,,                 56810,,              2483956,,                204496,,                 10929,,,              4591252,              4591252,,                 24777,,                    800,              8278663,,,                355570,,              2570438,                 38341,,                 73188,                 25021,                              0,,                 33853,                 33853,                132062,              3096411,             11375074,,,,,              1703616,,                 99855,,                  1339,,                    628,,                167160,,                342291,                101923,,,                339948,,                168841,                168841,                 17080,                525869,              2942681,,,                985867,,                    890,,                162129,                  4220,                166349,              1153106,              4095787,,,,              3701189,              3701189,,              1848637,,                658463,                              0,,              1064797,              1723260,,                  6201,                              0,              7279287,                              0,              7279287,             11375074,              0,              0,              0,                820104,                 10929,             11375074,,,,              1703616,,                 99855,,                  1339,,                    628,,                167160,,                342291,                101923,,,                339948,,                168841,                168841,                 17080,                525869,              2942681,,,                985867,,                    890,,                162129,                  4220,                166349,              1153106,              4095787,,,,              3701189,              3701189,,              1848637,,                658463,                              0,,              1064797,              1723260,,                  6201,                              0,              7279287,                              0,              7279287
2034,2014年09月30日,,,,                646139,,                 89159,,                 38565,,                 45573,,              2882368,,                552092,,                 25919,,,              6237132,              6237132,,                 24787,,                    800,             10542534,,,                355570,,              2559672,                 39779,,                 90284,                    138,                              0,,                 33853,                 33853,                124275,              3079296,             13621830,,,,,              3911258,,                199785,,                              0,,                    260,,                315584,,                276391,                 78520,,,                343574,,                118841,                118841,                 21620,                484035,              5265833,,,              1047467,,                    890,,                194928,                  3163,                198091,              1246448,              6512281,,,,              3701189,              3701189,,              1848637,,                658463,                              0,,                894347,              1552810,,                  6913,                              0,              7109549,                              0,              7109549,             13621830,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,2014年06月30日,,,,                558301,,                 96347,,                 41057,,                 47176,,              3028891,,                925902,,                 25919,,,              6497479,              6497479,,                 55165,,                    800,             11277037,,,                355570,,              2534536,                 36364,,                 90056,                    138,                              0,,                 33853,                 33853,                124047,              3050517,             14327554,,,,,              4202359,,                299677,,                              0,,                    376,,                405002,,                809593,                 72499,,,                375531,,                 77174,                 77174,                  7229,                459934,              6249440,,,              1095287,,                    890,,                195315,                  2355,                197670,              1293847,              7543287,,,,              3701189,              3701189,,              1848637,,                658463,                              0,,                566574,              1225037,,                  9404,                              0,              6784267,                              0,              6784267,             14327554,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,2014年03月31日,,,,                648467,,                 49252,,                 41057,,                 42682,,              2819965,,                856942,,                 25919,,,              5279616,              5279616,,                 45283,,                  8342,              9817525,,,                355570,,              2471136,                 38166,,                122584,                    138,,,                 33853,                 33853,                156575,              3021447,             12838972,,,,,              3086149,,                199663,,                    413,,                    346,,                355403,,                259913,                106307,,,                300491,,                 77174,                 77174,                 19801,                397466,              4405660,,,              1106887,,                    890,,                195792,                  4915,                200707,              1308484,              5714144,,,,              3701189,              3701189,,              1848637,,                593172,                 29227,,                943199,              1565598,,                  9404,,              7124828,                              0,              7124828,             12838972,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,2013年12月31日,,,,,,                 97596,,                 39277,,                 54667,,              2476120,,                425308,,,,,              4897312,              4897312,,                 58671,,                    800,              8729248,,,                355570,,              2466197,                 45994,,                 90328,                    141,,,                 32945,                 32945,                123414,              2991175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                653578,                 25919,             11720423,,,,              2193086,,                299458,,                              0,,                    276,,                319457,,                281076,                 68975,,,                334676,,                 35508,                 35508,                  6789,                376973,              3539301,,,              1154708,,                    890,,                196108,                  3251,                199359,              1354957,              4894258,,,,              3701189,              3701189,,              1848637,,                593172,                 29227,,                646315,              1268714,,                  7625,                              0,              6826165,                              0,              6826165
2034,2013年09月30日,,,,,,                 76380,,                 37319,,                 59235,,              2333588,,                360183,,,,,              4450172,              4450172,,                 47025,,                  1544,              8045582,,,                355570,,              2485056,                 50582,,                 54701,                    150,,,                 32945,                 32945,                 87796,              2979004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                654217,                 25919,             11024586,,,,              1798239,,                 99742,,,,                    262,,                378435,,                225895,                 55245,,,                288886,,                 35508,                 35508,                  5277,                329671,              2887489,,,              1166307,,                    890,,                170382,                114111,                284493,              1451690,              4339179,,,,              3701189,              3701189,,              1848637,,                593172,                 29227,,                507515,              1129914,,                  5667,                              0,              6685407,                              0,              6685407
2034,2013年06月30日,,,,,,                 83781,,                 44794,,                 63614,,              2771876,,                322053,,,,,              4608475,              4608475,,                 34181,,                    800,              8635265,,,                355570,,              2486972,                 64550,,                 48732,                    153,,,                 32945,                 32945,                 81830,              2988922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                679772,                 25919,             11624187,,,,              1837536,,                299725,,                    118,,                  2113,,                218317,,                462174,                 59780,,,                223301,,                210508,                210508,                  7857,                441666,              3321429,,,              1397461,,                    890,,                170932,                175459,                346391,              1744742,              5066171,,,,              3701189,              3701189,,              1848637,,                593172,                 29227,,                372649,                995048,,                 13142,                              0,              6558016,                              0,              6558016
