證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 債券換股權利證書,　　　　 預收股本,　　　　 重估增值,　　　　　 重估增值合計
4746,2015年09月30日,,,,                429800,,                754194,,                 16405,,                  8526,,                 12999,,              1063028,,                 51190,,                  8362,              2344504,,,                478350,,                     47,,              2626736,,                 18074,                 40507,,                386846,              3550560,              5895064,,,,,                717000,,                  1928,,                              0,,                152063,,                282162,                 28986,,                355894,              1538033,,,                488801,,                827694,,                 20713,,                 11493,              1348701,              2886734,,,,                853537,                853537,,,              1489222,                 23629,              1512851,,                161032,                     20,,                233344,                394396,,,                    259,,                247287,,                              0,                247546,              3008330,              3008330,              5895064,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746,2015年06月30日,,,,                422531,,                687027,,                     35,,                 10301,,                 12999,,              1088558,,                 47190,,                  3829,              2272493,,,                464550,,                    159,,              2625099,,                 19430,                 33754,,                388909,              3531901,              5804394,,,,,                733927,,                              0,,                              0,,                129515,,                446672,                 30644,,                347054,              1687812,,,                486300,,                733046,,                 14941,,                 11493,              1245780,              2933592,,,,                851378,                851378,,,              1480939,                 24114,              1505053,,                161032,                     20,,                119634,                280686,,,                    198,,                233487,,                              0,                233685,              2870802,              2870802,              5804394,              0,              0,              0,,                     23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746,2015年03月31日,,,,                555523,,                638160,,                  3292,,                 13811,,                 13004,,              1019314,,                 43907,,                  3520,              2290531,,,                491280,,,,              2622595,,                 16398,                 32764,,                389821,              3552858,              5843389,,,,,                907000,,                              0,,                              0,,                112355,,                292296,                 57404,,                352122,              1721177,,,                483812,,                561661,,                 14945,,                 12046,              1072464,              2793641,,,,                851378,                851378,,,              1480939,                 24114,              1505053,,                135354,                     20,,                297506,                432880,,,                    220,,                260217,,                              0,                260437,              3049748,              3049748,              5843389,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746,2014年12月31日,,,,                404743,,                672686,,                 10816,,                 16903,,                 13004,,                957483,,                 55269,,                  4987,              2135891,,,                553900,,                              0,,              2561742,,                 16941,                 28781,,                393168,              3554532,              5690423,,,,,                667000,,                    274,,                 14136,,                118387,,                333536,                 40172,,                295439,              1468944,,,                481336,,                673330,,                 19763,,                 11821,              1186250,              2655194,,,,                844116,                844116,,,              1452024,                 25809,              1477833,,                135354,                     20,,                255946,                391320,,,                    236,,                321724,,                              0,                321960,              3035229,              3035229,              5690423,              0,              0,              0,,                              0,                404743,                 13004,              5690423,,,,                667000,,                    274,,                 14136,,                118387,,                333536,                 40172,,                295439,              1468944,,,                481336,,                673330,,                 19763,,                 11821,              1186250,              2655194,,,,                844116,                844116,,,              1452024,                 25809,              1477833,,                135354,                     20,,                255946,                391320,,,                    236,,                321724,,                              0,                321960,              3035229,              3035229,,,,,,,,
4746,2014年09月30日,,,,                288978,,                635537,,                 17572,,                 13934,,                 13002,,                930839,,                 93443,,                  4961,              1998266,,,                348084,,                              0,,              2446289,,                 13568,                 27098,,                415841,              3250880,              5249146,,,,,                512935,,                    838,,                              0,,                 97302,,                289609,                 39495,,                320164,              1260343,,,                620887,,                507650,,                 17035,,                 10683,              1156255,              2416598,,,,                844116,                844116,,,              1452024,                 25809,              1477833,,                135354,                     20,,                198134,                333508,,,                    183,,                176908,,                              0,                177091,              2832548,              2832548,              5249146,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746,2014年06月30日,,,,                206825,,                766086,,                 12004,,                 23902,,                 13002,,                827960,,                 63747,,                  5070,              1918596,,,                281395,,                              0,,              2399111,,                 13429,                 29594,,                403912,              3127441,              5046037,,,,,                913972,,                              0,,                              0,,                129343,,                314649,                 27719,,                274916,              1660599,,,                141400,,                560756,,                 14929,,                 10680,                727765,              2388364,,,,                844095,                844095,,,              1451943,                  7053,              1458996,,                135354,                     20,,                108848,                244222,,,                    141,,                110219,,                              0,                110360,              2657673,              2657673,              5046037,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746,2014年03月31日,,,,                201792,,                802342,,                  6570,,                 16631,,                 14223,,                741387,,                 60514,,                  4853,              1852002,,,                269923,,,,              2330698,,                  8484,                 30332,,                399736,              3039173,              4891175,,,,,                852567,,                    107,,                              0,,                178601,,                294762,                 13706,,                234066,              1573809,,,                144171,,                561362,,                 17261,,                 10579,                733373,              2307182,,,,                843349,                843349,,,              1449031,                  7227,              1456258,,                135354,                     20,,                 50091,                185465,,,                    174,,                 98747,,                              0,                 98921,              2583993,              2583993,              4891175,              0,              0,              0,,                  3690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746,2013年12月31日,,,,,,                768293,,                 10879,,                 24757,,,,                679371,,                 57806,,                  5420,              1973996,,,                270216,,,,              2306532,,                  9036,                 31470,,                399733,              3016987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                413247,                 14223,              4990983,,,,                975946,,                    506,,                              0,,                173777,,                354177,                 14878,,                252251,              1771535,,,                156237,,                520031,,                 16848,,                 10655,                703771,              2475306,,,,                840589,                840589,,,              1438336,                  7872,              1446208,,                135354,                     20,,                 -5718,                129656,,,                    184,,                 99040,,                              0,                 99224,              2515677,              2515677,,,,,,,,
4746,2013年09月30日,,,,,,                697189,,                 29537,,                 21288,,,,                672522,,                 66318,,                  6601,              2131060,,,                155649,,                              0,,              2131510,,                  8773,                 32311,,                423009,              2751252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,                621872,                 15733,              4882312,,,,              1064279,,                              0,,                              0,,                142944,,                310468,                  4481,,                 71947,              1594119,,,                230933,,                739200,,                 14931,,                  9234,                994298,              2588417,,,,                806316,                824220,,,              1375259,                 11693,              1386952,,                135354,                     20,,                -52551,                 82823,,,                    149,,                   -249,,                              0,                   -100,              2293895,              2293895,,                              0,,                              0,                 17904,,,
4746,2013年06月30日,,,,,,                745249,,                  9852,,                 22375,,,,                691946,,                 78701,,                  5628,              1798981,,,                158489,,                              0,,              1976925,,                  8655,                 30720,,                441434,              2616223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,                235422,                  9808,              4415204,,,,              1065892,,                    311,,,,                109824,,                272008,                 20237,,                 93347,              1701573,,,                466218,,                712500,,                 16225,,                  9020,              1203963,              2905536,,,,                672686,                672686,,,                772112,                 23726,                795838,,                135354,                     20,,                -96994,                 38380,,,                    173,,                  2591,,                              0,                  2764,              1509668,              1509668,,                139954,,                              0,,,,
