證券代號,年季,　 資產,　　 現金及約當現金,　　 存放央行及拆借金融同業,　　 透過損益按公允價值衡量之金融資產,　　 備供出售金融資產－淨額,　　 避險之衍生金融資產,　　 附賣回票券及債券投資,　　 應收款項－淨額,　　　 應收款項－淨額,　　 當期所得稅資產,　　　 本期所得稅資產合計,　　 貼現及放款－淨額,　　 再保險合約資產－淨額,　　 持有至到期日金融資產－淨額,　　 採用權益法之投資－淨額,　　 其他金融資產－淨額,　　　 其他金融資產－淨額,　　 投資性不動產－淨額,　　　 投資性不動產－淨額,　　 不動產及設備－淨額,　　 無形資產－淨額,　　 遞延所得稅資產,　　 其他資產－淨額,　　　 其他資產－淨額,　　 資產總計,　 負債及權益 ,　　 負債,　　　 央行及金融同業存款,　　　 透過損益按公允價值衡量之金融負債,　　　 避險之衍生金融負債,　　　 附買回票券及債券負債,　　　 應付商業本票－淨額,　　　 應付款項,　　　　 應付款項合計,　　　 本期所得稅負債,　　　 存款及匯款,　　　 應付債券,　　　 其他借款,　　　　 其他借款合計,　　　 負債準備,　　　　 負債準備合計,　　　 其他金融負債,　　　　 其他金融負債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他負債,　　　　 其他負債合計,　　　 負債總計,　　 權益 ,　　　 歸屬於母公司業主之權益 ,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 備供出售金融資產未實現評價損益,　　　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總計,　　 負債及權益總計,　　 預收股款（股東權益項下）之約當發行股數（單位：股）,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 央行及金融同業存款,　　 透過損益按公允價值衡量之金融負債,　　 避險之衍生金融負債,　　 附買回票券及債券負債,　　 應付商業本票－淨額,　　 應付款項,　　　 應付款項合計,　　 當期所得稅負債,　　 存款及匯款,　　 應付債券,　　 其他借款,　　　 其他借款合計,　　 負債準備,　　　 負債準備合計,　　 其他金融負債,　　　 其他金融負債合計,　　 遞延所得稅負債,　　　 遞延所得稅負債合計,　　 其他負債,　　　 其他負債合計,　　 負債總額,　 權益 ,　　 歸屬於母公司業主之權益 ,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　 備供出售金融資產未實現評價利益（損失）,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 共同控制下前手權益,　　　　 待分配股票股利
2880,2015年09月30日,,             58789648,            181995259,             67923826,             89574510,                     72,                538990,,             39488979,,                871389,          1470525652,              3472264,            309963568,                 67155,,             70577715,,              8965660,             33064906,                308233,              2236831,,              4217264,          2342581921,,,             85096978,             21540648,                 48173,             35346008,             12159158,,             79021879,              1680714,          1862460409,             48844581,,              1286000,,             17613695,,             16390118,,              6131115,,              5319784,          2192939260,,,,             99063042,             99063042,             17758986,,             10841763,              6492093,             14747141,             32080997,,              2234346,             -1616977,                120751,                738120,            149641145,                  1516,            149642661,          2342581921,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2015年06月30日,,             50310351,            167992959,             52413907,             96000708,                  1202,                697550,,             52724773,,                999022,          1453221713,              3222524,            270559218,                 67709,,             74670561,,              9252974,             32755236,                320939,              2151505,,              2691020,          2270053871,,,             94709529,             19581568,                 48782,             34915443,              8866155,,             39447936,              2191011,          1832743231,             48844155,,              1282000,,             17443162,,             14856015,,              6105529,,              3110549,          2124145065,,,,             93279700,             99063042,             17758986,,             10841763,              6492093,             11741714,             29075570,,                491402,               -616537,                134847,                  9712,            145907310,                  1496,            145908806,          2270053871,              0,              0,              5783342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2015年03月31日,,             64983384,            146581710,             49912107,             89322525,                  1154,                467915,,             45373796,,              1886954,          1465965354,              2932465,            267249483,                 68923,,             76785795,,              9358604,             33413605,                346507,              2121478,,              5540368,          2262312127,,,             83656136,             23280065,                 57099,             27170933,              8921894,,             32932689,              1941036,          1846573769,             47343734,,              2335000,,             16830507,,             13135960,,              6119580,,              4222237,          2114520639,,,,             93279700,             93279700,             17758986,,              9528669,              6492093,             20702866,             36723628,,                739870,               -862090,                149879,                 27659,            147789973,                  1515,            147791488,          2262312127,              0,              0,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2014年12月31日,,             65139086,            126840184,             53560052,             94466936,                  4191,                458591,,             45646598,,              1710467,          1478084933,              2822021,            267054720,                 70641,,             74834104,,              8239124,             33263607,                372480,              2143252,,              5240659,          2259951646,,,            100435752,             22934698,                 41968,             32648320,              7058369,,             34973240,              1369891,          1828517934,             47343318,,              1557000,,             16488351,,             13795307,,              6118592,,              2728859,          2116011599,,,,             93279700,             93279700,             17758986,,              9528669,              6492093,             17036604,             33057366,,                863958,             -1244286,                222820,               -157508,            143938544,                  1503,            143940047,          2259951646,              0,              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2014年09月30日,,             55382226,            138085572,             54743455,             99058763,                  6111,                394392,,             49634165,,              1872051,          1425206464,              2921288,            267597520,                 75514,,             76560880,,              7755166,             32585262,                379425,              2208417,,              6424040,          2220890711,,,            105261574,             20929064,                 49910,             37655008,              7129802,,             52608209,              1235339,          1773646748,             47042898,,              1411000,,             16250553,,              6525139,,              6101903,,              5286529,          2081133676,,,,             93279700,             93279700,             17758986,,              9528669,              6492093,             14193190,             30213952,,                286475,             -1783558,                              0,             -1497083,            139755555,                  1480,            139757035,          2220890711,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2014年06月30日,,             51402040,            151169607,             51680415,             97938516,                  3363,                421396,,             47794368,,              1744849,          1398428285,              2837573,            251493687,                 76617,,             73797464,,              7811729,             32426824,                394923,              2458458,,              3622426,          2175502540,,,            104401396,             20629578,                 64856,             28591214,              4056109,,             34774333,              1894376,          1765371283,             45842378,,              1574000,,             16187986,,              7087122,,              6101375,,              2772467,          2039348473,,,,             90562816,             93279700,             17758986,,              9528669,              6492093,             10727210,             26747972,,                 -9253,             -1624793,                              0,             -1634046,            136152612,                  1455,            136154067,          2175502540,              0,              0,              2716884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2014年03月31日,,             47493131,            149545945,             49398938,             87603497,                  6283,                518154,,             48078401,,              2060395,          1420981877,              2726303,            271294793,                 75222,,             47827485,,              7796805,             32179892,                410603,              2486313,,              3767356,          2174251393,,,            122106147,             20565330,                 74638,             25459563,              6417139,,             31458334,              2691305,          1742806561,             45841968,,                880000,,             15959408,,             11999581,,              6104073,,              2990010,          2035354057,,,,             90562816,             90562816,             17758986,,              8523548,              6492093,             17481098,             32496739,,                247848,             -2170522,                              0,             -1922674,            138895867,                  1469,            138897336,          2174251393,              0,              0,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2014年01月01日,,             49164202,            122085753,             44612847,             86877259,                  6132,                610822,,             48490908,,              2022777,          1406686928,              2563184,            310957337,                 75532,,             44373098,,              7517333,             32173716,                403916,              2348090,,              3759598,          2164729432,,,            131875899,             20794876,                 86820,             24494364,              5456332,,             29717876,              2194257,          1737742713,             41541653,,                938000,,             15565149,,              8664716,,              6101863,,              3898365,          2029072883,,,,             90562816,             90562816,             17758986,,              8523548,              6492093,             14463112,             29478753,,                -20632,             -2124839,                              0,             -2145471,            135655084,                  1465,            135656549,          2164729432,              0,              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,2013年12月31日,,             49164202,            122085753,             44612847,             86877259,                  6132,                610822,,             48490908,,,          1406686928,              2563184,            310957337,                 75532,,             44373098,,              7517333,             32173716,                403916,              2347229,,              3759598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,              2022777,          2164728571,,            131875899,             20794876,                 86820,             24494364,              5456332,,             29717876,              2194257,          1737742713,             41541653,,                938000,,             15560087,,              8664716,,              6101863,,              3898365,          2029067821,,,,             90562816,             90562816,             17758986,,              8523548,              6492093,             14467312,             29482953,,                -20632,             -2124839,             -2145471,            135659284,                  1466,            135660750,                              0,                              0
2880,2013年09月30日,,             40975239,            141482649,             44635099,             85195580,                  4984,                618323,,             47509278,,,          1397663439,              2661620,            300455806,                 78449,,             40020170,,              7694417,             31880266,                399769,              2112318,,              3829485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,              2029902,          2149246793,,            139389034,             21109280,                 97485,             22721006,              4970416,,             37629250,              1764597,          1704868078,             48541239,,              1164000,,             16019464,,              7910284,,              6099633,,              4541028,          2016824794,,,,             90562816,             90562816,             17758986,,              8523548,              6492093,             11919649,             26935290,,                -97870,             -2738684,             -2836554,            132420538,                  1461,            132421999,                              0,
