證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　 預付款項,　　　　 預付款項合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
6142,2015年09月30日,,,,              1849582,,                 79125,,                557857,,                630905,,                 21343,,                 10164,,,                660138,                660138,,                893064,                 54297,                947361,              4756475,,,                 68764,,                              0,,              2081231,,                 42344,                 13603,,                 21016,,                 12210,                 12210,                 33226,              2239168,              6995643,,,,,              1451928,,                 13487,,              1050670,,                251492,                              0,,                  3981,,,                              0,                              0,                 29604,                 29604,              2801162,,,              1083867,,                 15088,,                              0,                     74,                     74,              1099029,              3900191,,,,              2682357,              2682357,,                431695,,                 30131,,                -48731,                              0,              3095452,                              0,              3095452,              6995643,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142,2015年06月30日,,,,              1519797,,                  9424,,                713479,,                247490,,                 68470,,                  8538,,,                601646,                601646,,              2225943,                 43908,              2269851,              5438695,,,                 90332,,                              0,,              2087200,,                 45378,                 13603,,                 20327,,                 13257,                 13257,                 33584,              2270097,              7708792,,,,,              2238313,,                  1472,,              1076536,,                232526,                              0,,                  3507,,,                              0,                              0,                 57657,                 57657,              3618492,,,              1017588,,                 15088,,                              0,                     71,                     71,              1032747,              4651239,,,,              2725397,              2725397,,                421293,,                 22521,,                -79020,                 32638,              3057553,                              0,              3057553,              7708792,,              0,      4304000,,                  8481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142,2015年03月31日,,,,              1719603,,                 26911,,                718315,,                518802,,                 39209,,                  7501,,,                744268,                744268,,              2888759,,              2888759,              6705938,,,                118342,,                              0,,              2118978,,                 43528,                 13603,,                 20755,,,                 18310,                 39065,              2333516,              9039454,,,,,              3376938,,                  5205,,              1151549,,                246707,                              0,,                  3624,,,,,                 64275,                 64275,              4857870,,,              1032097,,                 15088,,                              0,                     62,                     62,              1047247,              5905117,,,,              2725397,              2725397,,                421293,,                 52962,,                -32677,                 32638,              3134337,                              0,              3134337,              9039454,              0,              0,      4304000,,                  9572,,                 42570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142,2014年12月31日,,,,              2148354,,                 36610,,                599514,,                511240,,                 82171,,                  6886,,,                683078,                683078,,              2022775,                 41865,              2064640,              6132493,,,                130246,,                  4998,,              2156694,,                 42878,                 13603,,                 21091,,                 18699,                 18699,                 39790,              2388209,              8520702,,,,,              2699816,,                  8208,,              1179060,,                286517,                              0,,                  4262,,,                              0,                              0,                 46807,                 46807,              4224670,,,              1043638,,                 15088,,                              0,                     63,                     63,              1058789,              5283459,,,,              2725397,              2725397,,                421293,,                131471,,                 -8280,                 32638,              3237243,                              0,              3237243,              8520702,              0,              0,      4304000,,                              0,,,              2148354,                  6886,              8520702,,,,              2699816,,                  8208,,              1179060,,                286517,                              0,,                  4262,,,                              0,                              0,                 46807,                 46807,              4224670,,,              1043638,,                 15088,,                              0,                     63,                     63,              1058789,              5283459,,,,              2725397,              2725397,,                421293,,                131471,,                 -8280,                 32638,              3237243,                              0,              3237243
6142,2014年09月30日,,,,                920816,,                 22338,,                564919,,                596270,,                 99514,,                              0,,,                650631,                650631,,              4217876,                 55905,              4273781,              7128269,,,                127095,,                  4998,,              1898982,,                 47148,                  6833,,                 20630,,                 57895,                 57895,                 78525,              2163581,              9291850,,,,,              3630142,,                  7456,,              1072946,,                266139,                  2717,,                  4754,,,                              0,                              0,                 46046,                 46046,              5030200,,,              1003080,,                 14650,,                              0,                  1050,                  1050,              1018780,              6048980,,,,              2725397,              2725397,,                421293,,                179946,,                -51128,                 32638,              3242870,                              0,              3242870,              9291850,              0,              0,      4304000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142,2014年06月30日,,,,              1417388,,                 12414,,                702531,,                476068,,                 85885,,                              0,,,                715748,                715748,,              4691533,                 53677,              4745210,              8155244,,,                135930,,                  4998,,              1921460,,                 50346,                  6833,,                 20214,,                 10634,                 10634,                 30848,              2150415,             10305659,,,,,              4430845,,                 13229,,              1221192,,                368527,                  2717,,                  5229,,,                              0,                              0,                 34205,                 34205,              6075944,,,                984779,,                 14650,,                              0,                     11,                     11,                999440,              7075384,,,,              2725397,              2725397,,                421293,,                194598,,                -78375,                 32638,              3230275,                              0,              3230275,             10305659,,              0,      4304000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142,2014年03月31日,,,,              1731368,,                 22973,,                745367,,                306421,,                 87456,,                              0,,,                816466,                816466,,              3314811,,              3314811,              7082602,,,                148631,,                  4998,,              1948817,,                 53326,                 13919,,                 20710,,,                 10739,                 31449,              2201140,              9283742,,,,,              3087561,,                 14344,,              1394350,,                250879,                  9601,,                  5926,,,,,                 35952,                 35952,              4798613,,,              1004728,,                 14650,,                              0,                     11,                     11,              1019389,              5818002,,,,              2725397,              2725397,,                421293,,                393516,,                -41828,                 32638,              3465740,                              0,              3465740,              9283742,              0,              0,      4304000,,                              0,,                 57740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142,2013年12月31日,,,,,,                 11684,,                901437,,                412483,,                 90338,,,,,                968555,                968555,,              3270594,                 67836,              3338430,              7496512,,,                123916,,                  4998,,              1969026,,                 55019,                  6833,,                 20941,,                 11006,                 11006,                 31947,              2191739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4304000,,,,,              1773585,                              0,              9688251,,,,              2993646,,                              0,,              1778932,,                342356,                  9601,,                  4618,,,                              0,                              0,                 30139,                 30139,              5159292,,,                982800,,                 14650,,                              0,                     11,                     11,                997461,              6156753,,,,              2725397,              2725397,,                421293,,                477790,,                -60344,                 32638,              3531498,                              0,              3531498
6142,2013年09月30日,,,,,,                  4517,,              1038708,,              1044563,,                 42994,,,,,                928149,                928149,,              2623997,                 42882,              2666879,              7436540,,,                113276,,                  4998,,              1998297,,                 59302,                 23113,,                 20672,,                  8325,                  8325,                 28997,              2227983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4304000,,,,,              1710730,,              9664523,,,,              2876617,,                  2764,,              1905316,,                356048,                  7444,,                  4791,,,                              0,                              0,                 47167,                 47167,              5200147,,,                975051,,                 21359,,                  9229,                     11,                  9240,              1005650,              6205797,,,,              2725397,              2725397,,                421293,,                442632,,                -97958,                 32638,              3458726,                              0,              3458726
6142,2013年06月30日,,,,,,                 10867,,              1394095,,                684466,,                114841,,,,,                985456,                985456,,              3169375,                 58597,              3227972,              7928881,,,                125976,,                  4998,,              2023136,,                 60744,                 23113,,                 21049,,                 16556,                 16556,                 37605,              2275572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4304000,,,,,              1511184,,             10204453,,,,              2862709,,                    719,,              2270078,,                492973,                 14827,,                  5063,,,                              0,                              0,                 39098,                 39098,              5685467,,,                989230,,                 21359,,                  9229,                     11,                  9240,              1019829,              6705296,,,,              2725397,              2725397,,                421293,,                454194,,                -69089,                 32638,              3499157,                              0,              3499157
