證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　 共同控制下前手權益,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 長期借款,　　　　 長期借款合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計
1454,2015年09月30日,,,,                 81151,,                244520,,                 15443,,                214285,,                  3059,,                  1213,,                  1676,,                556364,,                 18703,,                  1841,              1138255,,,                 22210,,                870073,,                  5075,                 51350,,                  3674,,                  1067,                  4741,                953449,              2091704,,,,,                125000,,                              0,,                 35768,,                 36449,,                              0,,                 53113,                 53113,                 10418,,,                  8329,                  3454,                 11783,                272531,,,                    181,,                119831,                              0,                119831,                120012,                392543,,,,              1403098,              1403098,,                 67094,,                 28052,                 37213,,                112068,                177333,,                128655,                 77032,              1699148,                     13,              1699161,              2091704,              0,      7714103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,2015年06月30日,,,,                177712,,                257860,,                 15201,,                229513,,                  2275,,                  1919,,                  1676,,                561372,,                 25131,,                    601,              1273260,,,                 22210,,                885641,,                  5132,                 52588,,                    613,,                  1067,                  1680,                967251,              2240511,,,,,                160000,,                 50000,,                 38529,,                 47806,,                    483,,                102762,                102762,                  8660,,,                 13607,                  2992,                 16599,                424839,,,                     51,,                120825,                     40,                120865,                120916,                545755,,,,              1403098,              1403098,,                 64009,,                 28052,                 37213,,                 86625,                151890,,                152779,                 77032,              1694744,                     12,              1694756,              2240511,              0,          7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,2015年03月31日,,,,                 98918,,                209330,,                 14281,,                244732,,                  2034,,                  3299,,                  1681,,                564846,,                 27883,,                  1958,              1168962,,,                 22210,,                898996,,                  5188,                 57602,,                    672,,                  1065,                  1737,                985733,              2154695,,,,,                190000,,                 50000,,                 22117,,                 45034,,                              0,,                 41744,                 41744,                  4376,,,                 13091,                  2641,                 15732,                369003,,,                              0,,                130410,                     40,                130450,                130450,                499453,,,,              1403098,              1403098,,                 58006,,                 21197,                 37213,,                111868,                170278,,                115475,                 91622,              1655235,                      7,              1655242,              2154695,              0,      9175103,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,2014年12月31日,,,,                 95698,,                202261,,                 17791,,                226148,,                    374,,                  1980,,                  1683,,                575106,,                 27698,,                    507,              1149246,,,                 22210,,                910054,,                  5244,                 57712,,                    401,,                  1048,                  1449,                996669,              2145915,,,,,                170000,,                 60000,,                 40059,,                 42310,,                    306,,                 53574,                 53574,                              0,,,                 12244,                  3115,                 15359,                381608,,,                    150,,                131293,                  4040,                135333,                135483,                517091,,,,              1403098,              1403098,,                 58006,,                 21197,                 37213,,                 85998,                144408,,                114927,                 91622,              1628817,                      7,              1628824,              2145915,              0,      9175103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,2014年09月30日,,,,                 73523,,                204019,,                 17888,,                187756,,                    350,,                  4251,,                              0,,                559228,,                 33277,,                  1328,              1081620,,,                 24287,,                925953,,                  5301,                 58841,,                              0,,                  1048,                  1048,              1015430,              2097050,,,,,                170000,,                 50000,,                 38305,,                 38894,,                    282,,                 43242,                 43242,                  1286,,,                  9150,                  2480,                 11630,                353639,,,                              0,,                114582,                    240,                114822,                114822,                468461,,,,              1403098,              1403098,,                 58006,,                 21197,                 37213,,                 81928,                140338,,                118762,                 91622,              1628582,                      7,              1628589,              2097050,              0,      9175103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,2014年06月30日,,,,                173656,,                222047,,                 40027,,                190652,,                    293,,                  4798,,                              0,,                555551,,                 33408,,                    732,              1221164,,,                 24260,,                937971,,                  5358,                 59695,,                  1495,,                  1158,                  2653,              1029937,              2251101,,,,,                280000,,                 50000,,                 38011,,                 51262,,                    152,,                 76241,                 76241,                  2598,,,                 15046,                  2347,                 17393,                515657,,,                              0,,                115549,                  4440,                119989,                119989,                635646,,,,              1403098,              1403098,,                 55713,,                 21197,                 37213,,                 53086,                111496,,                136763,                 91622,              1615448,                      7,              1615455,              2251101,              0,          9175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,2014年03月31日,,,,                 73101,,                228642,,                 26886,,                181971,,                    882,,                  8164,,                              0,,                552471,,                 30245,,                    524,              1102886,,,                 25112,,                884795,,                  5454,                 59690,,                 62188,,                  1158,                 63346,              1038397,              2141283,,,,,                160000,,                 60000,,                 33716,,                 56608,,                              0,,                 37476,                 37476,                  4793,,,                 15848,                  2361,                 27909,                380502,,,                    526,,                116515,                     40,                116555,                117081,                497583,,,,              1403098,              1403098,,                 55713,,                 17534,                 37213,,                 77547,                132294,,                144210,                 91622,              1643693,                      7,              1643700,              2141283,              0,      9175103,,                  9700,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,2013年12月31日,,,,,,                244394,,                 25348,,                162122,,                    377,,                  6738,,,,                535547,,                 25168,,                    414,              1119415,,,                 25112,,                867506,,                  5569,                 59789,,                  4639,,                  1224,                  5863,                963839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      9175103,,,,                107874,                              0,,                 11433,              2083254,,,,                 80000,,                 60000,,                  2277,,                 28396,,                 47148,,                    293,,                 53743,                 53743,                  4793,,,                  9859,,                 22600,                  3684,                 36143,                312793,,,                    526,,                117373,                  3945,                121318,                121844,                434637,,,,              1403098,              1403098,,                 55713,,                 17534,                 37213,,                 70860,                125607,,                155815,                 91622,              1648611,                      6,              1648617,              0,,                              0,,
1454,2013年09月30日,,,,,,                198147,,                 34348,,                193317,,                              0,,                  4155,,,,                463564,,                 15761,,                  1181,              1045380,,,                 27446,,                883646,,                 17118,                 59952,,                  1199,,                  1223,                  2422,                990584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      9175103,,,,                134907,,,                              0,              2035964,,,,                 70000,,                 60000,,                              0,,                 37897,,                 50292,,                              0,,                 51384,                 51384,                  4396,,,                  8178,,                 35500,                  3163,                 46841,                320810,,,                    526,,                116858,                     40,                116898,                117424,                438234,,,,              1403098,              1403098,,                 55713,,                 17534,                 37213,,                 69476,                124223,,                106313,                 91622,              1597725,                      5,              1597730,              0,,,,
1454,2013年06月30日,,,,,,                172379,,                 51920,,                223870,,                    446,,                  4595,,,,                475708,,                 19822,,                  1369,              1023219,,,                 27655,,                897696,,                 17234,                 59809,,                              0,,                  1223,                  1223,              1003617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      9175103,,,,                 73110,,,                              0,              2026836,,,,                 50000,,                 60000,,                     23,,                 43142,,                 53819,,                              0,,                 73518,                 73518,                  2840,,,                 13558,,                 48400,                  4921,                 66879,                350221,,,                    526,,                119232,                     40,                119272,                119798,                470019,,,,              1403098,              1403098,,                 53877,,                 17534,                 37213,,                 55958,                110705,,                 80754,                 91622,              1556812,                      5,              1556817,              0,,,,
