證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 技術服務收入,　　　　 技術服務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 技術服務費用,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 處分投資損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計
3701,2017年01月01日至2017年03月31日,,,              1659234,,,                130684,                130684,              1789918,,,              1447666,,                212843,                212843,              1660509,                129409,                129409,,                300810,               -171401,,,,                  6268,                 57331,                 92908,                156507,,                171871,                     42,                              0,                171913,,                 17860,                 17860,,                   -112,                310448,                139047,,                  5860,                133187,                133187,,,               -188548,                    769,,                   -140,               -187919,               -187919,                -54732,,                136912,                 -3725,,                 21641,                -76373,,                              0.36,                              0.36
3701,2016年01月01日至2016年03月31日,,,              2795639,,,                245203,                245203,              3040842,,,              2362658,,                242246,                242246,              2604904,                435938,                435938,,                426339,                  9599,,,,                  9762,                 29800,                 19072,                 58634,,                              0,                  7004,                  7418,                   -414,,                 16087,                 16087,,                   -464,                 41669,                 51268,,                 20622,                 30646,                 30646,,,                 -2473,                  6642,,                    -48,                  4121,                  4121,                 34767,,                 19207,                 11439,,                 20327,                 14440,,                              0.06,                              0.06
