證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資利益之份額,　　　　　 採用權益法認列之關聯企業及合資利益之份額,　　　　　 採用權益法認列之關聯企業及合資利益之份額合計,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　　 其他利息以外淨損益,　　　　 其他什項損益,　　　　　 其他什項損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 綜合損益總額,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
2845,2017年01月01日至2017年03月31日,,,,              2767385,,              1423328,              1344057,,,                764432,,                521165,,                     24,,               -275294,,,                 24604,                 24604,                 24604,,,                 67387,                 67387,              1102318,              2446375,,                 13869,,,                945189,,                 62124,,                613442,              1620755,,                811751,                -80078,                731673,,                811751,                -80078,                731673,,,               -102084,                169871,                   -280,                 67507,                 67507,,                879258,                -80078,                799180,,                731673,,                799180,,                              0.24,,                              0.23
2845,2016年01月01日至2016年03月31日,,,,              2819011,,              1342849,              1476162,,,                768269,,                310108,,                 22262,,               -130328,,,                 28148,                 28148,                 28148,,,                 76756,                 76756,              1075215,              2551377,,                -93698,,,                929389,,                 55860,,                633192,              1618441,,              1026634,               -164367,                862267,,              1026634,               -164367,                862267,,,                -12802,                 23713,                 13723,                 24634,                 24634,,              1051268,               -164367,                886901,,                862267,,                886901,,                              0.28,,                              0.27
