證券代號,年季,　 營業利益,　　 收益合計,　　　 經紀手續費收入,　　　　 經紀手續費收入合計,　　　 借貸款項手續費收入,　　　 借券收入,　　　 承銷業務收入,　　　　 承銷業務收入合計,　　　 財富管理業務淨收益,　　　　 財富管理業務淨收益,　　　 營業證券出售淨利益（損失）,　　　　 營業證券出售淨利益（損失）,　　　 股務代理收入,　　　 利息收入,　　　 股利收入,　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　 借券及附賣回債券融券回補淨利益（損失）,　　　　 借券及附賣回債券融券回補淨利益（損失）,　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　 發行認購（售）權證淨利益（損失）,　　　　 發行認購（售）權證淨利益（損失）,　　　 期貨佣金收入,　　　　 期貨佣金收入合計,　　　 衍生工具淨利益（損失）－期貨,　　　　 衍生工具淨利益（損失）－期貨,　　　 衍生工具淨利益（損失）－櫃檯,　　　　 衍生工具淨利益（損失）－櫃檯,　　　 經理費收入,　　　　 經理費收入合計,　　　 顧問費收入,　　　　 顧問費收入合計,　　　 其他營業收益,　　　　 其他營業收益合計,　　　 收益合計,　　 支出及費用合計,　　　 經紀經手費支出,　　　　 經紀經手費支出合計,　　　 自營經手費支出,　　　　 自營經手費支出合計,　　　 轉融通手續費支出,　　　 承銷作業手續費支出,　　　 財務成本,　　　 期貨佣金支出,　　　　 期貨佣金支出合計,　　　 結算交割服務費支出,　　　　 結算交割服務費支出合計,　　　 其他營業支出,　　　 員工福利費用,　　　　 員工福利費用合計,　　　 折舊及攤銷費用,　　　　 折舊及攤銷費用合計,　　　 其他營業費用,　　　　 其他營業費用合計,　　　 支出及費用合計,　　 營業利益,　 營業外損益合計,　　 採用權益法認列之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外損益合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅利益（費用）,　　 所得稅利益（費用）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　　 國外營運機構財務報表換算之兌換差額淨額,　　　 備供出售金融資產未實現淨利益（損失）,　　　　 備供出售金融資產未實現淨利益（損失）,　　　 與可能重分類至損益之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
6005,2017年01月01日至2017年03月31日,,,,                815072,                    154,                 24801,,                 48523,,                 21779,,                373498,                 32863,                441261,                    635,,                135562,,                  9758,,                -50938,,                 40802,,                111893,,                -82286,,               -140617,,                      9,,                  3592,,                 51997,              1838358,,,                103733,,                  4584,                    327,                    815,                124848,,                107423,,                 32491,                     26,,                633841,,                 54264,,                335829,              1398181,                440177,,,                 28899,,                140159,                169058,                609235,,                -54571,                554664,                554664,,,                              0,,,               -192301,,                151972,                 27932,                -12397,                -12397,                542267,,                513285,                 41379,,                524739,                 17528,,                              0.24,,                              0.24
6005,2016年01月01日至2016年03月31日,,,,                862682,                     13,                 14332,,                 16236,,                 12449,,               -146012,                 35567,                341477,                    829,,                147936,,                 73625,,                -64615,,                216044,,                 95333,,               -117377,,               -108553,,                     50,,                  2865,,                 83816,              1466697,,,                111226,,                  4265,                    835,                    334,                 56099,,                 79997,,                 37088,                  2829,,                598648,,                 54348,,                366367,              1312036,                154661,,,                 23182,,                108095,                131277,                285938,,                -65017,                220921,                220921,,,                              0,,,                -49648,,                151375,                  8508,                110235,                110235,                331156,,                161807,                 59114,,                274852,                 56304,,                              0.07,,                              0.07
