證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　　 其他利息以外淨損益,　　　　 證券經紀收入淨額,　　　　　 證券經紀收入淨額,　　　　 租賃收入,　　　　　 租賃收入合計,　　　　 其他什項損益,　　　　　 其他什項損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 綜合損益總額,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　　 本期稅後淨利（損）歸屬於非控制權益,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　　 本期稅後綜合損益總額歸屬於非控制權益,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
2838,2017年01月01日至2017年03月31日,,,,              2521554,,                885370,              1636184,,,                578312,,                 53980,,                149938,,               -100586,,                   -154,,,                 53031,,                596364,,                  3365,                652760,              1334250,              2970434,,                 44876,,,                810093,,                483563,,                848898,              2142554,,                783004,               -111671,                671333,,                783004,               -111671,                671333,,,               -675893,                610655,                 87468,                 22230,                 22230,,                717766,                -24203,                693563,,                661725,                  9608,,                683955,                  9608,,                              0.25,,                              0.25
2838,2016年01月01日至2016年03月31日,,,,              2497669,,                969670,              1527999,,,                555291,,                 63434,,                 59292,,               -135258,,                   -152,,,                 46729,,                520269,,                 43134,                610132,              1152739,              2680738,,                -75528,,,                732474,,                445589,,                790776,              1968839,,                787427,               -127801,                659626,,                787427,               -127801,                659626,,,               -251331,                274800,                 60629,                 84098,                 84098,,                810896,                -67172,                743724,,                652242,                  7384,,                736340,                  7384,,                              0.25,,                              0.25
