證券代號,年季,　 收入,　　 利息收入,　　 保費收入,　　 再保佣金收入,　　 手續費收入,　　 採用權益法認列之關聯企業及合資利益之份額,　　 備供出售金融資產已實現利益,　　 銷貨收入淨額,　　　 銷貨收入,　　　 銷貨退回 ,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 租賃收入,　　 勞務收入,　　 處分投資利益,　　 處分不動產、廠房及設備利益,　　 投資性不動產利益,　　 兌換利益,　　 其他收入,　　 未實現銷貨損益,　　 已實現銷貨損益,　　 收入合計,　 支出,　　 利息費用,　　 承保費用,　　 佣金費用,　　 保險賠款與給付,　　 其他保險負債淨變動,　　 透過損益按公允價值衡量之金融資產及負債損失,　　 銷貨成本,　　 租賃成本,　　 勞務成本,　　 營業費用,　　　 推銷費用,　　　 管理及總務費用,　　　 研究發展費用,　　　 營業費用合計,　　 投資性不動產費用及損失,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 現金流量避險中屬有效避險部份之避險工具利益（損失）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主-綜合損益,　　 非控制股權-綜合損益,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
2207,2017年01月01日至2017年03月31日,,              1090434,                541398,                 11840,                  2400,                546546,                 61750,,             43018757,                482412,                728963,             41807382,              3125215,                486088,                 34603,                  1808,                 37618,                137644,                351514,               -111797,                 35418,             48159861,,                387109,                     20,                118103,                213161,                  3857,                235687,             37187007,              2378252,                146278,,              1950458,              1376355,                 15198,              3342011,                  5554,                  5902,             44022941,              4136920,                650661,              3486259,              3486259,,,               -248094,                 53364,                -47595,                              0,                 -7032,               -235293,               -235293,              3250966,,              3139641,                346618,,              2941335,                309631,,                              5.75,,                              5.74
2207,2016年01月01日至2016年03月31日,,                865862,                              0,                              0,                              0,                736013,                              0,,             36636349,                363595,                761741,             35511013,              3261445,                566757,                     51,                  1560,                 29358,                125484,                352632,                -45395,                 49409,             41454189,,                386758,                              0,                              0,                              0,                              0,                210712,             31608695,              2551759,                156630,,              2007200,              1033060,                  8492,              3048752,                  2097,                  2600,             37968003,              3486186,                504703,              2981483,              2981483,,,                -89639,                 26192,                 -2019,                 10825,                   -344,                -54297,                -54297,              2927186,,              2678985,                302498,,              2635641,                291545,,                              4.90,,                              4.90
