證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金收入,　　　　　 手續費及佣金收入合計,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務收益,　　　　　 保險業務收益合計,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現利益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換利益,　　　　 兌換損失,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損迴轉利益,　　　　 資產減損損失,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資利益之份額,　　　　 採用權益法認列關聯企業及合資損失之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨利益（損失）,　　　　　 以成本衡量之金融資產利益,　　　　　 以成本衡量之金融資產淨利益（損失）,　　　　 無活絡市場之債務商品投資淨利益（損失）,　　　　　 無活絡市場之債務工具投資利益,　　　　　 無活絡市場之債務商品投資淨利益（損失）,　　　　 出售不良債權淨利益（損失）,　　　　　 出售不良債權收入,　　　　　 出售不良債權淨利益（損失）,　　　　 租賃收入,　　　　　 租賃收入,　　　　　 租賃收入合計,　　　　 財產交易利益淨利益（損失）,　　　　　 財產交易利益,　　　　　 財產交易利益淨利益（損失）,　　　　 資產報廢損失,　　　　　 資產報廢損失,　　　　　 資產報廢損失合計,　　　　 其他營業準備提存,　　　　　 其他各項營業準備提存,　　　　　 其他營業準備提存合計,　　　　 其他什項淨利益（損失）,　　　　　 其他什項收入,　　　　　 其他什項支出,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨收益,　　　　 其他利息以外淨損失,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 收益 ,　　 費用 ,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 確定福利計畫之再衡量數,　　　 不動產重估增值,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,　　　 其他不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）-稀釋,　　 稀釋每股盈餘合計
2892,2017年01月01日至2017年03月31日,,,             10533440,              3260372,              7273068,,,,              1719393,              1719393,,,              1474638,              1474638,,              1887559,              1887559,,                 13825,,                109941,                109941,,                              0,                521043,               -521043,,                              0,                 14850,                -14850,,                 55374,                              0,                 55374,,,                    305,                    305,,                              0,                              0,,                 30943,                 30943,,                 41173,                 41173,,                  3886,                  3886,,                  3766,                 -3766,,                -10979,                 10979,,                    561,                              0,                    561,                 76868,                 -7213,                 84081,              4808918,             14532107,              8945002,             12081986,,                451687,,              1338931,,              3406936,                269672,              1548698,              5225306,              5066062,               -756991,              4309071,              4309071,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,             -2897646,              1488025,                 24861,                 -6332,             -1391092,             -1391092,              2917979,,              4340378,                -31307,,              2939022,                -21043,,                              0.36,                              0.36,,                              0.36,                              0.36
2892,2016年01月01日至2016年03月31日,,,             10551770,              3395261,              7156509,,,,              2310607,              2310607,,,                158772,                158772,,                908750,                908750,,                 40298,,                144271,                144271,,                              0,                 20470,                -20470,,                              0,                    257,                   -257,,                              0,                196304,               -196304,,,                              0,                              0,,                559726,                559726,,                 29470,                 29470,,                 44433,                 44433,,                  1143,                  1143,,                    145,                   -145,,                 -2291,                  2291,,                              0,                 69817,                -69817,                634772,                 67671,                567101,              3912768,             15263786,              9355514,             11069277,,                245851,,                 45180,,              3656833,                277190,              1516147,              5450170,              5328076,               -922471,              4405605,              4405605,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,             -1142489,                922728,                 41840,                 -8996,               -186917,               -186917,              4218688,,              4429771,                -24166,,              4220131,                 -1443,,                              0.37,                              0.37,,                              0.37,                              0.37
