證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出-推銷費用,　　　 文具用品-推銷費用,　　　 旅費-推銷費用,　　　 運費,　　　 郵電費-推銷費用,　　　 修繕費-推銷費用,　　　 廣告費,　　　 水電瓦斯費-推銷費用,　　　 保險費-推銷費用,　　　 交際費-推銷費用,　　　 稅捐-推銷費用,　　　 折舊-推銷費用,　　　 伙食費-推銷費用,　　　 職工福利-推銷費用,　　　 佣金支出,　　　 訓練費-推銷費用,　　　 進出口費用,　　　 其他費用-推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出-管理費用,　　　 租金支出,　　　 文具用品-管理費用,　　　 旅費-管理費用,　　　 郵電費-管理費用,　　　 修繕費-管理費用,　　　 水電瓦斯費-管理費用,　　　 保險費-管理費用,　　　 交際費-管理費用,　　　 稅捐-管理費用,　　　 呆帳損失,　　　 折舊-管理費用,　　　 伙食費-管理費用,　　　 職工福利-管理費用,　　　 訓練費-管理費用,　　　 其他費用-管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 薪資支出-研發費用,　　　 保險費-研發費用,　　　 折舊及折耗,　　　 伙食費-研發費用,　　　 其他費用-研發費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋每股盈餘合計
1445,2017年01月01日至2017年03月31日,,,,                370990,                370990,                     80,                     55,                370855,,                 10144,                380999,,,                339817,                339817,                  7390,                347207,                 33792,                 33792,,,                  5819,                     48,                    450,                  7648,                     77,                     46,                              0,                     33,                    396,                    151,                     31,                    200,                    172,                     59,                  4074,                              0,                  1889,                  1770,                 22863,,                  4789,                    117,                     72,                      6,                     11,                     15,                     19,                    249,                      4,                     23,                 -3965,                     65,                     94,                     27,                              0,                  1381,                  2907,,                  1413,                     79,                     30,                     25,                  1027,                  2574,                 28344,                  5448,,,,                              0,                              0,                    394,                    394,,                    321,                              0,                    129,                  7949,                 -7757,,                     35,                     35,                 -7398,                 -1950,,                 -1182,                   -768,                   -768,,,                              0,                 -1061,                 -1061,                 -1061,                 -1829,,                   -768,                              0,,                 -1829,                              0,,                             -0.01,                             -0.01,,                             -0.01,                              0.00,                             -0.01
1445,2016年01月01日至2016年03月31日,,,,                394716,                394716,                              0,                    122,                394594,,                              0,                394594,,,                342546,                342546,                              0,                342546,                 52048,                 52048,,,                  6734,                     37,                    430,                  6727,                     81,                     36,                     50,                     34,                    434,                    258,                     30,                    207,                    152,                     60,                  4281,                      3,                  2008,                  1001,                 22563,,                  4459,                    130,                     34,                     55,                     13,                     20,                     20,                    242,                     19,                     31,                              0,                     66,                     86,                     29,                     22,                  2049,                  7275,,                  1522,                     74,                     27,                     23,                    770,                  2416,                 32254,                 19794,,,,                    181,                    181,                    202,                    383,,                     65,                    759,                              0,                  2976,                 -3670,,                              0,                              0,                 -3287,                 16507,,                  3203,                 13304,                 13304,,,                     -1,                 -1415,                 -1416,                 -1416,                 11888,,                 13304,                              0,,                 11888,                              0,,                              0.10,                              0.10,,                              0.10,                              0.00,                              0.10
