證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
6702,2016年第3季,,              2768555,,              3418648,               -650093,               -650093,,                320120,               -970213,,,                 29511,,                 -4727,,                 60566,,                 25810,                 -9972,               -980185,,                -22350,               -957835,               -957835,,,                   -455,                   -145,                  7890,,                              0,                              0,                  7290,                  7290,               -950545,,               -957835,                              0,,               -950545,                              0,,                             -1.42,,                             -1.42
6702,2016年01月01日至2016年09月30日,,              8877422,,             10542841,             -1665419,             -1665419,,                984155,             -2649574,,,                 71010,,                289300,,                177810,,                 61927,                244427,             -2405147,,               -188370,             -2216777,             -2216777,,,                   -726,                -16598,                139409,,                              0,                              0,                122085,                122085,             -2094692,,             -2216777,                              0,,             -2094692,                              0,,                             -3.42,,                             -3.42
6702,2015年第3季,,              2645262,,              3035696,               -390434,               -390434,,                332915,               -723349,,,                 30405,,                513860,,                 58587,,                 16204,                501882,               -221467,,                -16888,               -204579,               -204579,,,                              0,                 -7442,                -88595,,                              0,                              0,                -96037,                -96037,               -300616,,               -204579,                              0,,               -300616,                              0,,                             -0.32,,                             -0.32
6702,2015年01月01日至2015年09月30日,,              7811887,,              8469028,               -657141,               -657141,,                963178,             -1620319,,,              1115195,,                135987,,                169731,,                 43637,              1125088,               -495231,,                -11509,               -483722,               -483722,,,                   -239,                  4769,                -58929,,                              0,                              0,                -54399,                -54399,               -538121,,               -483722,                              0,,               -538121,                              0,,                             -0.77,,                             -0.77
