證券代號,年季,　 營業收入,　　 勞務收入,　　　 運輸收入,　　　　 海運收入（海陸運輸業適用）,　　　　 陸運收入（海陸運輸業適用）,　　　　 空運收入（航空業適用）,　　　　 運輸收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 勞務成本,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 海運成本,　　　　 陸運成本,　　　　 空運成本,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
2612,2017年01月01日至2017年03月31日,,,,                345907,                418639,                 10704,                775250,                775250,                775250,,,,                292779,                331001,                  8433,                632213,                632213,                632213,                143037,                143037,,,                 88866,                 88866,,                              0,                 54171,,,,                  6651,                  6651,                  3226,                  9877,,                  5746,                 14082,                    149,                 97384,                    506,                -78211,,                 52458,                 52458,,                  3031,               -117761,                -63590,,                  8961,                  8961,                -72551,                -72551,,,,               -606321,                -80177,               -686498,               -686498,               -686498,               -759049,,                -72551,                              0,,               -759049,                              0,,                             -0.37,                             -0.37,,                             -0.37,                             -0.37
2612,2016年01月01日至2016年03月31日,,,,                385607,                423218,                  4521,                813346,                813346,                813346,,,,                263036,                318146,                  3531,                584713,                584713,                584713,                228633,                228633,,,                 90874,                 90874,,                              0,                137759,,,,                  4207,                  4207,                  4058,                  8265,,                  9785,                 -1183,                 10000,                              0,                    386,                 -1784,,                 37276,                 37276,,                -14058,                -44853,                 92906,,                 14084,                 14084,                 78822,                 78822,,,,               -203572,                -25270,               -228842,               -228842,               -228842,               -150020,,                 78822,                              0,,               -150020,                              0,,                              0.31,                              0.31,,                              0.31,                              0.31
