證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　　 其他利息以外淨損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 綜合損益總額,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　　 本期稅後淨利（損）歸屬於非控制權益,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　　 本期稅後綜合損益總額歸屬於非控制權益,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計
2837,2017年01月01日至2017年03月31日,,,,              2308898,,                903228,              1405670,,,                387502,,              1023366,,               -147093,,               -157383,,                  9113,,                 32789,              1148294,              2553964,,                138450,,,                847381,,                 81995,,                475705,              1405081,,              1010433,               -119224,                891209,,              1010433,               -119224,                891209,,,                 -6597,                597499,                 28981,                619883,                619883,,              1630316,               -119224,              1511092,,                888120,                  3089,,              1508003,                  3089,,                              0.19,                              0.19
2837,2016年01月01日至2016年03月31日,,,,              2293032,,                917414,              1375618,,,                305145,,                621589,,                257242,,               -168318,,                 -1332,,                 27498,              1041824,              2417442,,                -31526,,,                799697,,                 73203,,                548053,              1420953,,              1028015,                -28455,                999560,,              1028015,                -28455,                999560,,,                -88955,                622588,                 -5663,                527970,                527970,,              1555985,                -28455,              1527530,,                993576,                  5984,,              1521433,                  6097,,                              0.22,                              0.22
