證券代號,年季,　 營業收入,　　 旅遊服務收入,　　　 餐旅服務收入,　　　　 客房收入,　　　　 餐飲收入,　　　　 餐旅服務收入淨額,　　　 育樂收入,　　　　 遊樂收入,　　　　 育樂收入淨額,　　　 旅遊服務收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
2705,2017年01月01日至2017年03月31日,,,,                303830,                326068,                629898,,                 98307,                 98307,                728205,,                 61367,                 61367,                789572,,                581071,                208501,                208501,,,                280005,                280005,                -71504,,,                  5189,,                 -7421,,                 19617,,                  2300,                -19549,                -91053,,                              0,                              0,                -91053,                -91053,,,,                              0,                              0,                              0,                              0,                              0,                -91053,,                -91053,,                -91053,,                             -0.27,                             -0.27,,                              0.00,                              0.00
2705,2016年01月01日至2016年03月31日,,,,                283422,                327308,                610730,,                103330,                103330,                714060,,                 54810,                 54810,                768870,,                565509,                203361,                203361,,,                259275,                259275,                -55914,,,                  5610,,                   -480,,                 21353,,                  3133,                -13090,                -69004,,                   -130,                   -130,                -68874,                -68874,,,,                   -925,                              0,                              0,                   -925,                   -925,                -69799,,                -68874,,                -69799,,                             -0.20,                             -0.20,,                              0.00,                              0.00
