證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 分期付款銷貨收入,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 利息收入,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 利息費用,　　　 投資支出（投資公司適用）合計,　　 租賃成本,　　　 租賃成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
9941,2017年01月01日至2017年03月31日,,,,              1746731,              1746731,                296631,              2043362,,                464472,                464472,,              1732917,,                165795,,                201556,              4608102,,,                752387,,                294398,                294398,,              1483046,                 31679,              2561510,              2046592,              2046592,,              1459415,,                157980,                745157,,,                 11079,,                 -6112,,                  3181,                  8148,                753305,,                166783,                586522,                586522,,,               -285068,                              0,,                  2046,                              0,               -283022,               -283022,                303500,,                541231,                 45291,,                340410,                -36910,,                              1.97,                              1.97,,                              1.97,                              1.97
9941,2016年01月01日至2016年03月31日,,,,              1611997,              1611997,                218713,              1830710,,                397971,                397971,,              1719963,,                215528,,                 98990,              4263162,,,                743922,,                228154,                228154,,              1487928,                 32279,              2492283,              1770879,              1770879,,              1279287,,                121821,                613413,,,                 30266,,                 18189,,                  4670,                 53125,                666538,,                166079,                500459,                500459,,,               -102024,                -13279,,                    556,                 -2380,               -112367,               -112367,                388092,,                461658,                 38801,,                390684,                 -2592,,                              1.72,                              1.72,,                              1.69,                              1.69
