證券代號,年季,　 營業收入,　　 保費收入,　　　 簽單保費收入,　　　 再保費收入,　　　 保費收入合計,　　 再保費支出,　　 未滿期保費準備淨變動,　　　 未滿期保費準備淨變動,　　 自留滿期保費收入,　　 再保佣金收入,　　 手續費收入,　　　 手續費收入合計,　　 淨投資損益,　　　 利息收入,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　 以成本衡量之金融資產及負債之已實現損益,　　　 無活絡市場之債務工具投資損益之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　 兌換損益－投資,　　　 外匯價格變動準備淨變動,　　　　 外匯價格變動準備淨變動,　　　 投資性不動產損益,　　　 投資減損損失及迴轉利益,　　　　 投資減損損失及迴轉利益淨額,　　　 其他淨投資損益,　　　 淨投資損益,　　 其他營業收入,　　　 其他營業收入合計,　　 分離帳戶保險商品收益,　　 營業收入合計,　 營業成本,　　 保險賠款與給付,　　　 保險賠款與給付合計,　　 攤回再保賠款與給付,　　 自留保險賠款與給付,　　 其他保險負債淨變動,　　　 其他保險負債淨變動合計,　　 具金融商品性質之保險契約準備淨變動,　　 承保費用,　　 佣金費用,　　　 佣金費用合計,　　 財務成本,　　 其他營業成本,　　　 其他營業成本合計,　　 分離帳戶保險商品費用,　　 營業成本合計,　 營業費用,　　 業務費用,　　 管理費用,　　 員工訓練費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 當期所得稅費用（利益）,　　 遞延所得稅費用(利益),　　 所得稅費用（利益）淨額,　 繼續營業單位本期純益（純損）,　 本期淨利（淨損）,　 其他綜合損益（稅後淨額）,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產之未實現評價利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益（稅後淨額）合計,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘 ,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 停業單位損益,　　 稀釋每股盈餘合計,　 收入,　 支出
2833,2017年01月01日至2017年03月31日,,,             73621191,                 44298,             73665489,                688863,,                 95935,             72880691,                205977,,                209726,,             10003719,             25528433,              1587300,                    -67,              2327980,                              0,                 71942,            -29050109,,              1090192,                138830,,                -52586,                -94653,             11550981,,                560287,              3692685,             89100347,,,             10771849,                381972,             10389877,,             67640622,                   -341,                  3357,,              4189327,                 20932,,                669529,              3692685,             86605988,,                412833,                718041,                  1643,              1132517,              1361842,,                -20262,              1341580,,              1846220,             -1928814,                -82594,              1424174,              1424174,,,                  2128,                    356,                  1772,,               -116451,              1212423,                 -8800,                 47239,              1039933,              1041705,              2465879,,              1424174,,              2465879,,                              0.47,                              0.47,,                              0.00,                              0.00,                              0.00,                              0,                              0
2833,2016年01月01日至2016年03月31日,,,             57944154,                 45078,             57989232,                771095,,                206534,             57011603,                273667,,                234978,,              8187603,              7542187,              1086707,                  9412,                891366,                              0,                 40758,             -8594342,,                276593,                 65266,,                              0,                -80818,              9424732,,                523736,                225380,             67694096,,,             11242026,                483182,             10758844,,             49820385,                  6041,                    833,,              3780611,                 31181,,                613984,                225380,             65237259,,                471052,                720334,                  5974,              1197360,              1259477,,                200414,              1459891,,                 68467,                 45180,                113647,              1346244,              1346244,,,                              0,                              0,                              0,,                -32825,              1088389,                 -4515,                -87621,              1138670,              1138670,              2484914,,              1346244,,              2484914,,                              0.44,                              0.44,,                              0.00,                              0.00,                              0.00,                              0,                              0
