證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金收入,　　　　　 手續費及佣金收入合計,　　　　 手續費費用及佣金支出,　　　　　 手續費費用及佣金支出合計,　　　　 手續費及佣金淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨利益（損失）,　　　　　 以成本衡量之金融資產淨利益（損失）,　　　　 發行認購（售）權證費用,　　　　　 發行認購（售）權證費用合計,　　　　 股務代理收入,　　　　　 股務代理收入合計,　　　　 營業資產租金淨利益（損失）,　　　　　 營業資產租金淨利益（損失）,　　　　 租賃收入,　　　　　 租賃收入合計,　　　　 財產交易利益淨利益（損失）,　　　　　 財產交易利益淨利益（損失）,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）-稀釋,　　 稀釋每股盈餘合計
2890,2017年01月01日至2017年03月31日,,,              7041149,              2971801,              4069348,,,,              2811364,,                424256,              2387108,,              1457885,,                 25307,,                 20628,,                 21515,,                -11659,,,                 11866,,                -22664,,                 22480,,                 23691,,                 11577,,                 14866,,                 69599,                131415,              4032199,              8101547,,                307582,,              3222881,                288091,              1434578,              4945550,              2848415,               -484566,              2363849,              2363849,,,             -1773947,                457842,                  5072,                291936,             -1019097,             -1019097,              1344752,,              2365007,                 -1158,,              1345910,                 -1158,,                              0.22,                              0.22,,                              0.22,                              0.22
2890,2016年01月01日至2016年03月31日,,,              6984910,              2931836,              4053074,,,,              2993741,,                455472,              2538269,,                766113,,                137868,,                376454,,                 62047,,                  3981,,,                 11555,,                -21870,,                 21900,,                 25211,,                 14619,,                  1295,,                 52665,                105375,              3990107,              8043181,,                -37944,,              3124000,                251208,              1551569,              4926777,              3154348,               -429979,              2724369,              2724369,,,               -638048,                -72497,                    569,                102522,               -607454,               -607454,              2116915,,              2724842,                   -473,,              2117388,                   -473,,                              0.26,                              0.26,,                              0.26,                              0.26
