證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金收入,　　　　　 經紀手續費收入,　　　　　 信託業務收入,　　　　　 其他佣金收入,　　　　　 其他手續費收入,　　　　　 手續費及佣金收入合計,　　　　 手續費費用及佣金支出,　　　　　 代理費用,　　　　　 經紀經手費支出,　　　　　 自營經手費支出,　　　　　 結算交割服務費支出,　　　　　 其他佣金支出,　　　　　 其他手續費費用,　　　　　 手續費費用及佣金支出合計,　　　　 手續費及佣金淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現利益,　　　　 備供出售金融資產之已實現損失,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損失,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損損失,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資利益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨利益（損失）,　　　　　 以成本衡量之金融資產利益,　　　　　 以成本衡量之金融資產淨利益（損失）,　　　　 顧問服務收入,　　　　　 顧問服務收入,　　　　　 顧問服務收入合計,　　　　 其他什項淨利益（損失）,　　　　　 其他什項收入,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨收益,　　　　 其他利息以外淨損失,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 收益 ,　　 費用 ,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）-稀釋,　　 稀釋每股盈餘合計
2883,2017年01月01日至2017年03月31日,,,              3002292,              1197074,              1805218,,,,              1792076,                110245,                284137,                333268,              2519726,,                 31698,                277394,                 22669,                 53274,                 28223,                 88732,                501990,              2017736,,              1416879,              1416879,,                              0,,                              0,                238999,               -238999,,                161699,               -161699,,                 63466,                -63466,,              1200665,              1200665,,,                295828,                295828,,                254886,                254886,,                274449,                274449,                825163,                              0,                825163,              4996279,              8964725,              6868202,              6801497,,                 88509,,              2917549,                368660,              1330256,              4616465,              2096523,               -249745,              1846778,              1846778,,,             -1987731,              1889354,                190377,                   -596,                 91404,                 91404,              1938182,,              1808417,                 38361,,              1900324,                 37858,,                              0.12,                              0.12,,                              0.12,                              0.12
2883,2016年01月01日至2016年03月31日,,,              2872562,              1165736,              1706826,,,,              1939627,                 64401,                214576,                220566,              2439170,,                 33210,                380116,                 52726,                 63381,                 35514,                 78471,                643418,              1795752,,              1257380,              1257380,,                              0,,                361231,                              0,                361231,,                 80804,                -80804,,                 47158,                -47158,,                 40722,                 40722,,,                465604,                465604,,                279625,                279625,,                525050,                525050,              1270279,                              0,              1270279,              4597402,              8241344,              6973063,              6304228,,                330186,,              2787630,                363052,              1555079,              4705761,              1268281,               -112983,              1155298,              1155298,,,               -843450,                304686,                -43394,                   -598,               -582756,               -582756,                572542,,              1126415,                 28883,,                544846,                 27696,,                              0.08,                              0.08,,                              0.08,                              0.08
