證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 手續費支出,　　　　 手續費支出合計,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
2530,2017年01月01日至2017年03月31日,,,,                 58329,                 58329,                              0,                 58329,                 58329,,                 45295,                 13034,                 13034,,,                  3369,,                 17573,                 20942,                 -7908,,,,                  1133,                              0,                  1110,                  2243,,                              0,                              0,                              0,,                              0,                              0,                    237,                 11209,                  3167,                -14613,,                 10919,                -23289,                -31197,,                    726,                -31923,                -31923,                -31923,,                -30789,                 -1134,,                -30789,                 -1134,,                             -0.11,,                             -0.11
2530,2016年01月01日至2016年03月31日,,,,              2256630,              2256630,                              0,              2256630,              2256630,,              1543930,                712700,                712700,,,                 78159,,                 49073,                127232,                585468,,,,                  2170,                    359,                     20,                  2549,,                              0,                              0,                              0,,                              0,                              0,                    563,                              0,                  4276,                 -4839,,                  6946,                 -9236,                576232,,                 23123,                553109,                553109,                553109,,                554362,                 -1253,,                554362,                 -1253,,                              2.07,,                              2.06
