證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費收入,　　　　　 手續費收入合計,　　　　 手續費費用,　　　　　 手續費費用合計,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨損益,　　　　　 以成本衡量之金融資產淨損益,　　　　 出售不良債權淨損益,　　　　　 出售不良債權淨損益,　　　　 證券經紀收入淨額,　　　　　 證券經紀收入淨額,　　　　 銷貨淨損益,　　　　　 銷貨淨損益,　　　　 營業資產出租淨損益,　　　　　 營業資產出租淨損益,　　　　 資產報廢損失,　　　　　 資產報廢損失合計,　　　　 其他什項損益,　　　　　 其他什項損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 停業單位損益,　　 停業單位營業稅前損益 ,　　 停業單位資產或處分群組處分損益（稅前）,　　 停業單位資產或處分群組按公允價值減出售成本衡量損益（稅前）,　　 與停業單位損益組成部分相關之所得稅(費用)利益 ,　　 停業單位損益合計,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 不重分類至損益之項目(稅後),　　　 確定福利計畫之再衡量數,　　　 不動產重估增值,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 其他不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額(稅後),　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　 國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 減：重分類調整數─處分國外營運機構財務報表換算之兌換差額,　　　 減：重分類調整數─除列備供出售金融資產未實現損益,　　　 減：重分類調整數─現金流量避險中屬有效避險之避險工具損益,　　　 減：重分類調整數─國外營運機構淨投資避險屬有效避險部分之避險損益,　　　 其他可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 綜合損益總額,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　　 本期稅後淨利（損）歸屬於共同控制下前手權益,　　 本期稅後淨利（損）歸屬於非控制權益,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　　 本期稅後綜合損益總額歸屬於共同控制下前手權益,　　 本期稅後綜合損益總額歸屬於非控制權益,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計
2834,2017年01月01日至2017年03月31日,,,,              5965951,,              2207010,              3758941,,,,              1035894,,                131405,                904489,,                293819,,                   -864,,                              0,,                  3901,,,                              0,,                              0,,                 41174,,                    723,,                  2402,,                    -45,,                  6566,                 50820,              1252165,              5011106,,                321057,,,              1897551,,                 99584,,                943218,              2940353,,              1749696,               -264198,              1485498,,                              0,                              0,                              0,                              0,                              0,,              1749696,               -264198,              1485498,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -696055,                580104,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                109722,                 -6229,                 -6229,,              1633745,               -154476,              1479269,,              1485498,                              0,                              0,,              1479269,                              0,                              0,,                              0.25,                              0.00,                              0.25,,                              0.25,                              0.00,                              0.25
2834,2016年01月01日至2016年03月31日,,,,              6236229,,              2459763,              3776466,,,,              1100053,,                 71365,              1028688,,                178722,,                   -107,,                              0,,                 66084,,,                              0,,                              0,,                 37706,,                    660,,                  1508,,                   -604,,                668845,                708115,              1981502,              5757968,,              1130333,,,              1881872,,                 96591,,              1041175,              3019638,,              1607997,               -253011,              1354986,,                              0,                              0,                              0,                              0,                              0,,              1607997,               -253011,              1354986,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -182420,                369053,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -31727,                154906,                154906,,              1794630,               -284738,              1509892,,              1354986,                              0,                              0,,              1509892,                              0,                              0,,                              0.23,                              0.00,                              0.23,,                              0.23,                              0.00,                              0.23
