證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 其他利息以外淨損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 不重分類至損益之項目(稅後),　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額(稅後),　　 後續可能重分類至損益之項目(稅後),　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　 基本每股盈餘,　　 基本每股盈餘合計
2807,2016年上半年度,,,,              5041078,,              1844477,              3196601,,,              1843261,,                542944,,                 55927,,                422577,,                 16493,              2881202,              6077803,,              1116990,,,              2375298,,                119419,,              2135162,              4629879,,                330934,                -92539,                238395,,                330934,                -92539,                238395,,,                -61522,                 10458,                -51064,,               -231777,                 20165,                 27656,               -183956,               -235020,,                 57800,                -54425,                  3375,,                238395,,                  3375,,                              0.08
2807,2015年上半年度,,,,              6401703,,              2683503,              3718200,,,              2116864,,                764021,,                 59715,,                798145,,                114699,              3853444,              7571644,,               -105486,,,              2621359,,                149739,,              2502324,              5273422,,              2403708,               -386776,              2016932,,              2403708,               -386776,              2016932,,,                -15793,                  2685,                -13108,,               -126807,               -141424,                 42330,               -225901,               -239009,,              2119684,               -341761,              1777923,,              2016932,,              1777923,,                              0.69
