證券代號,年季,　 收入,　　 利息收入,　　 保費收入,　　 再保佣金收入,　　 手續費收入,　　 採用權益法認列之關聯企業及合資利益之份額,　　 分離帳戶保險商品收益,　　 透過損益按公允價值衡量之金融資產及負債利益,　　 備供出售金融資產已實現利益,　　 以成本衡量之金融資產及負債利益,　　 無活絡市場之債務工具投資利益,　　 銷貨收入淨額,　　　 銷貨收入,　　　 銷貨退回 ,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 租賃收入,　　 勞務收入,　　 營建工程收入,　　 處分投資利益,　　 投資性不動產利益,　　 外匯價格變動準備淨變動,　　 其他收入,　　 收入合計,　 支出,　　 利息費用,　　 承保費用,　　 佣金費用,　　 保險賠款與給付,　　 其他保險負債淨變動,　　 分離帳戶保險商品費用,　　 銷貨成本,　　 租賃成本,　　 勞務成本,　　 工程成本,　　 營業費用,　　　 推銷費用,　　　 管理及總務費用,　　　 研究發展費用,　　　 營業費用合計,　　 兌換損失,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主-綜合損益,　　 非控制股權-綜合損益,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計
2905,2017年01月01日至2017年03月31日,,              7135050,             41115559,                  6547,                123167,                 41576,              2435217,             18952057,                716474,                  4158,                              0,,              5709947,                  2641,                    348,              5706958,                 37216,                 75240,                 14540,                     48,                124435,                952594,                101197,             77542033,,                 34012,                 14944,              3184432,             11571421,             32050446,              2435217,              3713007,                  3890,                  3225,                 16929,,                422984,              2736218,                 39595,              3198797,             22184421,                156128,             78566869,             -1024836,                183934,             -1208770,             -1208770,,,                -19526,              1151288,                -49788,              1181550,              1181550,                -27220,,               -589437,               -619333,,                  8522,                -35742,,                             -0.87,                             -0.87
2905,2016年01月01日至2016年03月31日,,              6112088,             38551662,                  5478,                118961,                 30999,              2195624,              5704019,              1499684,                              0,                 85143,,              5761777,                  3291,                    370,              5758116,                 38972,                 81429,                 11387,                     76,                125021,                 67968,                 19974,             60406601,,                 41978,                 12302,              3379031,             11928508,             28446374,              2195624,              3681187,                  3825,                  3453,                 11270,,                552398,              2580047,                 38571,              3171016,              6161104,                116660,             59152332,              1254269,                911698,                342571,                342571,,,                 -9120,              1893699,               -184128,              2068707,              2068707,              2411278,,                238201,                104370,,              1293556,              1117722,,                              0.35,                              0.35
