證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入淨額,　　　 運輸收入,　　　　 海運收入（海陸運輸業適用）,　　　　 運輸收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
5608,2017年01月01日至2017年03月31日,,,                647529,,,                  2364,,                170042,                170042,                172406,,                  2282,                  2282,                822217,,                980782,               -158565,               -158565,,                 73187,               -231752,,,,                    434,                 21884,                 22318,,                     10,                 52381,                 10805,                              0,                  1343,                 40243,,                116200,                116200,                -53639,               -285391,,                  9903,               -295294,               -295294,,,               -618568,                   -278,               -618290,               -618290,               -913584,,               -279711,                -15583,,               -898001,                -15583,,                             -0.66,,                              0.00
5608,2016年01月01日至2016年03月31日,,,                747332,,,                  4381,,                168791,                168791,                173172,,                              0,                              0,                920504,,              1128286,               -207782,               -207782,,                 76174,               -283956,,,,                    462,                 17625,                 18087,,                     25,                              0,                  1110,                 13990,                    331,                -15406,,                 82753,                 82753,                -80072,               -364028,,                  4398,               -368426,               -368426,,,               -218358,                    901,               -219259,               -219259,               -587685,,               -360586,                 -7840,,               -579845,                 -7840,,                             -0.85,,                              0.00
