證券代號,年季,　 收入,　　 利息收入,　　 手續費收入,　　 透過損益按公允價值衡量之金融資產及負債利益,　　 備供出售金融資產已實現利益,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　 處分投資利益,　　 其他收入,　　 收入合計,　 支出,　　 利息費用,　　 採用權益法認列之關聯企業及合資損失之份額,　　 銷貨成本,　　 租賃成本,　　 營業費用,　　　 推銷費用,　　　 管理及總務費用,　　　 研究發展費用,　　　 營業費用合計,　　 處分不動產、廠房及設備損失,　　 兌換損失,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主-綜合損益,　　 非控制股權-綜合損益,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
1409,2017年01月01日至2017年03月31日,,                341416,                128644,                    554,                 10572,,              8187733,                 20785,                              0,                 33459,              8723163,,                163459,                  4188,              7539426,                  2892,,                184940,                406652,                 44536,                636128,                    364,                234255,                 31314,              8612026,                111137,                 52570,                 58567,                 58567,,,               -191690,                370993,                 89856,                269159,                269159,                327726,,                 55943,                  2624,,                326966,                    760,,                              0.03,,                              0.03
1409,2016年01月01日至2016年03月31日,,                359919,                127162,                 47329,                  6876,,              7810767,                 18154,                  3433,                 42341,              8415981,,                180020,                  3411,              7145086,                  1975,,                201791,                418980,                 47610,                668381,                  1495,                 76956,                 72347,              8149671,                266310,                 72422,                193888,                193888,,,                138446,               -105262,                 -4300,                 28884,                 28884,                222772,,                146781,                 47107,,                149394,                 73378,,                              0.09,,                              0.09
