證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現利益,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現利益,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損失,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損損失,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資利益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 其他利息以外淨收益,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 不動產重估增值,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計
2882,2017年01月01日至2017年03月31日,,,             44464001,              3939214,             40524787,,,               -215854,,             70564091,,             81252598,             81252598,,              2691523,,             17050533,             17050533,,                 15064,                 15064,,             95945221,            -95945221,,                              0,                              0,,                472013,                472013,,             10516848,             10516848,             86401595,            126926382,,                319329,,             98572615,,             10922243,              1335555,              4918055,             17175853,             10858585,                -68363,             10790222,             10790222,,,                235064,               -244938,                 26337,                 -9081,                  7382,,             -4858625,              6957786,                 48317,             -1147675,              1733535,              2733338,              2740720,             13530942,,             10625011,                165211,,             13701173,               -170231,,                              0.85,                              0.85
2882,2016年01月01日至2016年03月31日,,,             41579053,              3982820,             37596233,,,             -3353231,,             70605261,,             25610084,             25610084,,              2880628,,             10842746,             10842746,,                 55952,                 55952,,             30388895,            -30388895,,                    754,                   -754,,                501278,                501278,,              5602527,              5602527,             82355596,            119951829,,                636984,,             94330281,,             11471345,              1246627,              3965851,             16683823,              8300741,                 37125,              8337866,              8337866,,,                              0,                948574,                 -1324,               -161033,                786217,,             -3411945,              1348504,                 42752,                -96825,              2630032,                512518,              1298735,              9636601,,              8166832,                171034,,              9700330,                -63729,,                              0.65,                              0.65
