證券代號,年季,　 營業利益,　　 收益合計,　　　 經紀手續費收入,　　　　 經紀手續費收入合計,　　　 承銷業務收入,　　　　 承銷業務收入合計,　　　 財富管理業務淨收益,　　　　 財富管理業務淨收益,　　　 營業證券出售淨利益（損失）,　　　　 營業證券出售淨利益（損失）,　　　 股務代理收入,　　　 利息收入,　　　 股利收入,　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　 借券及附賣回債券融券回補淨利益（損失）,　　　　 借券及附賣回債券融券回補淨利益（損失）,　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　 發行認購（售）權證淨利益（損失）,　　　　 發行認購（售）權證淨利益（損失）,　　　 衍生工具淨利益（損失）－期貨,　　　　 衍生工具淨利益（損失）－期貨,　　　 其他營業收益,　　　　 其他營業收益合計,　　　 收益合計,　　 支出及費用合計,　　　 經紀經手費支出,　　　　 經紀經手費支出合計,　　　 自營經手費支出,　　　　 自營經手費支出合計,　　　 轉融通手續費支出,　　　 財務成本,　　　 期貨佣金支出,　　　　 期貨佣金支出合計,　　　 結算交割服務費支出,　　　　 結算交割服務費支出合計,　　　 其他營業支出,　　　 員工福利費用,　　　　 員工福利費用合計,　　　 折舊及攤銷費用,　　　　 折舊及攤銷費用合計,　　　 其他營業費用,　　　　 其他營業費用合計,　　　 支出及費用合計,　　 營業利益,　 營業外損益合計,　　 採用權益法認列之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外損益合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅利益（費用）,　　 所得稅利益（費用）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　　 國外營運機構財務報表換算之兌換差額淨額,　　　 備供出售金融資產未實現淨利益（損失）,　　　　 備供出售金融資產未實現淨利益（損失）,　　　 後續可能重分類至損益之項目總額,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
2855,2017年01月01日至2017年03月31日,,,,                478739,,                 11737,,                  2189,,                883076,                 16919,                360315,                  3072,,               -123702,,                -70548,,                 17511,,                    730,,                198207,,                203346,              1981591,,,                 52443,,                 29897,                    284,                105654,,                 24034,,                 23173,                      4,,                591699,,                 27623,,                350212,              1205023,                776568,,,                 14986,,                 53199,                 68185,                844753,,               -122910,                721843,                721843,,,,               -192076,,                 25419,               -166657,               -166657,                555186,,                721783,                     60,,                555203,                    -17,,                              0.54,,                              0.54
2855,2016年01月01日至2016年03月31日,,,,                473419,,                 13612,,                  2120,,                -77283,                 16354,                319059,                  1415,,                318078,,                 10314,,                -47440,,                130875,,                 16032,,                 -6923,              1169632,,,                 53903,,                 24125,                    391,                 65773,,                 30293,,                 27824,                      3,,                480240,,                 31418,,                322097,              1036067,                133565,,,                 14886,,                 72497,                 87383,                220948,,                -28834,                192114,                192114,,,,                -52014,,                 38316,                -13698,                -13698,                178416,,                190181,                  1933,,                176405,                  2011,,                              0.14,,                              0.14
