證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨利益（損失）,　　　　　 以成本衡量之金融資產淨利益（損失）,　　　　 無活絡市場之債務商品投資淨利益（損失）,　　　　　 無活絡市場之債務商品投資淨利益（損失）,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
2888,2017年01月01日至2017年03月31日,,,             22572514,              1304231,             21268283,,,             -2392104,,             39728872,,             59175123,,                865151,,              3689484,,            -69306334,,                              0,,,                 -3515,,                666096,,                205683,                868264,             32628456,             53896739,,                468412,,             52116161,,              3149297,                488454,              1715197,              5352948,             -4040782,              1215296,             -2825486,             -2825486,,,               -116111,              6786645,                              0,               -794673,              5875861,              5875861,              3050375,,             -2927583,                102097,,              2970479,                 79896,,                             -0.29,,                             -0.29
2888,2016年01月01日至2016年03月31日,,,             21323479,              1404411,             19919068,,,               -660273,,             30959459,,             15195549,,                929480,,              1300940,,            -22008682,,                -66897,,,                  5739,,              1069757,,                184993,              1260489,             26910065,             46829133,,                315369,,             43363323,,              3169779,                502247,              2020614,              5692640,             -2542199,                -21028,             -2563227,             -2563227,,,                -52873,              1257623,                -12937,                -45968,              1145845,              1145845,             -1417382,,             -2611561,                 48334,,             -1277661,               -139721,,                             -0.26,,                             -0.26
