證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出-推銷費用,　　　 租金支出-推銷費用,　　　 文具用品-推銷費用,　　　 旅費-推銷費用,　　　 運費,　　　 郵電費-推銷費用,　　　 修繕費-推銷費用,　　　 廣告費,　　　 水電瓦斯費-推銷費用,　　　 保險費-推銷費用,　　　 交際費-推銷費用,　　　 稅捐-推銷費用,　　　 折舊-推銷費用,　　　 伙食費-推銷費用,　　　 職工福利-推銷費用,　　　 佣金支出,　　　 訓練費,　　　 進出口費用,　　　 其他費用-推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出-管理費用,　　　 租金支出-管理費用,　　　 文具用品-管理費用,　　　 旅費-管理費用,　　　 郵電費-管理費用,　　　 修繕費-管理費用,　　　 水電瓦斯費-管理費用,　　　 保險費-管理費用,　　　 交際費-管理費用,　　　 稅捐-管理費用,　　　 折舊-管理費用,　　　 伙食費-管理費用,　　　 職工福利-管理費用,　　　 研究發展費用,　　　 其他費用-管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
1617,2017年01月01日至2017年03月31日,,,,                723342,                723342,                  1226,                  1671,                720445,                720445,,,                611578,                611578,                611578,                108867,                108867,,,                  6119,                    210,                     33,                    103,                    379,                     51,                    193,                    192,                      5,                    585,                    144,                      9,                     43,                    214,                     69,                              0,                              0,                  1628,                    599,                 10576,,                 23229,                    226,                     96,                    442,                    408,                    564,                    566,                  1695,                    521,                  1310,                  1580,                    556,                    382,                              0,                 10073,                 41648,,                  2174,                 54398,                 54469,,,,                  2860,                    938,                              0,                  3798,,                      8,                              0,                              0,                              0,                    985,                              0,                    537,                 49832,                              0,                -51346,,                  3310,                  3310,                -50858,                  3611,,                  3214,                  3214,                    397,                    397,,,                -36564,                  4102,                    807,                -33269,                -33269,                -32872,,                    397,                              0,,                -32872,                              0,,                              0.00,,                              0.00
1617,2016年01月01日至2016年03月31日,,,,                601072,                601072,                    514,                    656,                599902,                599902,,,                526319,                526319,                526319,                 73583,                 73583,,,                  6293,                    149,                     41,                     52,                    396,                     59,                    108,                    123,                              0,                    544,                    257,                              0,                     17,                    215,                     66,                              0,                              0,                  1417,                    400,                 10137,,                 23923,                    550,                     94,                    540,                    439,                    808,                    606,                  1604,                    643,                  2051,                  1456,                    480,                    391,                              0,                  9043,                 42628,,                  2198,                 54963,                 18620,,,,                  5069,                  1362,                              0,                  6431,,                      6,                  3835,                              0,                              0,                  2439,                              0,                              0,                 19703,                              0,                -18301,,                  4759,                  4759,                -16629,                  1991,,                    737,                    737,                  1254,                  1254,,,                   -962,                  2669,                              0,                  1707,                  1707,                  2961,,                  1255,                     -1,,                  2962,                     -1,,                              0.01,,                              0.01
