證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益淨額,　　　　 資產減損（損失）迴轉利益淨額,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨損益,　　　　　 以成本衡量之金融資產利益,　　　　　 以成本衡量之金融資產淨損益,　　　　 顧問服務收入,　　　　　 顧問服務收入,　　　　　 顧問服務收入合計,　　　　 其他什項損益,　　　　　 其他什項收入,　　　　　 其他什項損益,　　　　 其他利息以外收益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 停業單位損益,　　 停業單位營業稅前損益 ,　　 停業單位損益合計,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 綜合損益總額,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　　 本期稅後淨利（損）歸屬於非控制權益,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　　 本期稅後綜合損益總額歸屬於非控制權益,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
2897,2017年01月01日至2017年03月31日,,,,              1941945,,                821967,              1119978,,,                456577,,               -749517,,                 84265,,                908771,,                              0,,                  3782,,,                  3248,                  3248,,                 10415,                 10415,,                 22838,                 22838,                 36501,                 36501,                740379,              1860357,,                101113,,,                635114,,                 54820,,                257150,                947084,,                812160,               -130962,                681198,,                    860,                    860,,                682058,                682058,,,               -481987,                221416,                  6892,                 62563,               -191116,               -191116,,                490942,                490942,,                459607,                222451,,                201695,                289247,,                              0.19,                              0.00,                              0.19,,                              0.19
2897,2016年01月01日至2016年03月31日,,,,              1712208,,                704742,              1007466,,,                563988,,                852059,,                 87247,,               -440102,,                -31266,,                 13169,,,                  8022,                  8022,,                  5309,                  5309,,                 11242,                 11242,                 24573,                 24573,              1069668,              2077134,,                137813,,,                543871,,                 46384,,                212191,                802446,,              1136875,               -222304,                914571,,                -51327,                -51327,,                863244,                863244,,,               -165594,                350694,                -23430,                     55,                161725,                161725,,              1024969,              1024969,,                524735,                338509,,                515435,                509534,,                              0.24,                             -0.02,                              0.22,,                              0.22
