年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2017,4,1101,台泥,勤業眾信聯合會計師事務所,翁雅玲,邵志明,2018-03-28,無保留意見
2017,4,1102,亞泥,勤業眾信聯合會計師事務所,郭俐雯,范有偉,2018-03-23,無保留意見
2017,4,1103,嘉泥,勤業眾信聯合會計師事務所,虞成全,張耿禧,2018-03-28,無保留意見(強調事項或其他事項)-其他
2017,4,1104,環球水泥,勤業眾信聯合會計師事務所,廖鴻儒,楊朝欽,2018-03-26,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1108,幸福水泥,勤業眾信聯合會計師事務所,黃海悅,劉永富,2018-03-16,無保留意見
2017,4,1109,信大水泥,資誠聯合會計師事務所,賴宗羲,徐明釧,2018-03-30,無保留意見
2017,4,1110,東泥,國富浩華聯合會計師事務所,蔡淑滿,謝仁耀,2018-03-28,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1201,味全公司,資誠聯合會計師事務所,蕭金木,張明輝,2018-03-26,無保留意見
2017,4,1203,味王公司,大中國際聯合會計師事務所,溫明郁,徐靖賢,2018-05-11,無保留意見(強調事項或其他事項)-其他、欲強調某一事項-財報重大不實表達而予重編
2017,4,1210,大成長城,安侯建業會計師事務所,李逢暉,陳眉芳,2018-03-23,無保留意見
2017,4,1213,大飲,資誠聯合會計師事務所,阮呂曼玉,徐聖忠,2018-03-23,無保留意見
2017,4,1215,卜蜂企業,資誠聯合會計師事務所,謝智政,翁世榮,2018-03-02,無保留意見
2017,4,1216,統一,資誠聯合會計師事務所,林姿妤,林永智,2018-03-28,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1217,愛之味,國富浩華聯合會計師事務所,蔡淑滿,李青霖,2018-03-27,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1218,泰山企業,安侯建業聯合會計師事務所,池世欽,陳嘉修,2018-03-27,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1219,福壽實業,群智聯合會計師事務所,呂松裕,陳芓?,2018-03-23,無保留意見
2017,4,1220,台榮,立本台灣聯合會計師事務所,陳怡琳,林淑萍,2018-03-22,無保留意見
2017,4,1225,福懋油,勤業眾信聯合會計師事務所,謝建新,陳招美,2018-03-29,無保留意見
2017,4,1227,佳格,勤業眾信聯合會計師事務所,許庭禎,龔則立,2018-03-22,無保留意見
2017,4,1229,聯華實業,安侯建業聯合會計師事務所,楊柳鋒,許淑敏,2018-03-29,無保留意見
2017,4,1231,聯華食品,勤業眾信聯合會計師事務所,張清福,柯志賢,2018-03-22,無保留意見
2017,4,1232,大統益,資誠聯合會計師事務所,林姿妤,林永智,2018-03-22,無保留意見
2017,4,1233,天仁,安永聯合會計師事務所,蕭翠慧,曾祥裕,2018-03-14,無保留意見
2017,4,1234,黑松,勤業眾信聯合會計師事務所,李麗凰,陳慧銘,2018-03-23,無保留意見
2017,4,1235,興泰,廣信益群聯合會計師事務所,萬益東,翁子霖,2018-03-24,無保留意見
2017,4,1236,宏亞食品,安永聯合會計師事務所,徐榮煌,張正道,2018-02-26,無保留意見
2017,4,1256,鮮活果汁-KY,勤業眾信聯合會計師事務所,陳慧銘,李麗凰,2018-03-13,無保留意見
2017,4,1262,綠悅-KY,勤業眾信聯合會計師事務所,江明南,施景彬,2018-03-23,無保留意見
2017,4,1301,台塑,安侯建業聯合會計師事務所,陳秀蘭,于紀隆,2018-03-22,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1303,南亞塑膠,安侯建業聯合會計師事務所,郭欣頤,于紀隆,2018-03-23,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1304,台聚,勤業眾信聯合會計師事務所,郭慈容,吳世宗,2018-03-13,無保留意見
2017,4,1305,華夏,勤業眾信聯合會計師事務所,吳世宗,郭慈容,2018-03-12,無保留意見
2017,4,1307,三芳化工,勤業眾信聯合會計師事務所,吳秋燕,陳珍麗,2018-03-07,無保留意見
2017,4,1308,亞聚,勤業眾信聯合會計師事務所,黃秀椿,吳世宗,2018-03-12,無保留意見
2017,4,1309,台達化工,勤業眾信聯合會計師事務所,吳世宗,郭慈容,2018-03-12,無保留意見
2017,4,1310,台苯,正風聯合會計師事務所,周銀來,吳欣亮,2018-03-13,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1312,國喬石化,國富浩華聯合會計師事務所,蕭英嘉,王戊昌,2018-03-22,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1313,聯成,勤業眾信聯合會計師事務所,郭文吉,劉建良,2018-03-16,無保留意見
2017,4,1314,中石化,安侯建業聯合會計師事務所,陳俊光,鍾丹丹,2018-02-26,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任、其他
2017,4,1315,達新工業,國富浩華聯合會計師事務所,張福郎,王戊昌,2018-03-20,無保留意見
2017,4,1316,上曜,安侯建業聯合會計師事務所,陳國宗,陳惠媛,2018-01-26,無保留意見
2017,4,1319,東陽,安永聯合會計師事務所,胡子仁,黃世杰,2018-03-23,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1321,大洋,安 侯 建 業 聯 合 會 計 師 事 務 所,余 聖 河,李 慈 慧,2018-03-23,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1323,永裕,資誠聯合會計師事務所,劉子猛,林姿妤,2018-02-13,無保留意見(強調事項或其他事項)-前期由其他會計師查核
2017,4,1324,地球工業,安永聯合會計師事務所,張志銘,徐榮煌,2018-03-01,無保留意見
2017,4,1325,恒大,勤業眾信聯合會計師事務所,姚勝雄,劉江抱,2018-03-28,無保留意見
2017,4,1326,台化,資誠聯合會計師事務所,周建宏,阮呂曼玉,2018-03-16,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1337,再生-KY,勤業眾信聯合會計師事務所,許瑞軒,江佳玲,2018-03-13,無保留意見
2017,4,1338,廣華-KY,安侯建業聯合會計師事務所,陳宜君,林琬琬,2018-03-26,無保留意見
2017,4,1339,昭輝,勤業眾信聯合會計師事務所,吳麗冬,曾棟鋆,2018-03-12,無保留意見
2017,4,1340,勝悅-KY,勤業眾信聯合會計師事務所,葉淑娟,吳恪昌,2018-03-22,無保留意見
2017,4,1402,遠東新,勤業眾信聯合會計師事務所,施景彬,郭政弘,2018-03-22,無保留意見(強調事項或其他事項)
2017,4,1409,新纖,勤業眾信聯合會計師事務所,王錦燕,施錦川,2018-03-26,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1410,南染,資誠聯合會計師事務所,徐聖忠,馮敏娟,2018-03-21,無保留意見
2017,4,1413,宏洲纖維,安侯建業聯合會計師事務所,連淑凌,池世欽,2018-02-26,無保留意見
2017,4,1414,東和,勤業眾信聯合會計師事務所,趙永祥,鄭欽宗,2018-03-16,無保留意見
2017,4,1416,廣豐,國富浩華聯合會計師事務所,高佩,林志隆,2018-03-26,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1417,嘉裕,勤業眾信聯合會計師事務所,許秀明,邵志明,2018-03-23,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1418,東華,勤業眾信聯合會計師事務所,陳招美,何瑞軒,2018-03-23,無保留意見(繼續經營有關之重大不確定性)-繼續經營能力存在重大不確定性/繼續經營假設存有重大疑慮
2017,4,1419,新紡,勤業眾信聯合會計師事務所,陳慧銘,池瑞全,2018-03-15,無保留意見
2017,4,1423,利華羊毛,安永聯合會計師事務所,曾祥裕,許新民,2018-03-22,無保留意見
2017,4,1432,大魯閣實業,資誠聯合會計師事務所,王方瑜,蕭金木,2018-03-26,無保留意見
2017,4,1434,福懋興業,資誠聯合會計師事務所,周建宏,阮呂曼玉,2018-03-16,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1435,中福國際,勤業眾信聯合會計師事務所,姚勝雄,陳昭伶,2018-03-22,無保留意見
2017,4,1436,華友聯,勤業眾信聯合會計師事務所,劉裕祥,郭麗園,2018-03-27,無保留意見
2017,4,1437,勤益投控,安侯建業聯合會計師事務所,呂莉莉,俞安恬,2018-03-16,無保留意見
2017,4,1438,裕豐,安泰聯合會計師事務所,潘自新,蔡聰慧,2018-03-22,無保留意見
2017,4,1439,中和羊毛,安永聯合會計師事務所,徐榮煌,黃建澤,2018-03-05,無保留意見
2017,4,1440,南紡,資誠聯合會計師事務所,林姿妤,劉子猛,2018-03-15,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1441,大東紡織,資誠聯合會計師事務所,周建宏,徐聖忠,2018-03-26,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1442,名軒,惠眾聯合會計師事務所,項文婷,林欣如,2018-03-23,無保留意見
2017,4,1443,立益紡織,國富浩華聯合會計師事務所,邱繼盛,陳桂美,2018-03-16,無保留意見
2017,4,1444,力麗,勤業眾信聯合會計師事務所,余鴻賓,邱明玉,2018-03-23,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1445,大宇紡織,勤業眾信聯合會計師事務所,邱政俊,郭慈容,2018-03-05,無保留意見
2017,4,1446,宏和,安永聯合會計師事務所,黃世杰,胡子仁,2018-03-29,無保留意見
2017,4,1447,力鵬,勤業眾信聯合會計師事務所,邱明玉,吳恪昌,2018-03-23,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1449,佳和實業,安侯建業聯合會計師事務所,陳惠媛,陳國宗,2017-12-31,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1451,年興紡織,勤業眾信聯合會計師事務所,江明南,葉淑娟,2018-03-23,無保留意見
2017,4,1452,宏益,立本台灣聯合會計師事務所,陳玉芳,陳怡琳,2018-02-26,無保留意見
2017,4,1453,大將,勤業眾信聯合會計師事務所,楊靜婷,楊清鎮,2018-03-20,無保留意見
2017,4,1454,台富,勤業眾信聯合會計師事務所,游素環,翁博仁,2018-03-05,無保留意見
2017,4,1455,集盛,國富浩華聯合會計師事務所,蕭英嘉,林美玲,2018-03-16,無保留意見
2017,4,1456,怡華,安侯建業聯合會計師事務所,張淑瑩,林琇宜,2018-03-23,無保留意見
2017,4,1457,宜進,安侯建業聯合會計師事務所,連淑凌,池世欽,2018-03-26,無保留意見
2017,4,1459,聯發紡織,勤業眾信聯合會計師事務所,黃海悅,劉永富,2018-03-26,無保留意見
2017,4,1460,宏遠,勤業眾信聯合會計師事務所,王燕景,李季珍,2018-03-16,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1463,強盛染整,安侯建業聯合會計師事務所,黃泳華,陳振乾,2018-03-27,無保留意見
2017,4,1464,得力實業,勤業眾信聯合會計師事務所,楊朝欽,王燕景,2018-03-16,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1465,偉全實業,立本台灣聯合會計師事務所,劉克宜,許坤錫,2018-03-20,無保留意見
2017,4,1466,聚隆,建智聯合會計師事務所,廖年傑,曹永仁,2018-03-27,無保留意見
2017,4,1467,南緯實業,安侯建業聯合會計師事務所,簡蒂暖,池世欽,2018-03-29,無保留意見
2017,4,1468,昶和纖維,勤業眾信聯合會計師事務所,許庭禎,楊清鎮,2018-03-21,無保留意見
2017,4,1470,大統染,勤業眾信聯合會計師事務所,謝建新,何瑞軒,2018-03-28,無保留意見
2017,4,1471,首利,資誠聯合會計師事務所,徐聖忠,吳漢期,2018-03-29,無保留意見
2017,4,1472,三洋紡,勤業眾信聯合會計師事務所,黃海悅,謝建新,2018-03-15,無保留意見
2017,4,1473,台南企業,資誠聯合會計師事務所,劉子猛,林姿妤,2018-03-27,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1474,弘裕,資誠聯合會計師事務所,洪淑華,徐建業,2018-03-09,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1475,本盟光電,資誠聯合會計師事務所,游淑芬,張淑瓊,2018-03-23,無保留意見
2017,4,1476,儒鴻,安侯建業聯合會計師事務所,郭欣頤,陳秀蘭,2018-03-15,無保留意見
2017,4,1477,聚陽實業,安侯建業聯合會計師事務所,陳蓓琪,于紀隆,2018-03-27,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
2017,4,1503,士電,勤業眾信聯合會計師事務所,許庭禎,陳致源,2018-03-09,無保留意見
2017,4,1504,東元電機,資誠聯合會計師事務所,吳郁隆,周建宏,2018-03-26,無保留意見(強調事項或其他事項)-採用其他會計師查核(核閱)報告且欲區分責任
