年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2005,2,1316,上曜,資誠會計師事務所,李明憲,劉子猛,94-08-16,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1319,東陽,致遠會計師事務所,吳健源,蔡清典,94-08-22,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1321,大洋,眾信聯合會計師事務所,吳清堅,蔡松棋,94-08-15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1323,永裕,勤業眾信會計師事務所,黃李松,林卉娟,94-08-10,無保留意見
2005,2,1324,地球,致遠會計師事務所,楊文安,佟韻玲,94-07-29,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1325,恆大,勤業眾信會計師事務所,陳照敏,曾有財,94-07-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1326,台化,致遠會計師事務所,阮呂艷,何志儒,94-08-12,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1402,遠東新,勤業眾信會計師事務所,施景彬,吳恩銘,94-08-15,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1409,新纖,勤業眾信會計師事務所,"王錦燕 (YYY代表會計�/td>李麗凰 (YYY代表會計�/td>94/08/20
修正式無保留意見--採用其他會計師查核且欲區分責任","李麗凰 (YYY代表會計�/td>94/08/20
修正式無保留意見--採用其他會計師查核且欲區分責任",94-08-20,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1410,南染,致遠會計師事務所,何志儒,阮呂艷,94-07-16,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1413,宏洲,立本台灣聯合會計師事務所,柯俊輝,陳玉芳,94-08-08,修正式無保留意見--會計原則變動
2005,2,1414,東和,安侯建業會計師事務所,楊博任,方惠玲,94-08-22,修正式無保留意見--欲強調某一事項
2005,2,1416,廣豐,第一聯合會計師事務所,林克武,高佩,94-08-20,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1417,嘉裕,致 遠 會 計 師 事 務 所,賴明陽,徐憶芳,94-08-09,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1418,東華,勤業眾信會計師事務所,黃海悅,林谷同,94-08-24,修正式無保留意見--欲強調某一事項
2005,2,1419,新紡,勤業眾信會計師事務所,陳慧銘,林義峰,94-07-22,修正式無保留意見--欲強調某一事項
2005,2,1423,利華,致遠會計師事務所,戴興鉦,潘愛華,94-07-28,保留意見--依被投資公司未經會計師查核報告認列投資損益
