年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2007,4,1101,台泥,勤業眾信會計師事務所,郭政弘,邵志明,97-03-31,無保留意見
2007,4,1102,亞泥,勤業眾信會計師事務所,戴信維,郭俐雯,97-03-10,無保留意見
2007,4,1103,嘉泥,勤業眾信會計師事務所,仲  偉,涂三遷,97-03-31,修正式無保留意見--欲強調某一事項
2007,4,1104,環泥,資誠會計師事務所,王嘉瑜,蕭金木,97-04-05,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1108,幸福,勤業眾信 會 計 師 事 務 所,陳招美(YYY代表會計師,謝建新(YYY代表會計師,97-03-10,無保留意見
2007,4,1109,信大,資誠會計師事務所,賴宗羲,周育正,97-03-21,修正式無保留意見--會計原則變動、前期由其他會計師查核
2007,4,1110,東泥,建興聯合會計師事務所,蔡淑滿,劉奕宏,97-03-20,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1201,味全,資誠會計師事務所,吳郁隆,吳漢期,97-03-31,修正式無保留意見--欲強調某一事項
2007,4,1203,味王,大中國際聯合會計師事務所,林寬照,溫明郁,97-04-23,修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動
2007,4,1210,大成,安侯建業會計師事務所,丁玉山,許育峰,97-04-14,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1213,大飲,安永會計師事務所,賴 明 陽,鄭 戊 水,97-02-22,無保留意見
2007,4,1215,卜蜂,資誠會計師事務所,李燕松,翁世榮,97-04-11,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1216,統一,資誠會計師事務所,李明憲,林姿妤,97-04-16,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1217,愛之味,建興聯合會計師事務所,劉奕宏,柯清泉,97-04-24,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1218,泰山,安侯建業會計師事務所,陳嘉修,簡蒂暖,97-04-17,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1219,福壽,群智聯合會計師事務所,黃奕睿,陳郁惠,97-03-01,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1220,台榮,立本台灣聯合會計師事務所,柯俊輝,柯俊榮,97-02-27,無保留意見
2007,4,1225,福懋油,勤業眾信會計師事務所,謝建新,陳招美,97-02-29,無保留意見
2007,4,1227,佳格,勤業眾信會計師事務所,許庭禎,郭文吉,97-02-27,無保留意見
2007,4,1229,聯華,安侯建業會計師事務所,許淑敏,楊柳鋒,97-04-17,修正式無保留意見--會計原則變動
2007,4,1231,聯華食,勤業眾信會計師事務所,蔡振財,陳清祥,97-02-20,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1232,大統益,資誠會計師事務所,劉子猛,林姿妤,97-03-01,無保留意見
2007,4,1233,天仁,致遠 聯 合 會 計 師 事 務 所,"蕭翠慧 (YYY代表會計�/td>鄧泗堂 (YYY代表會計�/td>97/02/14
無保留意見","鄧泗堂 (YYY代表會計�/td>97/02/14
無保留意見",97-02-14,無保留意見
2007,4,1234,黑松,勤 業 眾 信 會 計 師 事 務 所,林義峰,陳慧銘,97-02-26,無保留意見
2007,4,1235,興泰,第一聯合會計師事務所,王戊昌,甘有財,97-03-20,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1236,宏亞,安永會計師事務所,賴明陽,鄭戊水,97-02-20,無保留意見
2007,4,1301,台塑,安侯建業會計師事務所,寇惠植,李慈慧,97-03-10,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1303,南亞,安候建業會計師事務所,李慈慧,寇惠植,97-03-20,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1304,台聚,勤業眾信會計師事務所,郭慈容,黃秀椿,97-02-29,無保留意見
2007,4,1305,華夏,勤 業 眾 信 會 計 師 事 務 所,郭慈容,黃秀椿,97-02-14,無保留意見
2007,4,1307,三芳,安侯建業會計師事務所,楊博任,陳國宗,97-03-10,無保留意見
2007,4,1308,亞聚,勤 業 眾 信 會 計 師 事 務 所,黃 秀 椿,王 小 蕙,97-02-20,無保留意見
2007,4,1309,台達化,勤業眾信會計師事務所,韋亮發,王小蕙,97-02-20,無保留意見
2007,4,1310,台苯,正風聯合會計師事務所,周銀來,賴永吉,97-03-14,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1312,國喬,第一聯合會計師事務所,蕭英嘉,張福郎,97-03-28,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1313,聯成,勤業眾信會計師事務所,郭文吉,許庭禎,97-04-17,無保留意見
2007,4,1314,中石化,安侯建業會計師事務所,陳富煒,林琬琬,97-03-27,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1315,達新,第一聯合會計師事務所,王戊昌,甘有財,97-04-03,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1316,上曜,資誠會計師事務所,李明憲,林姿妤,97-03-27,無保留意見
2007,4,1319,東陽,安永會計師事務所,黃世杰,王金來,97-03-21,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1321,大洋,安侯建業會計師事務所,蔡松棋,呂觀文,97-03-14,修正式無保留意見--採用其他會計師查核且欲區分責任
2007,4,1323,永裕,勤業眾信會計師事務所,林卉娟,李季珍,97-02-29,無保留意見
2007,4,1324,地球,安永會計師事務所,黃素珍,楊智惠,97-03-21,無保留意見
