證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
2412,2014年01月01日至2014年06月30日,,            110834147,,             70084484,             40749663,             40749663,,,             12596707,,              2166827,,              1742984,             16506518,,                -19505,             24223640,,,,                142732,                395409,                538141,,                 -6368,,                 19285,,                391722,                904210,             25127850,,              4047610,             21080240,             21080240,,,,                              0,                              0,                              0,,                -36731,               -233805,                   -263,,                -24641,                -24641,                 -1882,               -293558,               -293558,             20786682,,             20816703,                263537,,             20548278,                238404,,                              2.68,                              2.68,,                              2.68,                              2.68,,,,,,,,,
2412,2014年01月01日至2014年03月31日,,             55049912,,             35000167,             20049745,             20049745,,,              6166857,,              1083312,,                893912,              8144081,,                 -8510,             11897154,,,,                 59123,                253067,                312190,,                -31022,,                  8726,,                172106,                444548,             12341702,,              1956033,             10385669,             10385669,,,,,,,,,,,,,,,,               -236810,             10148859,,             10235417,                150252,,             10007673,                141186,,                              1.32,                              1.32,,                              1.32,                              1.32,,                 14517,               -259967,,,,                  7604,                 -1036,                              0
2412,2013年第3季,,             56723304,,             35789479,             20933825,             20933825,,,              6373601,,              1039520,,                922176,              8335297,,                -12005,             12586523,,,,                146630,                127762,                274392,,                 -3497,,                  9573,,                222821,                484143,             13070666,,              2177679,             10892987,             10892987,,,,,,,,,,,,,,,,               -146910,             10746077,,             10648268,                244719,,             10506098,                239979,,                              1.37,                              1.37,,                              1.37,                              1.37,,                -72259,                -70853,                              0,,,                   -305,                  3493,
2412,2013年第2季,,             55837956,,             35279063,             20558893,             20558893,,,              5961812,,              1011692,,                931773,              7905277,,                 -5728,             12647888,,,,                172939,                 69403,                242342,,                -42464,,                  6373,,                202653,                396158,             13044046,,              2157517,             10886529,             10886529,,,,,,,,,,,,,,,,               -237742,             10648787,,             10634960,                251569,,             10386347,                262440,,                              1.37,                              1.37,,                              1.37,                              1.37,,                 15694,               -244797,                              0,,,                 -8260,                    379,
2412,2013年度,,            227981307,,            147359328,             80621979,             80621979,,,             25160434,,              4190347,,              3654770,             33005551,,                 58955,             47675383,,,,                562808,                356528,                919336,,               -122911,,                 36412,,                674977,              1434990,             49110373,,              8270746,             40839627,             40839627,,,,,,,,,,,,,,,,               -816415,             40023212,,             39715693,              1123934,,             38858600,              1164612,,                              5.12,                              5.12,,                              5.11,                              5.11,                 36412,                129318,               -392685,                              0,               -617049,,                -34566,                -98567,
2412,2013年07月01日至2013年09月30日,,             56723304,,             35789479,             20933825,             20933825,,,              6373601,,              1039520,,                922176,              8335297,,                -12005,             12586523,,,,                146630,                127762,                274392,,                 -3497,,                  9573,,                222821,                484143,             13070666,,              2177679,             10892987,             10892987,,,,,,,,,,,,,,,,               -146910,             10746077,,             10648268,                244719,,             10506098,                239979,,                              1.37,                              1.37,,                              1.37,                              1.37,,                -72259,                -70853,,,,                   -305,                  3493,
2412,2013年04月01日至2013年06月30日,,             55837956,,             35279063,             20558893,             20558893,,,              5961812,,              1011692,,                931773,              7905277,,                 -5728,             12647888,,,,                172939,                 69403,                242342,,                -42464,,                  6373,,                202653,                396158,             13044046,,              2157517,             10886529,             10886529,,,,,,,,,,,,,,,,               -237742,             10648787,,             10634960,                251569,,             10386347,                262440,,                              1.37,                              1.37,,                              1.37,                              1.37,,                 15694,               -244797,,,,                 -8260,                    379,
2412,2013年01月01日至2013年12月31日,,            227981307,,            147289195,             80692112,             80692112,,,             25160434,,              4190347,,              3724903,             33075684,,                 58955,             47675383,,,,                562808,                356528,                919336,,               -122911,,                 36412,,                674977,              1434990,             49110373,,              8270746,             40839627,             40839627,,,,,,,,,,,,,,,,               -816415,             40023212,,             39715693,              1123934,,             38858600,              1164612,,                              5.12,                              5.12,,                              5.11,                              5.11,,                129318,               -392685,,               -617049,,                -34566,                -98567,
2412,2013年01月01日至2013年09月30日,,            169178253,,            108519223,             60659030,             60659030,,,             18323572,,              3099503,,              2724972,             24148047,,                -42231,             36468752,,,,                471040,                266637,                737677,,                -34153,,                 23920,,                525180,              1204784,             37673536,,              6279920,             31393616,             31393616,,,,,,,,,,,,,,,,               -426604,             30967012,,             30484334,                909282,,             30038507,                928505,,                              3.93,                              3.93,,                              3.92,                              3.92,,                 17553,               -404170,                              0,,,                -36605,                  3382,
2412,2013年01月01日至2013年06月30日,,            112454949,,             72729744,             39725205,             39725205,,,             11949971,,              2059983,,              1802796,             15812750,,                -30226,             23882229,,,,                324410,                138875,                463285,,                -30656,,                 14347,,                302359,                720641,             24602870,,              4102241,             20500629,             20500629,,,,,,,,,,,,,,,,               -279694,             20220935,,             19836066,                664563,,             19532409,                688526,,                              2.56,                              2.56,,                              2.55,                              2.55,,                 89812,               -333317,                              0,,,                -36300,                   -111,
2412,2013年01月01日至2013年03月31日,,             56616993,,             37450681,             19166312,             19166312,,,              5988159,,              1048291,,                871023,              7907473,,                -24498,             11234341,,,,                151471,                 69472,                220943,,                 11808,,                  7974,,                 99706,                324483,             11558824,,              1944724,              9614100,              9614100,,,,,,,,,,,,,,,,                -41952,              9572148,,              9201106,                412994,,              9146062,                426086,,                              1.19,                              1.19,,                              1.18,                              1.18,,                 74118,                -88520,,,,                -28040,                   -490,                              0
2412,2012年07月01日至2012年09月30日,,             55284607,,             34607909,             20676698,             20676698,,,              6129760,,                945695,,                957458,              8032913,,                 -9457,             12634328,,,,                183333,                108662,                291995,,                -42038,,                  5204,,                178656,                423409,             13057737,,              2085532,             10972205,             10972205,,,,,,,,,,,,,,,,               -329172,             10643033,,             10698297,                273908,,             10376114,                266919,,                              1.38,                              1.38,,                              1.38,                              1.38,,                -21253,               -306033,,,,                 -1886,                              0,
2412,2012年04月01日至2012年06月30日,,             54400505,,             33513869,             20886636,             20886636,,,              4279428,,              1017812,,                927415,              6224655,,             -1261578,             13400403,,,,                213429,                 75001,                288430,,                -37699,,                  5181,,                110984,                356534,             13756937,,              2120692,             11636245,             11636245,,,,,,,,,,,,,,,,                462324,             12098569,,             11436350,                199895,,             11892963,                205606,,                              1.47,                              1.47,,                              1.47,                              1.47,,                 17051,                436906,,,,                  8367,                              0,
2412,2012年01月01日至2012年12月31日,,            221419829,,            141512808,             79907021,             79907021,,,             22246206,,              4021184,,              3698110,             29965500,,             -1569217,             48372304,,,,                741937,                440609,              1182546,,               -138524,,                 22033,,                533358,              1555347,             49927651,,              8011771,             41915880,             41915880,,,,,,,,,,,,,,,,             -1134514,             40781366,,             40779726,              1136154,,             39668379,              1112987,,                              5.26,                              5.26,,                              5.24,                              5.24,,                -57959,                192114,,             -1496742,,                -26373,               -254446,
2412,2012年01月01日至2012年09月30日,,            165168978,,            104702702,             60466276,             60466276,,,             15975919,,              2969952,,              2743066,             21688937,,             -1266280,             37511059,,,,                586191,                281351,                867542,,                -38048,,                 16030,,                461938,              1275402,             38786461,,              6192723,             32593738,             32593738,,,,,,,,,,,,,,,,                205236,             32798974,,             31731916,                861822,,             31942867,                856107,,                              4.09,                              4.09,,                              4.08,                              4.08,,                -41282,                246505,,,,                     13,                              0,
2412,2012年01月01日至2012年06月30日,,            109884371,,             70094793,             39789578,             39789578,,,              9846159,,              2024257,,              1785608,             13656024,,             -1256823,             24876731,,,,                402858,                172689,                575547,,                  3990,,                 10826,,                283282,                851993,             25728724,,              4107191,             21621533,             21621533,,,,,,,,,,,,,,,,                534408,             22155941,,             21033619,                587914,,             21566753,                589188,,                              2.71,                              2.71,,                              2.70,                              2.70,,                -20029,                552538,,,,                  1899,                              0,
2412,2012年01月01日至2012年03月31日,,             55483866,,             36580924,             18902942,             18902942,,,              5566731,,              1006445,,                858193,              7431369,,                  4755,             11476328,,,,                189429,                 97688,                287117,,                 41689,,                  5645,,                172298,                495459,             11971787,,              1986499,              9985288,              9985288,,,,,,,,,,,,,,,,                 72084,             10057372,,              9597269,                388019,,              9673790,                383582,,,                              1.24,,,                              1.23,,                -37080,                115632,,,,                 -6468,                              0,
