證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 已實現銷貨（損）益
3383,2015年第3季,,                499193,,                808252,               -309059,               -309059,,,                 28117,,                 60992,,                 38092,                127201,               -436260,,,                  8876,,                 23228,,                 23097,,                  2047,                 11054,               -425206,,                 -8943,               -416263,               -416263,,,                 39088,,                  3308,                 42396,                 42396,               -373867,,               -395845,                -20418,,               -371016,                 -2851,,                             -1.26,                             -1.26,,                             -1.26,                             -1.26,,,,,,
3383,2015年第2季,,                809941,,                964382,               -154441,               -154441,,,                 18458,,                 71877,,                 37120,                127455,               -281896,,,                  4058,,                -27233,,                 22348,,                  4537,                -40986,               -322882,,                 -2269,               -320613,               -320613,,,                -14554,,                   -438,                -14992,                -14992,               -335605,,               -305568,                -15045,,               -313338,                -22267,,                             -0.92,                             -0.92,,                             -0.92,                             -0.92,,,,,,
3383,2015年01月01日至2015年09月30日,,              2093569,,              2622434,               -528865,               -528865,,,                 76715,,                199933,,                107737,                384385,               -913250,,,                 20677,,                -23657,,                 69849,,                  6637,                -66192,               -979442,,                -22130,               -957312,               -957312,,,                 14700,,                  2234,                 16934,                 16934,               -940378,,               -898319,                -58993,,               -885436,                -54942,,                             -2.74,                             -2.74,,                             -2.74,                             -2.74,,,,,,
3383,2015年01月01日至2015年06月30日,,              1594376,,              1814182,               -219806,               -219806,,,                 48598,,                138941,,                 69645,                257184,               -476990,,,                 11801,,                -46885,,                 46752,,                  4590,                -77246,               -554236,,                -13187,               -541049,               -541049,,,                -24388,,                 -1074,                -25462,                -25462,               -566511,,               -502474,                -38575,,               -514420,                -52091,,                             -1.50,                             -1.50,,                             -1.50,                             -1.50,,,,,,
3383,2015年01月01日至2015年03月31日,,                784435,,                849800,                -65365,                -65365,,,                 30140,,                 67064,,                 32525,                129729,               -195094,,,                  7743,,                -19652,,                 24404,,                     53,                -36260,               -231354,,                -10918,               -220436,               -220436,,,                 -9834,,                   -636,                -10470,                -10470,               -230906,,               -196906,                -23530,,               -201082,                -29824,,                             -0.59,                             -0.59,,                             -0.59,                             -0.59,,,,,,
3383,2014年第3季,,                972519,,                768681,                203838,                203838,,,                 26707,,                 62003,,                 37574,                126284,                 77554,,,                  3958,,                 -1241,,                 28352,,                  3992,                -21643,                 55911,,                  3094,                 52817,                 52817,,,                 29909,,                 -2258,                 27651,                 27651,                 80468,,                 56462,                 -3645,,                 69400,                 11068,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,
3383,2014年第2季,,              1208915,,              1004377,                204538,                204538,,,                 27735,,                 61420,,                 57473,                146628,                 57910,,,                 42241,,                -11493,,                 31082,,                  4933,                  4599,                 62509,,                  6208,                 56301,                 56301,,,                -16728,,                     20,                -16708,                -16708,                 39593,,                 60620,                 -4319,,                 53092,                -13499,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,
3383,2014年度,,              4056898,,              3440331,                616567,                616567,,,                100658,,                256794,,                186922,                544374,                 72193,,,                 97217,,                 37411,,                117117,,                  7758,                 25269,                 97462,,                 22561,                 74901,                 74901,,,,,,,                 30375,                105276,,                118390,                -43489,,                130317,                -25041,,                              0.38,                              0.38,,                              0.38,                              0.38,                 32172,                  1680,,                 -3191,                    286,
3383,2014年01月01日至2014年09月30日,,              3269463,,              2718419,                551044,                551044,,,                 77763,,                183383,,                143197,                404343,                146701,,,                 86689,,                  6563,,                 95667,,                  9134,                  6719,                153420,,                 20379,                133041,                133041,,,                  4344,,                 -1300,                  3044,                  3044,                136085,,                159783,                -26742,,                159696,                -23611,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,,,
3383,2014年01月01日至2014年06月30日,,              2296944,,              1949738,                347206,                347206,,,                 51056,,                121380,,                105623,                278059,                 69147,,,                 82731,,                  7804,,                 67315,,                  5142,                 28362,                 97509,,                 17285,                 80224,                 80224,,,                -25565,,                    958,                -24607,                -24607,                 55617,,                103321,                -23097,,                 90296,                -34679,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,,
3383,2014年01月01日至2014年03月31日,,              1088029,,                945361,                142668,                142668,,,                 23321,,                 59960,,                 48150,                131431,                 11237,,,                 40490,,                 19297,,                 36233,,                    209,                 23763,                 35000,,                 11077,                 23923,                 23923,,,                 -8837,,                    938,                 -7899,                 -7899,                 16024,,                 42701,                -18778,,                 37204,                -21180,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,,
3383,2013年第3季,,              1088662,,              1058913,                 29749,                 29749,,,                 28278,,                 45541,,                 67486,                141305,               -111556,,,                 32660,,                -14508,,                 35078,,                  4323,                -12603,               -124159,,                 -6490,               -117669,               -117669,,,,,,,                 -7936,               -125605,,               -115268,                 -2401,,               -119497,                 -6108,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,                 -8093,,,                    157,,
3383,2013年第2季,,                976860,,              1012357,                -35497,                -35497,,,                 16446,,                 50941,,                 62544,                129931,               -165428,,,                  6847,,                 -2415,,                 32094,,                 -2942,                -30604,               -196032,,                 -3960,               -192072,               -192072,,,,,,,                 19371,               -172701,,               -194173,                  2101,,               -184642,                 11941,,                             -0.71,                             -0.71,,                             -0.71,                             -0.71,                 20165,,,                   -794,,
3383,2013年度,,              3911944,,              3716248,                195696,                195696,,,                 89626,,                242189,,                290378,                622193,               -426497,,,                 84217,,                 -1154,,                130021,,                -17864,                -64822,               -491319,,                 11035,               -502354,               -502354,,,,,,,                 55097,               -447257,,               -449725,                -52629,,               -424663,                -22594,,                             -1.63,                             -1.63,,                             -1.63,                             -1.63,                 59401,                    502,,                 -4721,                     85,
3383,2013年07月01日至2013年09月30日,,              1088662,,              1058913,                 29749,                 29749,,,                 28278,,                 45541,,                 67486,                141305,               -111556,,,                 32660,,                -14508,,                 35078,,                  4323,                -12603,               -124159,,                 -6490,               -117669,               -117669,,,,,,,                 -7936,               -125605,,               -115268,                 -2401,,               -119497,                 -6108,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,                 -8093,,,                    157,,                              0
3383,2013年04月01日至2013年06月30日,,                976860,,              1012357,                -35497,                -35497,,,                 16446,,                 50941,,                 62544,                129931,               -165428,,,                  6847,,                 -2415,,                 32094,,                 -2942,                -30604,               -196032,,                 -3960,               -192072,               -192072,,,,,,,                 19371,               -172701,,               -194173,                  2101,,               -184642,                 11941,,                             -0.71,                             -0.71,,                             -0.71,                             -0.71,                 20165,,,                   -794,,                              0
3383,2013年01月01日至2013年12月31日,,              3911944,,              3716248,                195696,                195696,,,                 89626,,                242189,,                290378,                622193,               -426497,,,                 84217,,                 -1154,,                130021,,                -17864,                -64822,               -491319,,                 11035,               -502354,               -502354,,,,,,,                 55097,               -447257,,               -449725,                -52629,,               -424663,                -22594,,                             -1.63,                             -1.63,,                             -1.63,                             -1.63,                 59401,                    502,,                 -4721,                     85,                              0
3383,2013年01月01日至2013年09月30日,,              2866230,,              2879449,                -13219,                -13219,,,                 64143,,                144341,,                193527,                402011,               -415230,,,                 42752,,                  8072,,                 97948,,                -14807,                -61931,               -477161,,                 -8473,               -468688,               -468688,,,,,,,                 38663,               -430025,,               -467246,                 -1442,,               -451184,                 21159,,                             -1.70,                             -1.70,,                             -1.70,                             -1.70,                 41266,,,                 -2603,,
3383,2013年01月01日至2013年06月30日,,              1777568,,              1820536,                -42968,                -42968,,,                 35865,,                 98800,,                126041,                260706,               -303674,,,                 10092,,                 22580,,                 62870,,                -19130,                -49328,               -353002,,                 -1983,               -351019,               -351019,,,,,,,                 46599,               -304420,,               -351978,                    959,,               -331687,                 27267,,                             -1.28,                             -1.28,,                             -1.28,                             -1.28,                 49359,,,                 -2760,,
3383,2013年01月01日至2013年03月31日,,                800708,,                808179,                 -7471,                 -7471,,,                 19419,,                 47859,,                 63497,                130775,               -138246,,,                  3245,,                 24995,,                 30776,,                -16188,                -18724,               -156970,,                  1977,               -158947,               -158947,,,,,,,                 27228,               -131719,,               -157805,                 -1142,,               -147045,                 15326,,                             -0.57,                             -0.57,,                             -0.57,                             -0.57,                 29194,,,                 -1966,,
3383,2012年07月01日至2012年09月30日,,                986389,,                837197,                149192,                149192,,,                 59353,,                 43880,,                 56000,                159233,                -10041,,,                  4621,,                -22729,,                 26949,,                 -3540,                -48597,                -58638,,                -14445,                -44193,                -44193,,,,,,,                 -2448,                -46641,,                -43734,                   -459,,                -44078,                 -2563,,                             -0.16,                             -0.16,,                             -0.16,                             -0.16,                 -2644,,,                    196,,                              0
