證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 權利金收入,　　　 廉價購買利益,　　　 手續費收入,　　　　 手續費收入合計,　　　 違約金收入,　　　 歸墊收入,　　　 壞帳轉回利益,　　　 沖銷逾期應付款利益,　　　 與可能重分類之項目相關之所得稅,　　　 處分投資損失,　　　 減損損失,　　　　 減損損失合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益
6464,2015年第3季,,                754612,,                348198,                406414,                406414,,,                 34760,,                102420,,                  1624,                138804,                267610,,,,                  3017,                  1034,                  8391,                  2007,                 14449,,                    115,                              0,                  5158,                 -5043,,                  9262,                  9262,,                  3443,                  3587,                271197,,                 45440,                225757,                225757,,,                  1544,,                   -367,                  1177,                  1177,                226934,,                225443,                    314,,                226604,                    330,,                              2.02,                              2.02,,                              2.02,                              2.02,,,,,,,,,,,,,,,,,
6464,2015年第2季,,                763362,,                337899,                425463,                425463,,,                 36635,,                105842,,                  1950,                144427,                281036,,,,                  3443,                  1043,                              0,                  3044,                  7530,,                     65,                  4388,                    -83,                  4536,,                  9986,                  9986,,                  2029,                  4109,                285145,,                 56233,                228912,                228912,,,                    708,,                   -513,                    195,                    195,                229107,,                228632,                    280,,                228825,                    282,,                              2.05,                              2.05,,                              2.05,                              2.05,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
6464,2015年01月01日至2015年09月30日,,              2279306,,              1013441,              1265865,              1265865,,,                104829,,                296623,,                  5858,                407310,                858555,,,,                  9222,                  3131,                  8391,                  7414,                 28158,,                  1539,                  4388,                  5460,                    467,,                 29170,                 29170,,                  6525,                  5980,                864535,,                153681,                710854,                710854,,,                  2622,,                 -1058,                  1564,                  1564,                712418,,                709799,                  1055,,                711342,                  1076,,                              6.37,                              6.37,,                              6.36,                              6.36,,,,,,,,,,,,,,,,,
6464,2015年01月01日至2015年06月30日,,              1524694,,                665243,                859451,                859451,,,                 70069,,                194203,,                  4234,                268506,                590945,,,,                  6205,                  2097,                              0,                  5407,                 13709,,                  1424,                  4388,                    302,                  5510,,                 19908,                 19908,,                  3082,                  2393,                593338,,                108241,                485097,                485097,,,                  1078,,                   -691,                    387,                    387,                485484,,                484356,                    741,,                484738,                    746,,                              4.35,                              4.35,,                              4.34,                              4.34,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
6464,2015年01月01日至2015年03月31日,,                761332,,                327344,                433988,                433988,,,                 33434,,                 88361,,                  2284,                124079,                309909,,,,                  2762,                  1054,,                  2363,                  6179,,                  1359,,                    385,                    974,,                  9922,                  9922,,                  1053,                 -1716,                308193,,                 52008,                256185,                256185,,,                    370,,                   -178,                    192,                    192,                256377,,                255724,                    461,,                255913,                    464,,                              2.30,                              2.30,,                              2.29,                              2.29,,,,,,,,,,,,,,,,,
6464,2014年第3季,,                769227,,                315867,                453360,                453360,,,                 35696,,                102282,,                  1917,                139895,                313465,,,,                  1850,                    985,                    230,                  4303,                  7368,,                              0,                              0,                    -24,                     24,,                  8110,                  8110,,                  2019,                  1301,                314766,,                 52350,                262416,                262416,,,                   -365,,                    284,                    -81,                    -81,                262335,,                261670,                    746,,                261575,                    760,,                              2.35,                              2.35,,                              2.35,                              2.35,,,,,,,,,,,,,,,,,
6464,2014年第2季,,                762686,,                326957,                435729,                435729,,,                 33756,,                 97578,,                  2081,                133415,                302314,,,,                  2077,                  1335,                              0,                    384,                  3796,,                              0,                              0,                  7482,                 -7482,,                  7768,                  7768,,                  2486,                 -8968,                293346,,                 56856,                236490,                236490,,,                  2065,,                    136,                  2201,                  2201,                238691,,                235409,                  1081,,                237603,                  1088,,                              2.14,                              2.14,,                              2.14,                              2.14,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
6464,2014年度,,              3083093,,              1307127,              1775966,              1775966,,,                143381,,                452355,,                  9082,                604818,              1171148,,,,                  8724,                  3850,,                 27734,                 40308,,                    739,                  2541,                 18945,                -18443,,                 50959,                 50959,,                  7907,                -21187,              1149961,,                207175,                942786,                942786,,,,,,,                -11416,                931370,,                940668,                  2118,,                929383,                  1987,,                              8.51,                              8.51,,                              8.49,                              8.49,,,,,,,,,,                              0,,                  2778,                 -1296,                -14671,,                  2036,                  2515
6464,2014年上半年度,,              1527460,,                633293,                894167,                894167,,,                 67121,,                204122,,                  3867,                275110,                619057,,,,                  4267,                  1718,,                  6914,                 12899,,,,                  8295,                 -8295,,                 33483,                 33483,,                  5697,                -23182,                595875,,                106320,                489555,                489555,,,,,,,                  1490,                491045,,                488081,                  1474,,                489571,                  1474,,                              4.44,                              4.44,,                              4.44,                              4.44,,,,,,,,,,,,                              0,                  1490,,,,
6464,2014年01月01日至2014年09月30日,,              2296687,,                949160,              1347527,              1347527,,,                102817,,                306404,,                  5784,                415005,                932522,,,,                  6117,                  2703,                    230,                 11217,                 20267,,                              0,                              0,                  8271,                 -8271,,                 41593,                 41593,,                  7716,                -21881,                910641,,                158670,                751971,                751971,,,                  1125,,                    284,                  1409,                  1409,                753380,,                749751,                  2220,,                751146,                  2234,,                              6.79,                              6.79,,                              6.79,                              6.79,,,,,,,,,,,,,,,,,
