證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　　 採用權益法認列之關聯企業及合資損失之份額
1721,2015年第3季,,                328321,,                280044,                 48277,                 48277,,,                 10761,,                 21164,,                  3818,                 35743,                 12534,,,                    766,,                              0,                 15596,                  1678,                    612,                              0,,,,                 13306,,                  1199,                  1199,                 12873,                 25407,,                              0,                 25407,                 25407,,,,,,                              0,                  1033,                  1033,                  1033,                 26440,,                 25407,,                 26440,,                              0.30,                    766,                              0,,,,,,,,,,,,,
1721,2015年第2季,,                403828,,                348963,                 54865,                 54865,,,                 26039,,                 11782,,                  4239,                 42060,                 12805,,,                  4684,,                      4,                              0,                              0,,,,,,                 -4704,,                  1014,                  1014,                 -1034,                 11771,,                              0,                 11771,                 11771,,,,,,                              0,                              0,                              0,                              0,                 11771,,                 11771,,                 11771,,                              0.14,                  4684,                              0,                              0,                  4708,,,,,,,,,,,
1721,2015年度,,              1432395,,              1220708,                211687,                211687,,,                 73134,,                 60473,,                 15604,                149211,                 62476,,,                  6623,,                  4546,                  7024,                  1731,                  1319,                              0,,                 14000,                 14000,                 -5480,,                  4249,                  4249,                 -3106,                 59370,,                              0,                 59370,                 59370,,,                 -4549,                 -4549,,                 -3972,                  1859,                 -2113,                 -6662,                 52708,,                 59370,,                 52708,,                              0.71,,,,,,,,,,,,,,,
1721,2015年01月01日至2015年09月30日,,              1071649,,                927166,                144483,                144483,,,                 52609,,                 45768,,                 11578,                109955,                 34528,,,                  6097,,                  4546,                  6751,                  1691,                    585,                              0,,,,                  9021,,                  3700,                  3700,                 11418,                 45946,,                              0,                 45946,                 45946,,,,,,                 -3972,                    537,                 -3435,                 -3435,                 42511,,                 45946,,                 42511,,                              0.55,                  6097,                              0,,,,,,,,,,,,,
1721,2015年01月01日至2015年06月30日,,                743328,,                647122,                 96206,                 96206,,,                 41848,,                 24604,,                  7760,                 74212,                 21994,,,                  5331,,                  4546,                              0,                     13,,,,,,                 -4285,,                  2501,                  2501,                 -1455,                 20539,,                              0,                 20539,                 20539,,,,,,                 -3972,                   -496,                 -4468,                 -4468,                 16071,,                 20539,,                 16071,,                              0.25,                  5331,                     27,                              0,                  8845,,,,,,,,,,,
1721,2015年01月01日至2015年03月31日,,                339500,,                298159,                 41341,                 41341,,,                 15809,,                 12822,,                  3521,                 32152,                  9189,,,                    647,,                  4542,                              0,                     13,,,,,,                    419,,                  1487,                  1487,                   -421,                  8768,,                              0,                  8768,                  8768,,,,,,                 -3972,                   -496,                 -4468,                 -4468,                  4300,,                  8768,,                  4300,,                              0.10,                    647,                     27,                              0,                  4137,,,,,,,,,,,
1721,2014年第3季,,                370428,,                343336,                 27092,                 27092,,,                 15674,,                 15609,,                  1939,                 33222,                 -6130,,,                  1092,,                    458,                  4037,                    113,                              0,                    726,,,,                  3750,,                  2125,                  2125,                  2717,                 -3413,,                              0,                 -3413,                 -3413,,,,,,                  1671,                   -793,                    878,                    878,                 -2535,,                 -3413,,                 -2535,,                             -0.04,                  1092,                     94,,,,,,,,,,,,,
1721,2014年第2季,,                369550,,                342241,                 27309,                 27309,,,                 14318,,                 24362,,                  6690,                 45370,                -18061,,,                 26880,,                              0,                              0,                    102,,,,,,                 -5719,,                  1940,                  1940,                 19221,                  1160,,                              0,                  1160,                  1160,,,,,,                 -1736,                  2521,                    785,                    785,                  1945,,                  1160,,                  1945,,                              0.01,                 26880,                    156,                    400,                  6173,,,,,,,,,,,
1721,2014年度,,              1578255,,              1447423,                130832,                130832,,,                 77913,,                 69673,,                 16264,                163850,                -33018,,,                 30732,,                    458,                 19643,                    509,                    442,                    692,,                              0,                              0,                 18458,,                  8541,                  8541,                 40649,                  7631,,                              0,                  7631,                  7631,,,                 -5316,                 -5316,,                  5393,                  2802,                  8195,                  2879,                 10510,,                  7631,,                 10510,,                              0.09,,,,,,,,,,,,,,,
1721,2014年01月01日至2014年09月30日,,              1185517,,              1089940,                 95577,                 95577,,,                 50849,,                 55090,,                 13043,                118982,                -23405,,,                 29712,,                    458,                  6222,                    293,                              0,                    300,,,,                  6464,,                  6495,                  6495,                 29681,                  6276,,                              0,                  6276,                  6276,,,,,,                  1758,                  1356,                  3114,                  3114,                  9390,,                  6276,,                  9390,,                              0.08,                 29712,                    377,,,,,,,,,,,,,
1721,2014年01月01日至2014年06月30日,,                815089,,                746604,                 68485,                 68485,,,                 35175,,                 39481,,                 11104,                 85760,                -17275,,,                 28620,,                              0,                  2185,                    180,,,,,,                  2714,,                  4370,                  4370,                 26964,                  9689,,                              0,                  9689,                  9689,,,,,,                     87,                  2149,                  2236,                  2236,                 11925,,                  9689,,                 11925,,                              0.12,                 28620,                    283,                    426,                              0,,,,,,,,,,,
1721,2014年01月01日至2014年03月31日,,                445539,,                404363,                 41176,                 41176,,,                 20857,,                 15119,,                  4414,                 40390,                    786,,,                  1740,,                              0,                  8358,                     78,,,,,,                  8433,,                  2430,                  2430,                  7743,                  8529,,                              0,                  8529,                  8529,,,,,,                  1823,                   -372,                  1451,                  1451,                  9980,,                  8529,,                  9980,,                              0.10,                  1740,                    127,                     26,                              0,,,,,,,,,,,
