證券代號,年季,　 收入,　　 利息收入,　　 保費收入,　　 再保佣金收入,　　 手續費收入,　　 採用權益法認列之關聯企業及合資利益之份額,　　 分離帳戶保險商品收益,　　 透過損益按公允價值衡量之金融資產及負債利益,　　 備供出售金融資產已實現利益,　　 以成本衡量之金融資產及負債利益,　　 無活絡市場之債務工具投資利益,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　 投資性不動產利益,　　 外匯價格變動準備淨變動,　　 兌換利益,　　 其他收入,　　 收入合計,　 支出,　　 利息費用,　　 承保費用,　　 佣金費用,　　 保險賠款與給付,　　 其他保險負債淨變動,　　 分離帳戶保險商品費用,　　 銷貨成本,　　 租賃成本,　　 營業費用,　　　 推銷費用,　　　 管理及總務費用,　　　 研究發展費用,　　　 營業費用合計,　　 減損損失,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主[duplicate]52,　　 非控制股權[duplicate]53,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 無活絡市場之債券投資利益,　　 處分投資利益,　　 減損迴轉利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 母公司業主[duplicate]54,　　 非控制股權[duplicate]55,　　 母公司業主[duplicate]53,　　 非控制股權[duplicate]54,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額,　　 持有至到期日金融資產已實現利益,　　 保險負債淨變動,　　 母公司業主[duplicate]56,　　 非控制股權[duplicate]57,　　 母公司業主[duplicate]55,　　 非控制股權[duplicate]56
2514,2015年第3季,,              4376671,             11292838,                396249,                 27214,                -32612,               -311654,            -11287594,                576185,                 14738,                165899,,                              0,                 12067,                 49378,               -346177,             11626057,                393870,             16953129,,                 35624,                    801,                596633,              5149247,              8987709,               -311654,                    134,                 12520,,                690200,                259313,                  6657,                956170,              2726170,                466715,             18620069,             -1666940,                213531,             -1880471,             -1880471,,,                 82176,             -1665280,             -1583104,             -1583104,             -3463575,,               -725121,             -1155350,,             -1270250,             -2193325,,                             -1.40,,                             -1.40,,,,,,,,,,,,,,,,,,
2514,2015年第2季,,              3930113,             13277473,                484520,                 38213,                -25342,                476306,              1386315,                593225,                 93349,                375783,,                  1714,                 15063,                 44782,                126868,             -1799505,                668720,             19687597,,                 51036,                  1060,                752562,              5970250,             10801360,                476306,                              0,                 16198,,                715446,                200970,                  4389,                920805,                    784,                723299,             19713660,                -26063,                 47981,                -74044,                -74044,,,                -23822,             -1261633,             -1285455,             -1285455,             -1359499,,                -58930,                -15114,,               -554127,               -805372,,                             -0.11,,                             -0.11,,,,,,,,,,,,,,,,,,
2514,2015年01月01日至2015年09月30日,,             12182734,             37600834,              1354852,                 89323,                -71434,                405454,             -8416580,              1675802,                108087,              1259659,,                  1714,                 44718,                143660,               -131904,              8124714,              1693689,             56065322,,                120736,                  2440,              2029552,             16696493,             29520176,                405454,                    134,                 42186,,              2206901,                728377,                 13649,              2948927,              2728055,              1882133,             56376286,               -310964,                529175,               -840139,               -840139,,,                 38765,             -2754538,             -2715773,             -2715773,             -3555912,,               -401866,               -438273,,             -1413205,             -2142707,,                             -0.77,,                             -0.77,,,,,,,,,,,,,,,,,,
2514,2015年01月01日至2015年06月30日,,              7806063,             26307996,                958603,                 62109,                -38822,                717108,              2871014,              1099617,                 93349,              1093760,,                  1714,                 32651,                 94282,                214273,             -3501343,              1299819,             39112193,,                 85112,                  1639,              1432919,             11547246,             20532467,                717108,                              0,                 29666,,              1516701,                469064,                  6992,              1992757,                  1885,              1415418,             37756217,              1355976,                315644,              1040332,              1040332,,,                -43411,             -1089258,             -1132669,             -1132669,                -92337,,                323255,                717077,,               -142955,                 50618,,                              0.62,,                              0.62,,,,,,,,,,,,,,,,,,
2514,2015年01月01日至2015年03月31日,,              3875950,             13030523,                474083,                 23896,                -13480,                240802,              1484699,                506392,                              0,                717977,,                              0,                 17588,                 49500,                 87405,             -1701838,                631099,             19424596,,                 34076,                    579,                680357,              5576996,              9731107,                240802,                              0,                 13468,,                801255,                268094,                  2603,              1071952,                  1101,                692119,             18042557,              1382039,                267663,              1114376,              1114376,,,                -19589,                172375,                152786,                152786,              1267162,,                382185,                732191,,                411172,                855990,,                              0.74,,                              0.74,,,,,,,,,,,,,,,,,,
2514,2014年第3季,,              3586152,             15540130,                533804,                 34634,                -39359,                 88543,             -2094001,              1569218,                  3681,                436706,,                              0,                 14398,                 48485,               -207580,              2466122,                468932,             22449865,,                 34930,                    754,                725003,              5067238,             13125603,                 88543,                              0,                 13729,,                775493,                325706,                  6604,              1107803,                              0,                544942,             20708545,              1741320,                264089,              1477231,              1477231,,,                 39181,             -2535458,             -2496277,             -2496277,             -1019046,,                517279,                959952,,               -383206,               -635840,,                              1.00,,                              1.00,,,,,,,,,,,,,,,,,,
2514,2014年第2季,,              3273916,             17949262,                497253,                 33932,                -15861,                762103,              1812847,              1106207,                 34497,                117465,,                     38,                 15402,                 27997,                151813,             -2347149,                528109,             23947831,,                 32879,                  1050,                750518,              5973409,             14920587,                762103,                  2299,                 16976,,                755592,                221602,                  6403,                983597,                  2314,                597807,             24043539,                -95708,                -78515,                -17193,                -17193,,,                -19550,                791022,                771472,                771472,                754279,,                 -6275,                -10918,,                240447,                513832,,                             -0.01,,                             -0.01,,,,,,,,,,,,,,,,,,
2514,2014年度,,             14000767,             63725631,              2037856,                145630,                -98057,              2896448,             -8856621,              3868967,                 37892,,,                    642,                 62661,                458769,               -352088,              8776636,              2284299,             90029526,,                144219,                  3633,              2860349,             21538993,             53139723,              2896448,                 12807,                 56843,,              2964495,              1065159,                 22561,              4052215,                785573,              2536768,             88027571,              2001955,                359795,              1642160,              1642160,,,,,,              1075558,              2717718,,                501915,              1140245,,,,,                              0.97,,                              0.97,              1037881,                              0,                  2213,                 76671,                980569,                 18318,                              0,                929536,              1788182,,,,,,,,,
2514,2014年01月01日至2014年09月30日,,             10085763,             50083757,              1488937,                 97089,                -59438,              2365044,             -2495909,              3364670,                 37892,                693118,,                    642,                 45194,                166891,               -139473,              2205677,              1496556,             69436410,,                100382,                  2451,              2207919,             15792197,             41918574,              2365044,                  3994,                 43903,,              2247842,                769504,                 15061,              3032407,                 56693,              1701003,             67224567,              2211843,                266627,              1945216,              1945216,,,                 14331,               -963808,               -949477,               -949477,                995739,,                696230,              1248986,,                363829,                631910,,                              1.34,,                              1.34,,,,,,,,,,,,,,,,,,
2514,2014年01月01日至2014年06月30日,,              6499611,             34543627,                955133,                 62455,                -20079,              2276501,               -401908,              1795452,                 34211,                256412,,                    642,                 30796,                118406,                 68107,               -260445,              1027624,             46986545,,                 65452,                  1697,              1482916,             10724959,             28792971,              2276501,                  3994,                 30174,,              1472349,                443798,                  8457,              1924604,                 56693,              1156061,             46516022,                470523,                  2538,                467985,                467985,,,                -24850,              1571650,              1546800,              1546800,              2014785,,                178951,                289034,,                747035,              1267750,,                              0.34,,                              0.34,,,,,,,,,,,,,,,,,,
