證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅
6449,2015年第3季,,,                395014,                395014,,,                276615,                276615,                118399,                118399,,,                 18482,,                 30427,,                 18875,                 67784,                 50615,,,,                    242,                  8480,                  8722,,                 38778,                              0,                 38778,,                  2783,                  2783,                 44717,                 95332,,                 27400,                 27400,                 67932,                 67932,,,                 22815,                    -83,                  3879,                 18853,                 18853,                 86785,,                 67932,,                 86785,,                              0.93,,                              0.93,,,
6449,2015年第2季,,,                313822,                313822,,,                209859,                209859,                103963,                103963,,,                 15025,,                 18799,,                 19355,                 53179,                 50784,,,,                    419,,                    419,,,,                 -5738,,                  2232,                  2232,                 -7551,                 43233,,                  4116,                  4116,                 39117,                 39117,,,                 -7986,,                 -1358,                 -6628,                 -6628,                 32489,,                 39117,,                 32489,,                              0.53,,                              0.53,,,
6449,2015年01月01日至2015年09月30日,,,              1040613,              1040613,,,                707564,                707564,                333049,                333049,,,                 46426,,                 71329,,                 53641,                171396,                161653,,,,                    984,                  8447,                  9431,,                 27700,                              0,                 27700,,                  7941,                  7941,                 29190,                190843,,                 38012,                 38012,                152831,                152831,,,                  4391,                    -83,                    747,                  3561,                  3561,                156392,,                152831,,                156392,,                              2.09,,                              2.07,,,
6449,2015年01月01日至2015年06月30日,,,                645599,                645599,,,                430949,                430949,                214650,                214650,,,                 27944,,                 40902,,                 34766,                103612,                111038,,,,                    742,,                    742,,,,                -11111,,                  5158,                  5158,                -15527,                 95511,,                 10612,                 10612,                 84899,                 84899,,,                -18424,,                 -3132,                -15292,                -15292,                 69607,,                 84899,,                 69607,,                              1.16,,                              1.15,,,
6449,2015年01月01日至2015年03月31日,,,                331777,                331777,,,                221090,                221090,                110687,                110687,,,                 12919,,                 22103,,                 15411,                 50433,                 60254,,,,                    323,,                    323,,,,                 -5373,,                  2926,                  2926,                 -7976,                 52278,,                  6496,                  6496,                 45782,                 45782,,,                -10438,,                 -1774,                 -8664,                 -8664,                 37118,,                 45782,,                 37118,,                              0.63,,                              0.62,,,
6449,2014年第3季,,,                391321,                391321,,,                270569,                270569,                120752,                120752,,,                 13371,,                 20861,,                 18718,                 52950,                 67802,,,,                    204,                              0,                    204,,                 11789,                    944,                 10845,,                  4146,                  4146,                  6903,                 74705,,                 25286,                 25286,                 49419,                 49419,,,                 12979,                              0,                  2207,                 10772,                 10772,                 60191,,                 49419,,                 60191,,                              0.74,,                              0.74,,,
6449,2014年第2季,,,                368100,                368100,,,                245445,                245445,                122655,                122655,,,                 10959,,                 17776,,                 19782,                 48517,                 74138,,,,                    397,,                    397,,,,                -12376,,                  4382,                  4382,                -16361,                 57777,,                 14491,                 14491,                 43286,                 43286,,,                -11018,,                 -1874,                 -9144,                 -9144,                 34142,,                 43286,,                 34142,,                              0.65,,                              0.65,,,
6449,2014年度,,,              1497480,              1497480,,,              1035983,              1035983,                461497,                461497,,,                 50449,,                 79350,,                 76722,                206521,                254976,,,,                  1126,,                  1126,,,,                 47130,,                 15507,                 15507,                 32749,                287725,,,                 84691,                203034,                203034,,,,,,,                 32544,                235578,,                203034,,                235578,,                              3.05,,                              3.02,                 84691,                 39209,                  6665
6449,2014年上半年度,,,                720317,                720317,,,                503140,                503140,                217177,                217177,,,                 21564,,                 34254,,                 37526,                 93344,                123833,,,,                    607,,                    607,,,,                  6625,,                  7827,                  7827,                   -595,                123238,,,                 27692,                 95546,                 95546,,,,,,,                 -3519,                 92027,,                 95546,,                 92027,,                              1.45,,                              1.43,                 27692,                 -4241,                   -722
6449,2014年01月01日至2014年09月30日,,,              1111638,              1111638,,,                773709,                773709,                337929,                337929,,,                 34935,,                 55115,,                 56244,                146294,                191635,,,,                    811,                  6770,                  7581,,                 10700,                              0,                 10700,,                 11973,                 11973,                  6308,                197943,,                 52978,                 52978,                144965,                144965,,,                  8738,                              0,                  1485,                  7253,                  7253,                152218,,                144965,,                152218,,                              2.19,,                              2.17,,,
6449,2014年01月01日至2014年06月30日,,,                720317,                720317,,,                503140,                503140,                217177,                217177,,,                 21564,,                 34254,,                 37526,                 93344,                123833,,,,                    607,,                    607,,,,                  6625,,                  7827,                  7827,                   -595,                123238,,                 27692,                 27692,                 95546,                 95546,,,                 -4241,,                   -722,                 -3519,                 -3519,                 92027,,                 95546,,                 92027,,                              1.45,,                              1.43,,,
6449,2014年01月01日至2014年03月31日,,,                352217,                352217,,,                257695,                257695,                 94522,                 94522,,,                 10605,,                 16478,,                 17744,                 44827,                 49695,,,,                    210,,                    210,,,,                 19001,,                  3445,                  3445,                 15766,                 65461,,                 13201,                 13201,                 52260,                 52260,,,                  6777,,                  1152,                  5625,                  5625,                 57885,,                 52260,,                 57885,,                              0.79,,                              0.78,,,
6449,2013年第3季,,,                355226,                355226,,,                246579,                246579,                108647,                108647,,,                 10189,,                 12580,,                 28317,                 51086,                 57561,,,,                    197,,                    197,,,,                 -2520,,                  2399,                  2399,                 -4722,                 52839,,,                 12949,                 39890,                 39890,,,,,,,                 -3794,                 36096,,                 39890,,                 36096,,                              0.63,,                              0.63,                 12949,                 -4571,                   -777
6449,2013年度,,,              1323939,              1323939,,,                980983,                980983,                342956,                342956,,,                 40757,,                 51872,,                100935,                193564,                149392,,,,                  1004,,                  1004,,,,                 15662,,                  9664,                  9664,                  7002,                156394,,,                 39295,                117099,                117099,,,,,,,                 22592,                139691,,                117099,,                139691,,                              1.85,,                              1.83,                 39295,                 27219,                  4627
6449,2013年上半年度,,,                570649,                570649,,,                445018,                445018,                125631,                125631,,,                 18783,,                 22322,,                 52397,                 93502,                 32129,,,,                    456,,                    456,,,,                 16879,,                  4785,                  4785,                 12550,                 44679,,,                  8002,                 36677,                 36677,,,,,,,                 19468,                 56145,,                 36677,,                 56145,,                              0.58,,                              0.57,                  8002,                 23455,                  3987
6449,2013年01月01日至2013年09月30日,,,                925875,                925875,,,                691597,                691597,                234278,                234278,,,                 28972,,                 34902,,                 80714,                144588,                 89690,,,,                    653,,                    653,,,,                 14359,,                  7184,                  7184,                  7828,                 97518,,,                 20951,                 76567,                 76567,,,,,,,                 15674,                 92241,,                 76567,,                 92241,,                              1.21,,                              1.19,                 20951,                 18884,                  3210
