證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 管理費用,　　　 管理費用合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 遞延所得稅費用（利益）,　　　　 銷貨收入,　　　 銷貨成本,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額
2367,2015年第3季,,,,              3597799,                  9411,                 12732,              3575656,              3575656,,,              2990344,              2990344,                585312,                585312,,,                389268,,                  8797,                398065,                187247,,,                 57136,,                 99814,,                 22098,,                 26512,                161364,                348611,,                 54060,                294551,                294551,,,                 51868,                -25776,                              0,                 26092,                 26092,                320643,,                297910,                 -3359,,                321394,                   -751,,                              0.53,,                              0.53,,,,,,,,,,,,,,,,,,,,,,,,
2367,2015年第2季,,,,              3064296,                  4307,                 18935,              3041054,              3041054,,,              2654766,              2654766,                386288,                386288,,,                346919,,                 10430,                357349,                 28939,,,                 52987,,               -124574,,                 21130,,                 11184,                -81533,                -52594,,                 -4982,                -47612,                -47612,,,                -23907,                -13096,                              0,                -37003,                -37003,                -84615,,                -44711,                 -2901,,                -80746,                 -3869,,                             -0.08,,                             -0.08,,,,,,,,,,,,,,,,,,,,,,,,
2367,2015年01月01日至2015年09月30日,,,,             10098183,                 15036,                 37122,             10046025,             10046025,,,              8517398,              8517398,              1528627,              1528627,,,              1115999,,                 29147,              1145146,                383481,,,                190961,,                -92229,,                 65742,,                 46718,                 79708,                463189,,                 73435,                389754,                389754,,,                -12797,                -37432,                              0,                -50229,                -50229,                339525,,                402239,                -12485,,                350592,                -11067,,                              0.71,,                              0.71,,,,,,,,,,,,,,,,,,,,,,,,
2367,2015年01月01日至2015年06月30日,,,,              6500384,                  5625,                 24390,              6470369,              6470369,,,              5527054,              5527054,                943315,                943315,,,                726731,,                 20350,                747081,                196234,,,                133825,,               -192043,,                 43644,,                 20206,                -81656,                114578,,                 19375,                 95203,                 95203,,,                -64665,                -11656,                              0,                -76321,                -76321,                 18882,,                104329,                 -9126,,                 29198,                -10316,,                              0.18,,                              0.18,,,,,,,,,,,,,,,,,,,,,,,,
2367,2015年01月01日至2015年03月31日,,,,              3436088,                  1318,                  5455,              3429315,              3429315,,,              2872288,              2872288,                557027,                557027,,,                379812,,                  9920,                389732,                167295,,,                 80838,,                -67469,,                 22514,,                  9022,                   -123,                167172,,                 24357,                142815,                142815,,,                -40758,                  1440,,                -39318,                -39318,                103497,,                149040,                 -6225,,                109944,                 -6447,,                              0.26,,                              0.26,,,,,,,,,,,,,,,,,,,,,,,,
2367,2014年第3季,,,,              3864504,                 12080,                 21239,              3831185,              3831185,,,              3295110,              3295110,                536075,                536075,,,                393874,,                  9949,                403823,                132252,,,                 80309,,                 36877,,                 25746,,                  3553,                 94993,                227245,,                  4938,                222307,                222307,,,                 46265,                -19603,                 -3703,                 30365,                 30365,                252672,,                220737,                  1570,,                250389,                  2283,,                              0.39,,                              0.39,,,,,,,,,,,,,,,,,,,,,,,,
2367,2014年第2季,,,,              3492688,                  7681,                 28340,              3456667,              3456667,,,              3004145,              3004145,                452522,                452522,,,                354454,,                 10620,                365074,                 87448,,,                102110,,                -88446,,                 26889,,                     25,                -13200,                 74248,,                 -4458,                 78706,                 78706,,,                -48555,                  5729,                  3703,                -46529,                -46529,                 32177,,                 77456,                  1250,,                 32230,                    -53,,                              0.14,,                              0.14,,,,,,,,,,,,,,,,,,,,,,,,
2367,2014年度,,,,             13977124,                 24867,                 76264,             13875993,             13875993,,,             12022167,             12022167,              1853826,              1853826,,,              1541515,,                 49520,              1591035,                262791,,,                317582,,                 44525,,                108864,,                  9279,                262522,                525313,,                 12105,                513208,                513208,,,,,,,                122213,                635421,,                512356,                    852,,                628110,                  7311,,                              0.90,,                              0.90,                146414,                 -3208,                -20993,,,,,,,,,,,,,,,,,,,,,
2367,2014年01月01日至2014年09月30日,,,,             10073405,                 20195,                 68824,              9984386,              9984386,,,              8766949,              8766949,              1217437,              1217437,,,              1083029,,                 31197,              1114226,                103211,,,                237491,,                -12791,,                 83501,,                 -2575,                138624,                241835,,                    146,                241689,                241689,,,                 24486,                 -8515,                              0,                 15971,                 15971,                257660,,                240793,                    896,,                256048,                  1612,,                              0.42,,                              0.42,,,,,,,,,,,,,,,,,,,,,,,,
2367,2014年01月01日至2014年06月30日,,,,              6208901,                  8115,                 47585,              6153201,              6153201,,,              5471839,              5471839,                681362,                681362,,,                689155,,                 21248,                710403,                -29041,,,                157182,,                -49668,,                 57755,,                 -6128,                 43631,                 14590,,                 -4792,                 19382,                 19382,,,                -21779,                 11088,                  3703,                -14394,                -14394,                  4988,,                 20056,                   -674,,                  5659,                   -671,,                              0.04,,                              0.04,,,,,,,,,,,,,,,,,,,,,,,,
