證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計
2414,2015年第3季,,              4137966,,              3775020,                362946,                362946,,,                188559,,                 69923,,                 31484,                289966,                 72980,,,                  1626,,                 -3452,,                  2562,                 -4388,                 68592,,                 11381,                 57211,                 57211,,,                 21297,                  3580,                 17717,                 17717,                 74928,,                 56415,                    796,,                 66642,                  8286,,                              0.35,,                              0.35,,,,,,,,,,,,,
2414,2015年第2季,,              3775054,,              3431253,                343801,                343801,,,                189594,,                 64643,,                 31164,                285401,                 58400,,,                  2601,,                 -3635,,                  1394,                 -2428,                 55972,,                 14933,                 41039,                 41039,,,                 -5111,                   -855,                 -4256,                 -4256,                 36783,,                 40550,                    489,,                 38112,                 -1329,,                              0.25,,                              0.25,,,,,,,,,,,,,
2414,2015年01月01日至2015年09月30日,,             11424815,,             10358786,              1066029,              1066029,,,                560362,,                196659,,                 87719,                844740,                221289,,,                  5972,,                 -8870,,                  6096,                 -8994,                212295,,                 39558,                172737,                172737,,,                  6559,                  1097,                  5462,                  5462,                178199,,                168639,                  4098,,                171773,                  6426,,                              1.04,,                              1.03,,,,,,,,,,,,,
2414,2015年01月01日至2015年06月30日,,              7286849,,              6583766,                703083,                703083,,,                371803,,                126736,,                 56235,                554774,                148309,,,                  4346,,                 -5418,,                  3534,                 -4606,                143703,,                 28177,                115526,                115526,,,                -14738,                 -2483,                -12255,                -12255,                103271,,                112224,                  3302,,                105131,                 -1860,,                              0.69,,                              0.69,,,,,,,,,,,,,
2414,2015年01月01日至2015年03月31日,,              3511795,,              3152513,                359282,                359282,,,                182209,,                 62093,,                 25071,                269373,                 89909,,,                  1745,,                 -1783,,                  2140,                 -2178,                 87731,,                 13244,                 74487,                 74487,,,                 -9627,                 -1628,                 -7999,                 -7999,                 66488,,                 71674,                  2813,,                 67019,                   -531,,                              0.44,,                              0.44,,,,,,,,,,,,,
2414,2014年第3季,,              4210358,,              3848097,                362261,                362261,,,                185628,,                 68123,,                 23414,                277165,                 85096,,,                  9050,,                    771,,                  2927,                  6894,                 91990,,                 12096,                 79894,                 79894,,,                  1045,                    208,                    837,                    837,                 80731,,                 76590,                  3304,,                 77184,                  3547,,                              0.47,,                              0.47,,,,,,,,,,,,,
2414,2014年第2季,,              3826731,,              3468983,                357748,                357748,,,                188102,,                 66553,,                 23024,                277679,                 80069,,,                  6058,,                 -2672,,                  2178,                  1208,                 81277,,                 16127,                 65150,                 65150,,,                 -7136,                 -1210,                 -5926,                 -5926,                 59224,,                 59598,                  5552,,                 56137,                  3087,,                              0.37,,                              0.37,,,,,,,,,,,,,
2414,2014年度,,             15431111,,             14021693,              1409418,              1409418,,,                741603,,                264136,,                 94266,              1100005,                309413,,,                 22945,,                 -1179,,                 11249,                 10517,                319930,,                 54022,                265908,                265908,,,,,,                  4816,                270724,,                251831,                 14077,,                253421,                 17303,,                              1.56,,                              1.54,                  9388,                 -3541,                  1031,,,,,,,,,,
2414,2014年01月01日至2014年09月30日,,             11429072,,             10371896,              1057176,              1057176,,,                556460,,                195650,,                 66828,                818938,                238238,,,                 18485,,                 -1124,,                  8450,                  8911,                247149,,                 35726,                211423,                211423,,,                    -17,                     10,                    -27,                    -27,                211396,,                200934,                 10489,,                200973,                 10423,,                              1.24,,                              1.23,,,,,,,,,,,,,
2414,2014年01月01日至2014年06月30日,,              7218714,,              6523799,                694915,                694915,,,                370832,,                127527,,                 43414,                541773,                153142,,,                  9435,,                 -1895,,                  5523,                  2017,                155159,,                 23630,                131529,                131529,,,                 -1062,                   -198,                   -864,                   -864,                130665,,                124344,                  7185,,                123789,                  6876,,                              0.77,,                              0.76,,,,,,,,,,,,,
