證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1732,2013年第2季,,                146012,,                 90035,                 55977,                 55977,,,                 49995,,                  7733,,                    984,                 58712,                 -2735,,,                    146,,                    446,,                      1,                    591,                 -2144,,                    -17,                 -2127,                 -2127,,,,,,                    -61,                 -2188,,                 -2127,,                 -2188,,                             -0.05,                             -0.05,                    -74,,                    -13
1732,2013年度,,                576695,,                347199,                229496,                229496,,,                204759,,                 33249,,                  3351,                241359,                -11863,,,                    542,,                  2100,,                      5,                  2637,                 -9226,,                   -229,                 -8997,                 -8997,,,,,,                  2318,                 -6679,,                 -8997,,                 -6679,,                             -0.21,                             -0.21,                  1794,                    999,                    475
1732,2013年07月01日至2013年09月30日,,                130141,,                 74283,                 55858,                 55858,,,                 52747,,                  7141,,                    759,                 60647,                 -4789,,,                    163,,                    296,,                      1,                    458,                 -4331,,                   -391,                 -3940,                 -3940,,,,,,                   -891,                 -4831,,                 -3940,,                 -4831,,                             -0.09,                             -0.09,                 -1073,,                   -182
1732,2013年04月01日至2013年06月30日,,                146012,,                 90035,                 55977,                 55977,,,                 49995,,                  7733,,                    984,                 58712,                 -2735,,,                    146,,                    446,,                      1,                    591,                 -2144,,                    -17,                 -2127,                 -2127,,,,,,                    -61,                 -2188,,                 -2127,,                 -2188,,                             -0.05,                             -0.05,                    -74,,                    -13
1732,2013年01月01日至2013年12月31日,,                576695,,                347199,                229496,                229496,,,                204759,,                 33249,,                  3351,                241359,                -11863,,,                    542,,                  2100,,                      5,                  2637,                 -9226,,                   -229,                 -8997,                 -8997,,,,,,                  2318,                 -6679,,                 -8997,,                 -6679,,                             -0.21,                             -0.21,                  1794,                    999,                    475
1732,2013年01月01日至2013年09月30日,,                434575,,                259871,                174704,                174704,,,                154160,,                 23350,,                  2521,                180031,                 -5327,,,                    410,,                    972,,                      3,                  1379,                 -3948,,                    562,                 -4510,                 -4510,,,,,,                    589,                 -3921,,                 -4510,,                 -3921,,                             -0.11,                             -0.11,                    710,,                    121
1732,2013年01月01日至2013年06月30日,,                304434,,                185588,                118846,                118846,,,                101413,,                 16209,,                  1762,                119384,                   -538,,,                    247,,                    676,,                      2,                    921,                    383,,                    953,                   -570,                   -570,,,,,,                  1480,                    910,,                   -570,,                    910,,                             -0.01,                             -0.01,                  1783,,                    303
1732,2013年01月01日至2013年03月31日,,                158422,,                 95553,                 62869,                 62869,,,                 51418,,                  8476,,                    778,                 60672,                  2197,,,                    101,,                    230,,                      1,                    330,                  2527,,                    970,                  1557,                  1557,,,,,,                  1541,                  3098,,                  1557,,                  3098,,                              0.04,                              0.04,                  1857,,                    316
1732,2012年07月01日至2012年09月30日,,                156049,,                 94615,                 61434,                 61434,,,                 48555,,                  9967,,                  1015,                 59537,                  1897,,,                    122,,                    425,,                      1,                    546,                  2443,,                    653,                  1790,                  1790,,,,,,                 -1035,                    755,,                  1790,,                    755,,                              0.04,                              0.04,                 -1247,,                   -212
1732,2012年04月01日至2012年06月30日,,                164760,,                103300,                 61460,                 61460,,,                 54622,,                  8762,,                    832,                 64216,                 -2756,,,                    119,,                    618,,                      2,                    735,                 -2021,,                    229,                 -2250,                 -2250,,,,,,                    525,                 -1725,,                 -2250,,                 -1725,,                             -0.05,                             -0.05,                    632,,                    107
1732,2012年01月01日至2012年12月31日,,                620921,,                380136,                240785,                240785,,,                201691,,                 38844,,                  3253,                243788,                 -3003,,,                    565,,                  3834,,                    100,                  4299,                  1296,,                  1486,                   -190,                   -190,,,,,,                 -4188,                 -4378,,                   -190,,                 -4378,,                              0.00,                              0.00,                 -4850,                   -162,                   -824
1732,2012年01月01日至2012年09月30日,,                478121,,                294098,                184023,                184023,,,                156988,,                 28957,,                  2612,                188557,                 -4534,,,                    352,,                  1316,,                      6,                  1662,                 -2872,,                    623,                 -3495,                 -3495,,,,,,                 -1456,                 -4951,,                 -3495,,                 -4951,,                             -0.08,                             -0.08,                 -1754,,                   -298
1732,2012年01月01日至2012年06月30日,,                322072,,                199483,                122589,                122589,,,                108433,,                 18990,,                  1597,                129020,                 -6431,,,                    230,,                    891,,                      5,                  1116,                 -5315,,                    -30,                 -5285,                 -5285,,,,,,                   -421,                 -5706,,                 -5285,,                 -5706,,                             -0.12,                             -0.12,                   -507,,                    -86
1732,2012年01月01日至2012年03月31日,,                157312,,                 96183,                 61129,                 61129,,,                 53811,,                 10228,,                    765,                 64804,                 -3675,,,                    111,,                    273,,                      3,                    381,                 -3294,,                   -259,                 -3035,                 -3035,,,,,,                   -946,                 -3981,,                 -3035,,                 -3981,,                             -0.07,                             -0.07,                 -1139,,                   -193
