證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 重估增值,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銷貨收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 採用權益法認列之關聯企業及合資利益之份額
6131,2015年第3季,,,,                 59197,                  2820,                     70,                 56307,                 56307,,                 48620,                  7687,                  7687,,,                 10956,,                 19811,,                  7687,                 38454,                -30767,,,                  2521,,                  3582,,                  1203,,                 -1764,                  3136,                -27631,,                              0,                -27631,                -27631,,,                              0,                              0,                              0,,                   -215,                              0,                   -215,                   -215,                -27846,,                -27631,,                -27846,,                             -0.27,,,,,,,,,,,,,
6131,2015年第2季,,,,                 63602,                 16329,                  1046,                 46227,                 46227,,                 52246,                 -6019,                 -6019,,,                  3354,,                 14026,,                 11717,                 29097,                -35116,,,                  3928,,                 -3716,,                  1292,,                 -3279,                 -4359,                -39475,,                     25,                -39500,                -39500,,,                103925,                  6316,                 97609,,                   -315,                              0,                   -315,                 97294,                 57794,,                -39500,,                 57794,,                             -0.40,,,,,,,,,,,,,
6131,2015年01月01日至2015年09月30日,,,,                209332,                 23769,                  3863,                181700,                181700,,                177082,                  4618,                  4618,,,                 30721,,                 50876,,                 34517,                116114,               -111496,,,                 32676,,                    145,,                  4030,,                 -8917,                 19874,                -91622,,                     25,                -91647,                -91647,,,                103925,                  6316,                 97609,,                   -343,                              0,                   -343,                 97266,                  5619,,                -91647,,                  5619,,                             -0.93,,,,,,,,,,,,,
6131,2015年01月01日至2015年06月30日,,,,                150135,                 20949,                  3793,                125393,                125393,,                128462,                 -3069,                 -3069,,,                 19765,,                 31065,,                 26830,                 77660,                -80729,,,                 30155,,                 -3437,,                  2827,,                 -7153,                 16738,                -63991,,                     25,                -64016,                -64016,,,                103925,                  6316,                 97609,,                   -128,                              0,                   -128,                 97481,                 33465,,                -64016,,                 33465,,                             -0.66,,,,,,,,,,,,,
6131,2015年01月01日至2015年03月31日,,,,                 86533,                  4620,                  2747,                 79166,                 79166,,                 76216,                  2950,                  2950,,,                 16411,,                 17039,,                 15113,                 48563,                -45613,,,                 26227,,                    279,,                  1535,,                 -3874,                 21097,                -24516,,                              0,                -24516,                -24516,,,,,,,                    187,                              0,                    187,                    187,                -24329,,                -24516,,                -24329,,                             -0.25,,,,,,,,,,,,,
6131,2014年第3季,,,,                131057,                  3726,                    536,                126795,                126795,,                128165,                 -1370,                 -1370,,,                 15214,,                 18187,,                 19875,                 53276,                -54646,,,                  7867,,                    -78,,                  1530,,                   -570,                  5689,                -48957,,                              0,                -48957,                -48957,,,                              0,                              0,                              0,,                   -690,                              0,                   -690,                   -690,                -49647,,                -48957,,                -49647,,                             -0.51,,,,,,,,,,,,,
6131,2014年第2季,,,,                138911,                  2958,                    407,                135546,                135546,,                114881,                 20665,                 20665,,,                  8828,,                 23122,,                 15475,                 47425,                -26760,,,                  4972,,                -11267,,                      6,,                   -704,                 -7005,                -33765,,                 -4364,                -29401,                -29401,,,                              0,                              0,                              0,,                    604,                              0,                    604,                    604,                -28797,,                -29401,,                -28797,,                             -0.30,,,,,,,,,,,,,
6131,2014年度,,,,                497275,                 14285,                  2142,                480848,                480848,,                427392,                 53456,                 53456,,,                 57152,,                 77360,,                 68659,                203171,               -149715,,,                 11870,,                   -105,,                  3067,,                 -9005,                   -307,               -150022,,                   -713,               -149309,               -149309,,,,,,,,,,                103538,                -45771,,               -149309,,                -45771,,                             -1.55,                     72,                106030,                 -3137,                   -573,,,,,,,,,
6131,2014年01月01日至2014年09月30日,,,,                412483,                  9657,                  1615,                401211,                401211,,                355398,                 45813,                 45813,,,                 42875,,                 63791,,                 55173,                161839,               -116026,,,                 14292,,                 -8009,,                  1537,,                 -6562,                 -1816,               -117842,,                 -4364,               -113478,               -113478,,,                              0,                              0,                              0,,                   -701,                              0,                   -701,                   -701,               -114179,,               -113478,,               -114179,,                             -1.18,,,,,,,,,,,,,
6131,2014年01月01日至2014年06月30日,,,,                281426,                  5931,                  1079,                274416,                274416,,                227233,                 47183,                 47183,,,                 27661,,                 45604,,                 35298,                108563,                -61380,,,                  6425,,                 -7931,,                      7,,                 -5992,                 -7505,                -68885,,                 -4364,                -64521,                -64521,,,                              0,                              0,                              0,,                    -11,                              0,                    -11,                    -11,                -64532,,                -64521,,                -64532,,                             -0.67,,,,,,,,,,,,,
