證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3573,2015年第3季,,                970217,,                870063,                100154,                100154,,,                 28828,,                 32491,,                128144,                189463,                -89309,,,                 11725,,                136993,,                  4500,,                 -5612,                138606,                 49297,,                      7,                 49290,                 49290,,,                  2762,,                  1387,                    706,                  3443,                  3443,                 52733,,                 49290,,                 52733,,                              0.39,,                              0.39,,,,,
3573,2015年第2季,,                781024,,                723218,                 57806,                 57806,,,                 55255,,                 35241,,                139480,                229976,               -172170,,,                  6450,,                -12312,,                  3916,,                 -8969,                -18747,               -190917,,                     12,               -190929,               -190929,,,                   -751,,                   -345,                   -187,                   -909,                   -909,               -191838,,               -190929,,               -191838,,                             -1.40,,                             -1.40,,,,,
3573,2015年01月01日至2015年09月30日,,              2526021,,              2287312,                238709,                238709,,,                122979,,                100514,,                383080,                606573,               -367864,,,                 26477,,                117139,,                 12689,,                -22698,                108229,               -259635,,                     31,               -259666,               -259666,,,                  1325,,                    685,                    342,                  1668,                  1668,               -257998,,               -259666,,               -257998,,                             -1.91,,                             -1.91,,,,,
3573,2015年01月01日至2015年06月30日,,              1555804,,              1417249,                138555,                138555,,,                 94151,,                 68023,,                254936,                417110,               -278555,,,                 14752,,                -19854,,                  8189,,                -17086,                -30377,               -308932,,                     24,               -308956,               -308956,,,                 -1437,,                   -702,                   -364,                 -1775,                 -1775,               -310731,,               -308956,,               -310731,,                             -2.24,,                             -2.24,,,,,
3573,2015年01月01日至2015年03月31日,,                774780,,                694031,                 80749,                 80749,,,                 38896,,                 32782,,                115456,                187134,               -106385,,,                  8302,,                 -7542,,                  4273,,                 -8117,                -11630,               -118015,,                     12,               -118027,               -118027,,,                   -686,,                   -357,                   -177,                   -866,                   -866,               -118893,,               -118027,,               -118893,,                             -0.85,,                             -0.85,,,,,
3573,2014年第3季,,              1105923,,              1012799,                 93124,                 93124,,,                 32822,,                 39439,,                 75778,                148039,                -54915,,,                  1775,,                -42109,,                  3606,,                    154,                -43786,                -98701,,                     12,                -98713,                -98713,,,                  2195,,                    144,                    398,                  1941,                  1941,                -96772,,                -98713,,                -96772,,                             -0.69,,                             -0.69,,,,,
3573,2014年第2季,,              1199202,,              1021218,                177984,                177984,,,                 38100,,                 34549,,                 83568,                156217,                 21767,,,                  5893,,                -21836,,                  3846,,                   -776,                -20565,                  1202,,                     13,                  1189,                  1189,,,                 -1377,,                              0,                   -235,                 -1142,                 -1142,                     47,,                  1189,,                     47,,                              0.01,,                              0.01,,,,,
3573,2014年度,,              4143742,,              3734433,                409309,                409309,,,                149275,,                148636,,                373840,                671751,               -262442,,,                 21929,,                -19437,,                 14722,,                 -5309,                -17539,               -279981,,                    910,               -280891,               -280891,,,,,,,,                  4640,               -276251,,               -280891,,               -276251,,                             -1.96,,                             -1.96,                  2675,                    323,,                  2526,                    884
3573,2014年01月01日至2014年09月30日,,              3411399,,              2993209,                418190,                418190,,,                108882,,                109719,,                241631,                460232,                -42042,,,                 11345,,                -50853,,                 10387,,                 -1445,                -51340,                -93382,,                    530,                -93912,                -93912,,,                    174,,                    144,                     54,                    264,                    264,                -93648,,                -93912,,                -93648,,                             -0.65,,                             -0.65,,,,,
3573,2014年01月01日至2014年06月30日,,              2305476,,              1980410,                325066,                325066,,,                 76060,,                 70280,,                165853,                312193,                 12873,,,                  9570,,                 -8744,,                  6781,,                 -1599,                 -7554,                  5319,,                    518,                  4801,                  4801,,,                 -2021,,                              0,                   -344,                 -1677,                 -1677,                  3124,,                  4801,,                  3124,,                              0.03,,                              0.03,,,,,
