證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2236,2015年第3季,,                368456,,                259471,                108985,                108985,,,                 12666,,                 42944,,                 14656,                 70266,                 38719,,,                  2925,,                  8967,,                  3634,                  8258,                 46977,,                 12322,                 34655,                 34655,,,                 50418,                              0,                 50418,                 50418,                 85073,,                 30374,                  4281,,                 72717,                 12356,,                              0.90,                              0.90,,                              0.89,                              0.89,,,,,
2236,2015年第2季,,                384018,,                306768,                 77250,                 77250,,,                 13944,,                 42936,,                 11106,                 67986,                  9264,,,                  2221,,                  6039,,                  4502,                  3758,                 13022,,                 11230,                  1792,                  1792,,,                -10979,                              0,                -10979,                -10979,                 -9187,,                  1536,                    256,,                 -5745,                 -3442,,                              0.05,                              0.05,,                              0.05,                              0.05,,                              0,,,
2236,2015年01月01日至2015年09月30日,,              1116530,,                832407,                284123,                284123,,,                 38248,,                132082,,                 31710,                202040,                 82083,,,                  6279,,                  2388,,                 12746,                 -4079,                 78004,,                 30840,                 47164,                 47164,,,                 -2907,                              0,                 -2907,                 -2907,                 44257,,                 40408,                  6756,,                 35698,                  8559,,                              1.27,                              1.27,,                              1.26,                              1.26,,,,,
2236,2015年01月01日至2015年06月30日,,                748074,,                572936,                175138,                175138,,,                 25582,,                 89138,,                 17054,                131774,                 43364,,,                  3354,,                 -6579,,                  9112,                -12337,                 31027,,                 18518,                 12509,                 12509,,,                -53325,                              0,                -53325,                -53325,                -40816,,                 10034,                  2475,,                -37019,                 -3797,,                              0.33,                              0.33,,                              0.32,                              0.32,,                              0,,,
2236,2015年01月01日至2015年03月31日,,                364056,,                266168,                 97888,                 97888,,,                 11638,,                 46202,,                  5948,                 63788,                 34100,,,                  1133,,                -12618,,                  4610,                -16095,                 18005,,                  7288,                 10717,                 10717,,,                -42346,                              0,                -42346,                -42346,                -31629,,                  8498,                  2219,,                -31274,                   -355,,                              0.28,                              0.28,,                              0.28,                              0.28,,                              0,,,
2236,2014年第3季,,                504814,,                359424,                145390,                145390,,,                 11759,,                 46265,,                 19477,                 77501,                 67889,,,                  1985,,                 -7675,,                  5022,                -10712,                 57177,,                 -8269,                 65446,                 65446,,,                 18782,                    304,                 18478,                 18478,                 83924,,                 59953,                  5493,,                 74860,                  9064,,                              1.99,                              1.99,,                              1.91,                              1.91,,,,,
2236,2014年第2季,,                358623,,                256034,                102589,                102589,,,                 12692,,                 36722,,                 16871,                 66285,                 36304,,,                    151,,                 -6880,,                  4748,                -12482,                 23822,,                 14645,                  9177,                  9177,,,                -12812,                   -198,                -12614,                -12614,                 -3437,,                  3595,                  5582,,                 -7977,                  4540,,                              0.12,                              0.12,,                              0.12,                              0.12,,                 -1005,,,
2236,2014年度,,              1655756,,              1155854,                499902,                499902,,,                 61279,,                177339,,                 69803,                308421,                191481,,,                 11864,,                -23391,,                 21658,                -33185,                158296,,                 33252,                125044,                125044,,,,,,                 56665,                181709,,                102009,                 23035,,                148365,                 33344,,                              3.46,                              3.46,,                              3.44,                              3.44,,,                 57356,                   -577,                    114
2236,2014年01月01日至2014年09月30日,,              1244489,,                876359,                368130,                368130,,,                 40467,,                130130,,                 53701,                224298,                143832,,,                  3633,,                -15473,,                 13922,                -25762,                118070,,                 16586,                101484,                101484,,,                  6852,                     34,                  6818,                  6818,                108302,,                 84775,                 16709,,                 89749,                 18553,,                              2.89,                              2.89,,                              2.71,                              2.71,,,,,
2236,2014年01月01日至2014年06月30日,,                739675,,                516935,                222740,                222740,,,                 28708,,                 83865,,                 34224,                146797,                 75943,,,                  1648,,                 -7890,,                  8900,                -15050,                 60893,,                 24855,                 36038,                 36038,,,                -11930,                   -270,                -11660,                -11660,                 24378,,                 24822,                 11216,,                 14889,                  9489,,                              0.86,                              0.86,,                              0.86,                              0.86,,                     92,,,
2236,2014年01月01日至2014年03月31日,,                381052,,                260901,                120151,                120151,,,                 16016,,                 47143,,                 17353,                 80512,                 39639,,,                  1497,,                 -1010,,                  4152,                 -2568,                 37071,,                 10210,                 26861,                 26861,,,                   -517,                    -71,                   -446,                   -446,                 26415,,                 21227,                  5634,,                 21342,                  5073,,                              0.74,                              0.74,,                              0.74,                              0.74,,                  1097,,,
2236,2013年度,,              1314895,,                902377,                412518,                412518,,,                 46373,,                139912,,                 51441,                237726,                174792,,,                  6536,,                144670,,                 17463,                133743,                308535,,                 43401,                265134,                265134,,,,,,                 43336,                308470,,                240765,                 24369,,                272774,                 35696,,                              8.43,                              8.43,,                              8.43,                              8.43,,,                 43499,                    459,                    622
2236,2013年01月01日至2013年12月31日,,              1314895,,                902377,                412518,                412518,,,                 46373,,                139912,,                 51441,                237726,                174792,,,                  6536,,                144670,,                 17463,                133743,                308535,,                 43401,                265134,                265134,,,,,,                 43336,                308470,,                240765,                 24369,,                272774,                 35696,,                              8.43,                              8.43,,                              8.43,                              8.43,,,                 43499,                    459,                    622
2236,2012年01月01日至2012年12月31日,,              1072758,,                760397,                312361,                312361,,,                 47496,,                138392,,                 33752,                219640,                 92721,,,                 13004,,                  7849,,                 17567,                  3286,                 96007,,                 35763,                 60244,                 60244,,,,,,                -14941,                 45303,,                 45738,                 14506,,                 34375,                 10928,,                              1.60,                              1.60,,                              1.60,                              1.60,,,                -14142,                 -1188,                   -389
