證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
3437,2015年第3季,,              1495600,,              1233729,                261871,                261871,,,                 63758,,                 62601,,                 46105,                172464,                 89407,,,                  3337,,                  8350,,                              0,                 11687,                101094,,                 18340,                 82754,                 82754,,,                  2689,                    -59,                  2630,                  2630,                 85384,,                 82754,,                 85384,,                              0.58,                              0.58,,                              0.57,                              0.57,,,,,,
3437,2015年第2季,,              1397594,,              1210752,                186842,                186842,,,                 66514,,                 53257,,                 38698,                158469,                 28373,,,                  7699,,                   -167,,                    787,                  6745,                 35118,,                 -7713,                 42831,                 42831,,,                   -827,                   -331,                 -1158,                 -1158,                 41673,,                 42831,,                 41673,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,,
3437,2015年01月01日至2015年09月30日,,              4630329,,              3863121,                767208,                767208,,,                187211,,                180225,,                132664,                500100,                267108,,,                 16775,,                  3363,,                    879,                 19259,                286367,,                 43693,                242674,                242674,,,                  1353,                   -390,                    963,                    963,                243637,,                242674,,                243637,,                              1.68,                              1.68,,                              1.64,                              1.64,,,,,,
3437,2015年01月01日至2015年06月30日,,              3134729,,              2629392,                505337,                505337,,,                123453,,                117624,,                 86559,                327636,                177701,,,                 13438,,                 -4987,,                    879,                  7572,                185273,,                 25353,                159920,                159920,,,                 -1336,                   -331,                 -1667,                 -1667,                158253,,                159920,,                158253,,                              1.09,                              1.09,,                              1.07,                              1.07,,,,,,
3437,2015年01月01日至2015年03月31日,,              1737135,,              1418640,                318495,                318495,,,                 56939,,                 64367,,                 47861,                169167,                149328,,,                  5739,,                 -4820,,                     92,                    827,                150155,,                 33066,                117089,                117089,,,                   -509,                              0,                   -509,                   -509,                116580,,                117089,,                116580,,                              0.80,                              0.80,,                              0.78,                              0.78,,,,,,
3437,2014年第3季,,              1790042,,              1567607,                222435,                222435,,,                 59670,,                 60387,,                 40150,                160207,                 62228,,,                  5916,,                  6480,,                    154,                 12242,                 74470,,                 13114,                 61356,                 61356,,,                  1290,                              0,                  1290,                  1290,                 62646,,                 61356,,                 62646,,                              0.43,                              0.43,,                              0.41,                              0.41,,,,,,
3437,2014年第2季,,              1691353,,              1353536,                337817,                337817,,,                 54122,,                 52658,,                 37675,                144455,                193362,,,                  3952,,                 -5812,,                     70,                 -1930,                191432,,                 65095,                126337,                126337,,,                   -778,                   -256,                 -1034,                 -1034,                125303,,                126337,,                125303,,                              0.97,                              0.97,,                              0.94,                              0.94,,,,,,
3437,2014年度,,              7114256,,              5926145,              1188111,              1188111,,,                247047,,                247484,,                163757,                658288,                529823,,,                 21768,,                 14354,,                    538,                 35584,                565407,,                143394,                422013,                422013,,,,,,                  3936,                425949,,                422013,,                425949,,                              3.07,                              3.07,,                              2.99,                              2.99,                  1778,                   -272,                  2928,                    498,,
3437,2014年01月01日至2014年09月30日,,              5157867,,              4280476,                877391,                877391,,,                167562,,                175404,,                117564,                460530,                416861,,,                 14497,,                  2058,,                    264,                 16291,                433152,,                103616,                329536,                329536,,,                    273,                    338,                    611,                    611,                330147,,                329536,,                330147,,                              2.45,                              2.45,,                              2.36,                              2.36,,,,,,
3437,2014年01月01日至2014年06月30日,,              3367825,,              2712869,                654956,                654956,,,                107892,,                115017,,                 77414,                300323,                354633,,,                  8581,,                 -4422,,                    110,                  4049,                358682,,                 90502,                268180,                268180,,,                 -1017,                    338,                   -679,                   -679,                267501,,                268180,,                267501,,                              2.06,                              2.06,,                              1.99,                              1.99,,,,,,
