證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 停業單位損益,　　 停業單位損益合計,　 其他收益及費損淨額,　　 其他收益及費損淨額
2426,2013年第2季,,                884188,,                993310,               -109122,               -109122,,,                 16580,,                215850,,                 20350,                252780,               -361902,,,                 14474,,                255418,,                 13430,,                 -2284,                254178,               -107724,               -104407,               -104407,,,,,,,                  3856,               -100551,,                -86657,                -17750,,                -83012,                -17539,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,,                 -3317,                 16212,                -16103,,                 -3747,,                884188,,                993310,,,,
2426,2013年度,,              4141147,,              4127509,                 13638,                 13638,,,                 90026,,                414415,,                120521,                624962,               -611324,,,                 35096,,               -386292,,                 43285,,                 -8693,               -403174,             -1014498,             -1016123,             -1016123,,,,,,,                261311,               -754812,,               -980176,                -35947,,               -719445,                -35367,,                             -4.15,                             -4.15,,                             -4.15,                             -4.15,,                  1625,                 57271,                228937,                 -4914,                 19983,,,,,,,,
2426,2013年07月01日至2013年09月30日,,                998114,,                903143,                 94971,                 94971,,,                 20103,,                 70306,,                 26241,                116650,                -21679,,,                 13257,,                 17102,,                  9729,,                 -4189,                 16441,                 -5238,                 -5238,                 -5238,,,,,,,                -27292,                -32530,,                -12156,                  6918,,                -39445,                  6915,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,                              0,                -11206,                -16950,,                   -864,,,,,,                              0,,
2426,2013年04月01日至2013年06月30日,,                884188,,                993310,               -109122,               -109122,,,                 16580,,                215850,,                 20350,                252780,               -361902,,,                 17542,,                252350,,                 13430,,                 -2284,                254178,               -107724,               -104407,               -104407,,,,,,,                  3856,               -100551,,                -86657,                -17750,,                -83012,                -17539,,,                             -0.24,,,                             -0.24,,                 -3317,                 16212,                -16103,,                 -3747,,,,,,,,
2426,2013年01月01日至2013年12月31日,,              4141147,,              4127509,                 13638,                 13638,,,                 90026,,                414415,,                120521,                624962,               -611324,,,                 35096,,               -386292,,                 43285,,                 -8693,               -403174,             -1014498,             -1016123,             -1016123,,,,,,,                261311,               -754812,,               -980176,                -35947,,               -719445,                -35367,,                             -2.75,                             -2.75,,                             -2.75,                             -2.75,,                  1625,                 57271,                228937,                 -4914,                 19983,,,,,,,,
2426,2013年01月01日至2013年09月30日,,              2652817,,              2675160,                -22343,                -22343,,,                 56294,,                332015,,                 90915,                479224,               -501567,,,                 34648,,                272854,,                 30895,,                 -9231,                267376,               -234191,               -234186,               -234186,,,,,,,                 36200,               -197986,,               -205665,                -28521,,               -169785,                -28201,,                             -0.87,                             -0.87,,                             -0.87,                             -0.87,,                     -5,                 41450,                 -3898,,                  1352,,,,,,,,
2426,2013年01月01日至2013年06月30日,,              1654703,,              1772017,               -117314,               -117314,,,                 36191,,                261709,,                 64674,                362574,               -479888,,,                 17097,,                262414,,                 23534,,                 -5042,                250935,               -228953,               -228948,               -228948,,,,,,,                 63492,               -165456,,               -193509,                -35439,,               -130340,                -35116,,                             -0.54,                             -0.54,,                             -0.54,                             -0.54,,                     -5,                 52656,                 13052,,                  2216,,              1654703,,              1772017,,,,
2426,2013年01月01日至2013年03月31日,,                770515,,                778707,                 -8192,                 -8192,,,                 19611,,                 45859,,                 44324,                109794,               -117986,,,                  2623,,                  6996,,                 10104,,                 -2758,                 -3243,               -121229,               -124541,               -124541,,,,,,,                 59636,                -64905,,               -106852,                -17689,,                -47328,                -17577,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,,                  3312,                 36444,                 29155,,                  5963,,,,,,,,
2426,2012年07月01日至2012年09月30日,,                812712,,                822786,                -10074,                -10074,,,                 40184,,                 26932,,                 38154,                105270,               -115344,,,                 24612,,                -22531,,                  8022,,                 -2172,                 -8113,               -123457,               -125955,               -125955,,,,,,,                -47875,               -173830,,               -106591,                -19364,,               -154258,                -19572,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,,                  2498,                -19042,                -32652,,                 -3819,,,,,,                              0,,
2426,2012年04月01日至2012年06月30日,,                932249,,                967567,                -35318,                -35318,,,                 23088,,                 65965,,                 37806,                126859,               -162177,,,                  9137,,               -182223,,                  6306,,                 -2399,               -181791,               -343968,               -351588,               -351588,,,,,,,                -14727,               -366315,,               -299482,                -52106,,               -314311,                -52004,,,                             -0.84,,,                             -0.84,,                  7620,                  6947,                -18910,,                  2764,,,,,,,,
2426,2012年01月01日至2012年12月31日,,              3340193,,              3572598,               -232405,               -232405,,,                101028,,                202881,,                148890,                452799,               -685204,,,                 70771,,               -128296,,                 30077,,                 -7408,                -95010,               -780214,               -824717,               -824717,,,,,,,               -103242,               -927959,,               -705771,               -118946,,               -812248,               -115711,,                             -1.98,                             -1.98,,                             -1.98,                             -1.98,,                 44503,                -25821,                -91134,                 -2949,                -16662,,,,,,,,
2426,2012年01月01日至2012年09月30日,,              2602397,,              2707440,               -105043,               -105043,,,                 84254,,                134936,,                112625,                331815,               -436858,,,                 70047,,               -172153,,                 21008,,                 -6525,               -129639,               -566497,               -576615,               -576615,,,,,,,                -59725,               -636340,,               -486878,                -89737,,               -546178,                -90162,,                             -1.37,                             -1.37,,                             -1.37,                             -1.37,,                 10118,                -28671,                -35778,,                 -4724,,,,,,                              0,,
2426,2012年01月01日至2012年06月30日,,              1789685,,              1884654,                -94969,                -94969,,,                 44070,,                108004,,                 74471,                226545,               -321514,,,                 45435,,               -149622,,                 12986,,                 -4353,               -121526,               -443040,               -450660,               -450660,,,,,,,                -11850,               -462510,,               -380287,                -70373,,               -391920,                -70590,,,                             -1.07,,,                             -1.07,,                  7620,                 -9629,                 -3126,,                   -905,,,,,,,,
2426,2012年01月01日至2012年03月31日,,                857436,,                917087,                -59651,                -59651,,,                 20982,,                 42039,,                 36665,                 99686,               -159337,,,                 36298,,                 32601,,                  6680,,                 -1954,                 60265,                -99072,                -99072,                -99072,,,,,,,                  2877,                -96195,,                -80805,                -18267,,                -77609,                -18586,,,                             -0.23,,,                             -0.23,,                              0,                -13812,                 16689,,,,,,,,,,                              0
