證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 其他利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 停工損失,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　　 其他減損損失,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3673,2015年第3季,,,             34235346,             34235346,,,             45507611,             45507611,             45507611,            -11272265,            -11272265,,,                295685,,              5558854,,                553267,              6407806,            -17680071,,,,                199336,                  8706,                208042,                 77719,                285761,,                 60451,                              0,                              0,                 36036,                152729,                 98892,,                764595,                764595,               -991801,,                312371,                312371,,                 49858,                -49858,             -1068269,            -18748340,,              1673249,               -964617,                708632,            -19456972,            -19456972,,,              2838858,              2838858,,               -364752,,                 13191,                 13191,                              0,               -351561,              2487297,            -16969675,,            -19390150,                -66822,,            -16918720,                -50955,,                            -55.15,                            -55.15,,                            -55.15,                            -55.15,,,,,,,,,,,,
3673,2015年第2季,,,             23741148,             23741148,,,             23239808,             23239808,             23239808,                501340,                501340,,,                182597,,              1185578,,                248106,              1616281,             -1114941,,,,                227041,,                227041,                375005,                602046,,,                 69085,                              0,                 10084,                              0,                 64725,,,,                 -5724,,                333022,                333022,,                 52301,                -52301,                210999,               -903942,,                131416,               -420353,               -288937,               -615005,               -615005,,,               -693783,               -693783,,                 80353,,                   -897,                 -1018,                              0,                 79335,               -614448,             -1229453,,               -618070,                  3065,,             -1221334,                 -8119,,                             -1.77,                             -1.77,,                             -1.77,                             -1.77,                   -121,,,,,,,,,,,
3673,2015年01月01日至2015年09月30日,,,             86925854,             86925854,,,             95801479,             95801479,             95801479,             -8875625,             -8875625,,,                687302,,              8034262,,              1107857,              9829421,            -18705046,,,,                708950,                 28466,                737416,                510132,              1247548,,                 60451,                              0,              1201267,                 66692,                 90048,                103576,,                764595,                764595,             -2165727,,                975921,                975921,,                155401,               -155401,             -2049501,            -20754547,,              2004922,             -1680084,                324838,            -21079385,            -21079385,,,              1631317,              1631317,,               -220235,,                 14101,                 14101,                 -1382,               -204752,              1426565,            -19652820,,            -21022340,                -57045,,            -19593680,                -59140,,                            -61.06,                            -61.06,,                            -61.06,                            -61.06,,,,,,,,,,,,
3673,2015年01月01日至2015年06月30日,,,             52690508,             52690508,,,             50293868,             50293868,             50293868,              2396640,              2396640,,,                391617,,              2475408,,                554590,              3421615,             -1024975,,,,                529374,,                529374,                432413,                961787,,,                 62681,              1201361,                 30562,                              0,                  4684,,,,             -1173926,,                663550,                663550,,                105543,               -105543,               -981232,             -2006207,,                331673,               -715467,               -383794,             -1622413,             -1622413,,,             -1207541,             -1207541,,                144517,,                    974,                    910,                 -1382,                146809,             -1060732,             -2683145,,             -1632190,                  9777,,             -2674960,                 -8185,,                             -4.79,                             -4.79,,                             -4.79,                             -4.79,                    -64,,,,,,,,,,,
3673,2015年01月01日至2015年03月31日,,,             28949360,             28949360,,,             27054060,             27054060,             27054060,              1895300,              1895300,,,                209020,,              1289830,,                306484,              1805334,                 89966,,,,                302333,,                302333,                 57414,                359747,,,,,              1221845,                  6404,,,,,             -1168208,,                330528,                330528,,                 53242,                -53242,             -1192231,             -1102265,,                200257,               -295114,                -94857,             -1007408,             -1007408,,,               -513758,               -513758,,                 64164,,                  1871,                  1928,                 -1382,                 67474,               -446284,             -1453692,,             -1014120,                  6712,,             -1453626,                    -66,,                             -3.06,                             -3.06,,                             -3.06,                             -3.06,                     57,                 60041,,,,,,,,,,
3673,2014年第3季,,,             32613450,             32613450,,,             30445495,             30445495,             30445495,              2167955,              2167955,,,                217216,,              1093041,,              1170435,              2480692,               -312737,,,,                278788,                  8495,                287283,                 93063,                380346,,                              0,                126876,                              0,                  7276,                              0,                 82324,,                              0,                              0,                 37276,,                341051,                341051,,                 46327,                -46327,                 30244,               -282493,,                132105,               -247761,               -115656,               -166837,               -166837,,,                814038,                814038,,                -95865,,                    907,                    907,                  2209,                -97167,                716871,                550034,,               -240871,                 74034,,                463782,                 86252,,                             -0.73,                             -0.73,,                             -0.73,                             -0.73,,,,,,,,,,,,
3673,2014年第2季,,,             30704099,             30704099,,,             27965955,             27965955,             27965955,              2738144,              2738144,,,                216420,,              1045691,,              1377969,              2640080,                 98064,,,,                358311,,                358311,                634217,                992528,,,                              0,                              0,                  9688,                 73548,                 39823,,,,               -123059,,                349055,                349055,,                428424,               -428424,                 91990,                190054,,                205739,               -398410,               -192671,                382725,                382725,,,               -906173,               -906173,,                133963,,                 -7549,                 -7567,                -10102,                136498,               -769675,               -386950,,                322754,                 59971,,               -439052,                 52102,,                              0.98,                              0.98,,                              0.98,                              0.98,                    -18,,,,,,,,,,,
3673,2014年度,,,            129516919,            129516919,,,            119035186,            119035186,            119035186,             10481733,             10481733,,,                902364,,              4451644,,              4982839,             10336847,                144886,,,,              1310941,,              1310941,              1171212,              2482153,,,                219361,,                 43942,,                116499,,,                290693,               -231773,,              1430786,              1430786,,                389068,               -389068,                430526,                575412,,,               -508034,                  8430,                566982,                566982,,,,,,,,,,,,              2413884,              2980866,,                277067,                289915,,              2644637,                336229,,                              0.84,                              0.84,,                              0.84,                              0.84,,,                290693,                516464,              2406376,                  3494,,                  9707,                   -261,                     53,                  9499,                  5485
3673,2014年01月01日至2014年09月30日,,,             89935995,             89935995,,,             82361127,             82361127,             82361127,              7574868,              7574868,,,                631177,,              3195314,,              3673665,              7500156,                 74712,,,,              1015494,                 11264,              1026758,                861700,              1888458,,                              0,                              0,                              0,                 24165,                 68707,                110279,,                290693,                290693,               -493844,,              1101481,              1101481,,                361885,               -361885,                -68752,                  5960,,                449550,               -828509,               -378959,                384919,                384919,,,                901849,                901849,,               -103908,,                 10683,                 10683,                 -5229,                -87996,                813853,              1198772,,                210569,                174350,,              1004633,                194139,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,,,,,,,,
3673,2014年01月01日至2014年06月30日,,,             57322545,             57322545,,,             51915632,             51915632,             51915632,              5406913,              5406913,,,                413961,,              2102273,,              2503230,              5019464,                387449,,,,                739475,,                739475,                768637,              1508112,,,                              0,                              0,                 16889,                195583,                 27955,,,,               -240427,,                760430,                760430,,                606251,               -606251,                -98996,                288453,,                317445,               -580748,               -263303,                551756,                551756,,,                 87811,                 87811,,                 -8043,,                  9809,                  9776,                 -7438,                  9171,                 96982,                648738,,                451440,                100316,,                540851,                107887,,                              1.37,                              1.37,,                              1.37,                              1.37,                    -33,,,,,,,,,,,
3673,2014年01月01日至2014年03月31日,,,             26618446,             26618446,,,             23949677,             23949677,             23949677,              2668769,              2668769,,,                197541,,              1056582,,              1125261,              2379384,                289385,,,,                381164,,                381164,                134420,                515584,,,,,                  7201,                122035,,,,,               -117368,,                411375,                411375,,                177827,               -177827,               -190986,                 98399,,                -67166,                 -3466,                -70632,                169031,                169031,,,                993984,                993984,,               -142006,,                 17358,                 17343,                  2664,               -127327,                866657,              1035688,,                128686,                 40345,,                979903,                 55785,,                              0.39,                              0.39,,                              0.39,                              0.39,                    -15,                 11868,,,,,,,,,,
3673,2013年第3季,,,             29466587,             29466587,,,             25802388,             25802388,             25802388,              3664199,              3664199,,,                193186,,                905055,,              1399604,              2497845,              1166354,,,,                205719,,                205719,                232112,                437831,,,                              0,,                  5799,                 95580,                              0,,,,               -100360,,                279720,                279720,,                232225,               -232225,               -174474,                991880,,,                108751,               -106467,              1098347,              1098347,,,,,,,,,,,,               -533252,                565095,,              1013462,                 84885,,                487254,                 77841,,                              3.08,                              3.08,,                              3.06,                              3.06,,                  1019,,               -215218,               -507706,,,                -27642,,,                -27642,                 -2096
3673,2013年第2季,,,,             38284651,,,             32821389,             32821389,             32821389,              5463262,              5463262,,,                234164,,              1191897,,              1480370,              2906431,              2556831,,,,                168938,,                168938,                624415,                793353,,,                              0,,                 73203,                 14813,                 16802,,,,               -104818,,                230495,                230495,,                130767,               -130767,                327273,              2884104,,,               -895146,               -340070,              3224174,              3224174,,,,,,,,,,,,                226558,              3450732,,              3140313,                 83861,,              3360836,                 89896,,                              9.59,                              9.59,,                              9.02,                              9.02,,,,                555076,                218529,,,                  3703,,,                  3703,                 -4326
3673,2013年度,,,            159067439,            159067439,,,            138136906,            138136906,            138136906,             20930533,             20930533,,,                984022,,              4538973,,              5416368,             10939363,              9991170,,,,                819915,,                819915,              1132566,              1952481,,,                 93638,,                101171,,                 30673,,,              1089919,             -1128125,,              1078076,              1078076,,                833267,               -833267,             -1086987,              8904183,,,                554112,              1289616,              7614567,              7614567,,,,,,,,,,,,              1084711,              8699278,,              7188503,                426064,,              8244305,                454973,,                             21.90,                             21.90,,                             21.21,                             21.21,,,              1089919,                735504,              1051780,                  1041,,                 37338,                   -306,                    425,                 37457,                  5567
3673,2013年07月01日至2013年09月30日,,,             29466587,             29466587,,,             25802388,             25802388,             25802388,              3664199,              3664199,,,                193186,,                905055,,              1399604,              2497845,              1166354,,,,                205719,,                205719,                232112,                437831,,,                              0,,                  5799,                 95580,                              0,,,,               -100360,,                279720,                279720,,                232225,               -232225,               -174474,                991880,,,                108751,               -106467,              1098347,              1098347,,,,,,,,,,,,               -533252,                565095,,              1013462,                 84885,,                487254,                 77841,,                              3.08,                              3.08,,                              3.06,                              3.06,,                  1019,,               -215218,               -507706,,,                -27642,,,                -27642,                 -2096
3673,2013年04月01日至2013年06月30日,,,             38284651,             38284651,,,             32821389,             32821389,             32821389,              5463262,              5463262,,,                234164,,              1191897,,              1480370,              2906431,              2556831,,,,                168938,,                168938,                624415,                793353,,,                              0,,                 73203,                 14813,                 16802,,,,               -104818,,                230495,                230495,,                130767,               -130767,                327273,              2884104,,,               -895146,               -340070,              3224174,              3224174,,,,,,,,,,,,                226558,              3450732,,              3140313,                 83861,,              3360836,                 89896,,                              9.59,                              9.59,,                              9.02,                              9.02,,                              0,,                555076,                218529,,,                  3703,,,                  3703,                 -4326
3673,2013年01月01日至2013年12月31日,,,            159067439,            159067439,,,            138136906,            138136906,            138136906,             20930533,             20930533,,,                984022,,              4538973,,              5416368,             10939363,              9991170,,,,                819915,,                819915,              1132566,              1952481,,,                 93638,,                101171,,                 30673,,,,                -38206,,              1078076,              1078076,,              1923186,             -1923186,             -1086987,              8904183,,,               -418973,              1289616,              7614567,              7614567,,,,,,,,,,,,              1084711,              8699278,,              7188503,                426064,,              8244305,                454973,,                             21.90,                             21.90,,                             21.21,                             21.21,,,,              1708589,              1051780,                  1041,,                 37457,,,                 37457,                  5567
3673,2013年01月01日至2013年09月30日,,,            117184251,            117184251,,,             99278911,             99278911,             99278911,             17905340,             17905340,,,                715047,,              3316425,,              4067713,              8099185,              9806155,,,,                536039,,                536039,                918256,              1454295,,,                 21734,,                 92342,                              0,                 24765,,,,                -95373,,                726249,                726249,,                500730,               -500730,                131943,              9938098,,,               -598516,                845998,              9092100,              9092100,,,,,,,,,,,,                802167,              9894267,,              8796031,                296069,,              9577605,                316662,,                             26.83,                             26.83,,                             25.28,                             25.28,,                              0,,              1444514,                759293,,,                 39535,,,                 39535,                 -3339
3673,2013年01月01日至2013年06月30日,,,,             87717664,,,             73476523,             73476523,             73476523,             14241141,             14241141,,,                521861,,              2411370,,              2668109,              5601340,              8639801,,,,                330320,,                330320,                686144,              1016464,,,                117314,,                 86543,                              0,                 25784,,,,                  4987,,                446529,                446529,,                268505,               -268505,                306417,              8946218,,,               -707267,                952465,              7993753,              7993753,,,,,,,,,,,,              1335419,              9329172,,              7782569,                211184,,              9090351,                238821,,                             23.77,                             23.77,,                             22.20,                             22.20,,,,              1659732,              1266999,,,                 67177,,,                 67177,                 -1243
3673,2013年01月01日至2013年03月31日,,,             49433013,             49433013,,,             40655134,             40655134,             40655134,              8777879,              8777879,,,                287697,,              1219473,,              1187739,              2694909,              6082970,,,,                161382,,                161382,                 61729,                223111,,,                132127,,                 13340,                              0,                  8982,,,,                109805,,                216034,                216034,,                137738,               -137738,                -20856,              6062114,,,                187879,              1292535,              4769579,              4769579,,,,,,,,,,,,              1108861,              5878440,,              4642256,                127323,,              5729515,                148925,,                             14.19,                             14.19,,                             13.18,                             13.18,,                              0,,              1104656,              1048470,,,                 63474,,,                 63474,                  3083
3673,2012年07月01日至2012年09月30日,,,             37936229,             37936229,,,             31044679,             31044679,             31044679,              6891550,              6891550,,,                255359,,              1059762,,              1324237,              2639358,              4252192,,,,                116042,,                116042,                120986,                237028,,,                 42520,,                              0,                              0,                  4548,,,,                 37972,,                195818,                195818,,                115214,               -115214,                -36032,              4216160,,,                178106,                757241,              3458919,              3458919,,,,,,,,,,,,               -566392,              2892527,,              3273644,                185275,,              2717288,                175239,,                             10.59,                             10.59,,                             10.22,                             10.22,,                              0,,                579135,               -518507,,,                -48728,,,                -48728,                   -843
