證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3705,2015年第3季,,              1464381,,                783821,                680560,                680560,,,                298061,,                103720,,                 83083,                484864,                195696,,,                  9025,,                 27430,,                  6132,,                 43040,                 73363,                269059,,                 50616,                218443,                218443,,,                 93963,                   -195,,                -71195,                  2047,                 20526,                 20526,                238969,,                220560,                 -2117,,                230361,                  8608,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,,,
3705,2015年第2季,,              1541786,,                881579,                660207,                660207,,,                288526,,                102075,,                 64823,                455424,                204783,,,                 10585,,                -10521,,                  4820,,                 17771,                 13015,                217798,,                 47822,                169976,                169976,,,                -50272,                     38,,                -30919,                -13441,                -67712,                -67712,                102264,,                168111,                  1865,,                102527,                   -263,,                              0.63,                              0.63,,                              0.63,                              0.63,,,,,,
3705,2015年01月01日至2015年09月30日,,              4449775,,              2475274,              1974501,              1974501,,,                858678,,                294914,,                243439,              1397031,                577470,,,                 59627,,                 10401,,                 16020,,                101894,                155902,                733372,,                147406,                585966,                585966,,,                 29608,                     89,,               -157025,                -22588,               -104740,               -104740,                481226,,                585579,                    387,,                475389,                  5837,,                              2.20,                              2.20,,                              2.20,                              2.20,,,,,,
3705,2015年01月01日至2015年06月30日,,              2985394,,              1691453,              1293941,              1293941,,,                560617,,                191194,,                160356,                912167,                381774,,,                 50602,,                -17029,,                  9888,,                 58854,                 82539,                464313,,                 96790,                367523,                367523,,,                -64355,                    284,,                -85830,                -24635,               -125266,               -125266,                242257,,                365019,                  2504,,                245028,                 -2771,,                              1.37,                              1.37,,                              1.37,                              1.37,,,,,,
3705,2015年01月01日至2015年03月31日,,              1443608,,                809874,                633734,                633734,,,                272091,,                 89119,,                 95533,                456743,                176991,,,                 40017,,                 -6508,,                  5068,,                 41083,                 69524,                246515,,                 48968,                197547,                197547,,,                -14083,                    246,,                -54911,                -11194,                -57554,                -57554,                139993,,                196908,                    639,,                142501,                 -2508,,                              0.78,                              0.78,,                              0.78,                              0.78,,,,,,
3705,2014年第3季,,              1451420,,                798761,                652659,                652659,,,                251375,,                129501,,                 77924,                458800,                193859,,,                 24297,,                  6940,,                  4898,,                 27040,                 53379,                247238,,                 51168,                196070,                196070,,,                 21424,                    478,,                    453,                  3080,                 19275,                 19275,                215345,,                194185,                  1885,,                209700,                  5645,,                              0.73,                              0.73,,                              0.73,                              0.73,,,,,,
3705,2014年第2季,,              1500420,,                808169,                692251,                692251,,,                242057,,                141938,,                 87756,                471751,                220500,,,                 24115,,                 -9620,,                  5080,,                  9481,                 18896,                239396,,                 53493,                185903,                185903,,,                -34362,                   -371,,                 -3822,                 -5908,                -32647,                -32647,                153256,,                185709,                    194,,                156494,                 -3238,,                              0.70,                              0.70,,                              0.70,                              0.70,,,,,,
3705,2014年度,,              5826555,,              3161056,              2665499,              2665499,,,              1028392,,                439454,,                378869,              1846715,                818784,,,                115837,,                -56742,,                 19093,,                 73515,                113517,                932301,,                204034,                728267,                728267,,,,,,,,,                 32402,                760669,,                720058,                  8209,,                743556,                 17113,,                              2.84,                              2.84,,                              2.84,                              2.84,                 33062,                    166,                  3072,,                   -227,                  3671
3705,2014年01月01日至2014年09月30日,,              4295651,,              2338276,              1957375,              1957375,,,                757763,,                358104,,                246724,              1362591,                594784,,,                 77246,,                  6316,,                 15080,,                 57891,                126373,                721157,,                157061,                564096,                564096,,,                 19839,                   -440,,                 17824,                  6025,                 31198,                 31198,                595294,,                560438,                  3658,,                589414,                  5880,,                              2.10,                              2.10,,                              2.10,                              2.10,,,,,,
3705,2014年01月01日至2014年06月30日,,              2844231,,              1539515,              1304716,              1304716,,,                506388,,                228603,,                168800,                903791,                400925,,,                 52949,,                   -624,,                 10182,,                 30851,                 72994,                473919,,                105893,                368026,                368026,,,                 -1585,                   -918,,                 17371,                  2945,                 11923,                 11923,                379949,,                366253,                  1773,,                379714,                    235,,                              1.37,                              1.37,,                              1.37,                              1.37,,,,,,
3705,2014年01月01日至2014年03月31日,,              1343811,,                731346,                612465,                612465,,,                264331,,                 86665,,                 81044,                432040,                180425,,,                 28834,,                  8996,,                  5102,,                 21370,                 54098,                234523,,                 52400,                182123,                182123,,,                 32777,                   -547,,                 21193,                  8853,                 44570,                 44570,                226693,,                180544,                  1579,,                223220,                  3473,,                              0.71,                              0.71,,                              0.71,                              0.71,,,,,,
3705,2013年第3季,,              1300137,,                752075,                548062,                548062,,,                226652,,                117334,,                 91731,                435717,                112345,,,                 14524,,                 39897,,                  5762,,                 12353,                 61012,                173357,,                 36321,                137036,                137036,,,,,,,,,                -44433,                 92603,,                138374,                 -1338,,                 95893,                 -3290,,                              0.55,                              0.55,,                              0.55,                              0.55,                -16112,                  1274,                              0,,                -38956,                 -9361
3705,2013年第2季,,              1213298,,                635799,                577499,                577499,,,                245587,,                 89398,,                110254,                445239,                132260,,,                 24313,,                  1065,,                  4598,,                 17127,                 37907,                170167,,                 34588,                135579,                135579,,,,,,,,,                    297,                135876,,                136206,                   -627,,                135054,                    822,,                              0.54,                              0.54,,                              0.54,                              0.54,                 12817,                              0,                              0,,                -12459,                     61
3705,2013年度,,              5061661,,              2759575,              2302086,              2302086,,,              1011260,,                333055,,                348414,              1692729,                609357,,,                 75716,,                 27831,,                 20279,,                 62376,                145644,                755001,,                136180,                618821,                618821,,,,,,,,,               -105020,                513801,,                618969,                   -148,,                507689,                  6112,,                              2.44,                              2.44,,                              2.44,                              2.44,                -23068,                  5837,               -107365,,                   -377,                -19953
3705,2013年07月01日至2013年09月30日,,              1300137,,                752075,                548062,                548062,,,                226652,,                117334,,                 91731,                435717,                112345,,,                 14524,,                 39897,,                  5762,,                 12353,                 61012,                173357,,                 36321,                137036,                137036,,,,,,,,,                -44433,                 92603,,                138374,                 -1338,,                 95893,                 -3290,,                              0.55,                              0.55,,                              0.55,                              0.55,                -16112,                  1274,,,                -38956,                 -9361
3705,2013年04月01日至2013年06月30日,,              1213298,,                635799,                577499,                577499,,,                245587,,                 89398,,                110254,                445239,                132260,,,                 24313,,                  1065,,                  4598,,                 17127,                 37907,                170167,,                 34588,                135579,                135579,,,,,,,,,                    297,                135876,,                136206,                   -627,,                135054,                    822,,                              0.54,                              0.54,,                              0.54,                              0.54,                 12817,,,,                -12459,                     61
3705,2013年01月01日至2013年12月31日,,              5061661,,              2759575,              2302086,              2302086,,,              1011260,,                333055,,                348414,              1692729,                609357,,,                 75716,,                 27831,,                 20279,,                 62376,                145644,                755001,,                136180,                618821,                618821,,,,,,,,,               -105020,                513801,,                618969,                   -148,,                507689,                  6112,,                              2.44,                              2.44,,                              2.44,                              2.44,                -23068,                  5837,               -107365,,                   -377,                -19953
3705,2013年01月01日至2013年09月30日,,              3651442,,              1978733,              1672709,              1672709,,,                700954,,                292154,,                290220,              1283328,                389381,,,                 44649,,                 50090,,                 14569,,                 49632,                129802,                519183,,                103741,                415442,                415442,,,,,,,,,                 -9803,                405639,,                416211,                   -769,,                402989,                  2650,,                              1.64,                              1.64,,                              1.64,                              1.64,                 23732,                  1274,                              0,,                -37078,                 -2269
