證券代號,年季,　 營業收入,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2515,2015年第3季,,,,              2635860,              2635860,,                906460,              3542320,,,              3515166,              3515166,                401495,              3916661,               -374341,               -374341,,,                 38930,,                222046,,                  9151,                270127,               -644468,,,                 68726,,                -87692,,                 12453,,                 -5216,                -36635,               -681103,,                -63524,               -617579,               -617579,,,                 12251,                -99688,,                 65737,                -21700,                -21700,               -639279,,               -621243,                  3664,,               -641342,                  2063,,                             -0.41,                             -0.41,,                             -0.41,                             -0.41,,,,,,,,
2515,2015年第2季,,,,              2289964,              2289964,,                767500,              3057464,,,              2221182,              2221182,                554471,              2775653,                281811,                281811,,,                 19317,,                184670,,                  9286,                213273,                 68538,,,                 64173,,                -16648,,                  7100,,                -26384,                 14041,                 82579,,                 58703,                 23876,                 23876,,,                   -663,                -98521,,                -20005,               -119189,               -119189,                -95313,,                 18232,                  5644,,                -99912,                  4599,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,
2515,2015年01月01日至2015年09月30日,,,,              7064798,              7064798,,              4718128,             11782926,,,              7804791,              7804791,              1752498,              9557289,              2225637,              2225637,,,                 89584,,                601581,,                 26214,                717379,              1508258,,,                192439,,                -85890,,                 27275,,                -25969,                 53305,              1561563,,                148663,              1412900,              1412900,,,                  1396,               -216441,,                 24125,               -190920,               -190920,              1221980,,              1399346,                 13554,,              1212153,                  9827,,                              0.92,                              0.92,,                              0.87,                              0.87,,,,,,,,
2515,2015年01月01日至2015年06月30日,,,,              4428938,              4428938,,              3811668,              8240606,,,              4289625,              4289625,              1351003,              5640628,              2599978,              2599978,,,                 50654,,                379535,,                 17063,                447252,              2152726,,,                123713,,                  1802,,                 14822,,                -20753,                 89940,              2242666,,                212187,              2030479,              2030479,,,                -10855,               -116753,,                -41612,               -169220,               -169220,              1861259,,              2020589,                  9890,,              1853495,                  7764,,                              1.32,                              1.32,,                              1.25,                              1.25,,,,,,,,
2515,2015年01月01日至2015年03月31日,,,,,,,,              5183142,,,,,,              2864975,              2318167,              2318167,,,                 31337,,                194865,,                  7777,                233979,              2084188,,,                 59540,,                 18450,,                  7722,,                  5631,                 75899,              2160087,,                153484,              2006603,              2006603,,,                -10192,                -18232,,                -21607,                -50031,                -50031,              1956572,,              2002357,                  4246,,              1953407,                  3165,,                              1.31,                              1.31,,                              1.24,                              1.24,,                              0,,,,,,
2515,2014年第3季,,,,              2102188,              2102188,,              2752190,              4854378,,,              3114782,              3114782,              1234781,              4349563,                504815,                504815,,,                 15393,,                172728,,                  6650,                194771,                310044,,,                 54302,,               -184764,,                 16739,,                -23464,               -170665,                139379,,               -171919,                311298,                311298,,,                 19193,               -167197,,                 29276,               -118728,               -118728,                192570,,                304881,                  6417,,                188368,                  4202,,                              0.20,                              0.20,,                              0.19,                              0.19,,,,,,,,
2515,2014年第2季,,,,              2616823,              2616823,,                583854,              3200677,,,              2527267,              2527267,                467922,              2995189,                205488,                205488,,,                 18925,,                165112,,                  7750,                191787,                 13701,,,                 44028,,                -17420,,                 19408,,                  9121,                 16321,                 30022,,                 15094,                 14928,                 14928,,,                -19118,                -19404,,                -30892,                -69414,                -69414,                -54486,,                 11179,                  3749,,                -56856,                  2370,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,
2515,2014年度,,,,              9647257,              9647257,,              4251393,             13898650,,,             10347338,             10347338,              2365553,             12712891,              1185759,              1185759,,,                 69939,,                679777,,                 29754,                779470,                406289,,,                191549,,                -89647,,                 74719,,                -77826,                -50643,                355646,,               -178510,                534156,                534156,,,,,,,,                 16751,                550907,,                516574,                 17582,,                534116,                 16791,,                              0.34,                              0.34,,                              0.33,                              0.33,,,                 47450,                -91074,                -23834,,                 80162,                 -4047
2515,2014年01月01日至2014年09月30日,,,,              7148783,              7148783,,              3949562,             11098345,,,              7982226,              7982226,              2182831,             10165057,                933288,                933288,,,                 48980,,                498006,,                 19626,                566612,                366676,,,                147889,,               -216495,,                 57037,,                -17314,               -142957,                223719,,               -144220,                367939,                367939,,,                 12956,               -246594,,                 27860,               -205778,               -205778,                162161,,                353439,                 14500,,                151216,                 10945,,                              0.23,                              0.23,,                              0.22,                              0.22,,,,,,,,
2515,2014年01月01日至2014年06月30日,,,,              5046595,              5046595,,              1197372,              6243967,,,              4867444,              4867444,                948050,              5815494,                428473,                428473,,,                 33587,,                325278,,                 12976,                371841,                 56632,,,                 93587,,                -31731,,                 40298,,                  6150,                 27708,                 84340,,                 27699,                 56641,                 56641,,,                 -6237,                -79397,,                 -1416,                -87050,                -87050,                -30409,,                 48558,                  8083,,                -37152,                  6743,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,
