證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　　 股利收入,　　 稀釋繼續營業單位淨利（淨損）
1467,2013年第2季,,              1637830,,              1338284,                299546,                299546,,                265320,                 34226,,,,                  1096,                  8513,                  9609,,                  6440,,                 10409,                 10409,,                    693,                   -693,                  4947,                 39173,,                 12826,                 26347,                 26347,,,,,,               -171137,               -144790,,                 37121,                -10774,,               -131347,                -13443,,                              0.22,,                              0.22,,,               -171137,,,                              0.22,,                              0.22
1467,2013年度,,              7239346,,              5898819,              1340527,              1340527,,              1177538,                162989,,,,                  4210,,                 89525,,                -14275,,                 58903,                 58903,,,                 -1113,                 15234,                178223,,                 67192,                111031,                111031,,,,,,                -87594,                 23437,,                168707,                -57676,,                 48489,                -25052,,                              1.00,,                              1.00,                 85315,                 -1113,                -96166,                  8572,                              0,                              1.00,,
1467,2013年07月01日至2013年09月30日,,              2002696,,              1627379,                375317,                375317,,                298228,                 77089,,,,                  1013,,                  7628,,                  6491,,                 10941,                 10941,,,,                  3178,                 80267,,                 14375,                 65892,                 65892,,,,,,                -45018,                 20874,,                 69458,                 -3566,,                 25480,                 -4606,,                              0.41,,                              0.41,                  6615,,                -45018,,,,,
1467,2013年04月01日至2013年06月30日,,              1637830,,              1338284,                299546,                299546,,                265320,                 34226,,,,                  1096,,                  9609,,                  5747,,                 10409,                 10409,,,,                  4947,                 39173,,                 12826,                 26347,                 26347,,,,,,               -173923,               -147576,,                 37121,                -10774,,               -131347,                -16229,,                              0.22,,                              0.22,                  8513,,               -173923,,,,,
1467,2013年01月01日至2013年12月31日,,              7239346,,              5898819,              1340527,              1340527,,              1177538,                162989,,,,                  4210,,                 89525,,                -14275,,                 58903,                 58903,,,                 -1113,                 15234,                178223,,                 67192,                111031,                111031,,,,,,                -87594,                 23437,,                168706,                -57675,,                 48489,                -25052,,                              1.00,,                              1.00,                 85315,                 -1113,                -96166,                  8572,,,,
1467,2013年01月01日至2013年09月30日,,              5318766,,              4324843,                993923,                993923,,                841349,                152574,,,,                  3726,                 24535,                 28367,,                 33689,,                 32728,                 32728,,                    464,                   -464,                 28864,                181438,,                 47088,                134350,                134350,,,,,,                -94625,                 39725,,                161216,                -26866,,                 39700,                     25,,                              0.96,,                              0.96,,,                -94625,,,                              0.96,                    106,                              0.96
1467,2013年01月01日至2013年06月30日,,              3316070,,              2697464,                618606,                618606,,                543121,                 75485,,,,                  2713,                 18026,                 20739,,                 27068,,                 21787,                 21787,,                    334,                   -334,                 25686,                101171,,                 32713,                 68458,                 68458,,,,,,                -46821,                 21637,,                 91759,                -23301,,                 14220,                  7417,,                              0.55,,                              0.54,,,                -46821,,,                              0.55,,                              0.54
1467,2013年01月01日至2013年03月31日,,              1678240,,              1359180,                319060,                319060,,                277801,                 41259,,,,                  1617,                  9513,                 11130,,                 20628,,                 11378,                 11378,,,                    359,                 20739,                 61998,,                 19887,                 42111,                 42111,,,,,,                124316,                166427,,                 54638,                -12527,,                145567,                 20860,,                              0.32,,,,                    359,                124316,,,,,
1467,2012年07月01日至2012年09月30日,,              2032407,,              1665334,                367073,                367073,,                290329,                 76744,,,,                    724,,                 20921,,                -23227,,                 18498,                 18498,,,,                -20804,                 55940,,                 14761,                 41179,                 41179,,,,,,                -13426,                 27753,,                 57287,                -16108,,                 49481,                -21728,,                              0.34,,                              0.34,                 20197,,                -13426,,,,,
1467,2012年04月01日至2012年06月30日,,              1652456,,              1405557,                246899,                246899,,                282706,                -35807,,,,                  5020,,                  8284,,                255003,,                  8638,                  8638,,,,                254649,                218842,,                 55773,                163069,                163069,,,,,,                -37736,                125333,,                 55802,                107267,,                 13035,                112298,,                              0.34,,                              0.33,                  3264,,                -37736,,,,,
1467,2012年01月01日至2012年12月31日,,              7110483,,              5957142,              1153341,              1153341,,              1125162,                 28179,,,,                  6084,,                114709,,                155286,,                 61615,                 61615,,,                   -502,                207878,                236057,,                  6173,                229884,                229884,,,,,,               -101019,                128865,,                187415,                 42469,,                 97080,                 31785,,                              1.11,,                              1.11,                108625,                   -502,                -84629,                -16390,,,,
1467,2012年01月01日至2012年09月30日,,              5255888,,              4386862,                869026,                869026,,                839390,                 29636,,,,                  7470,,                 43013,,                282244,,                 40553,                 40553,,,,                284704,                314340,,                 70237,                244103,                244103,,,,,,                -81429,                162674,,                163305,                 80798,,                 93493,                 69181,,                              0.97,,                              0.97,                 35543,,                -81429,,,,,
1467,2012年01月01日至2012年06月30日,,              3223481,,              2721528,                501953,                501953,,                549061,                -47108,,,,                  6746,,                 22092,,                305471,,                 22055,                 22055,,,,                305508,                258400,,                 55476,                202924,                202924,,,,,,                -68003,                134921,,                106017,                 96907,,                 44012,                 90909,,                              0.64,,                              0.64,                 15346,,                -68003,,,,,
1467,2012年01月01日至2012年03月31日,,              1571024,,              1315971,                255053,                255053,,                266354,                -11301,,,,                  1726,,                 13808,,                 50468,,                 13417,                 13417,,,,                 50859,                 39558,,                   -298,                 39856,                 39856,,,,,,                -30267,                  9589,,                 50216,                -10360,,                 30978,                -21389,,                              0.30,,,                 12082,,                -30267,,,,,
