證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 停業單位淨利（淨損）
1590,2015年第3季,,,,              2324960,              2324960,              2324960,              2324960,,,              1148352,              1148352,              1148352,              1176608,                              0,                              0,              1176608,,,                382007,,                168163,,                 76402,                626572,                550036,,,                  5206,                  5206,,               -117254,,                 23987,               -136035,                414001,,                155158,                258843,                258843,,,                405605,                405605,,                -52472,                -52472,                353133,                611976,,                259273,                   -430,,                612483,                   -507,,                              1.45,                              1.45,,                              1.45,                              1.45,,,,,
1590,2015年第2季,,,,,,              2440755,              2440755,,,,              1171328,              1171328,              1269427,,,              1269427,,,                360301,,                187250,,                 70384,                617935,                651492,,,                  8083,                  8083,,                 69567,,                 20414,                 57236,                708728,,                150461,                558267,                558267,,,               -154170,               -154170,,                 25424,                 25424,               -128746,                429521,,                555171,                  3096,,                426416,                  3105,,                              3.10,                              3.10,,                              3.09,                              3.09,,,,,
1590,2015年01月01日至2015年09月30日,,,,              6632907,              6632907,              6632907,              6632907,,,              3185556,              3185556,              3185556,              3447351,                              0,                              0,              3447351,,,              1089865,,                518765,,                223107,              1831737,              1615614,,,                 20600,                 20600,,                -82330,,                 64286,               -126016,              1489598,,                423105,              1066493,              1066493,,,                156717,                156717,,                -30896,                -30896,                125821,              1192314,,              1061312,                  5181,,              1187157,                  5157,,                              5.93,                              5.93,,                              5.92,                              5.92,,,,,
1590,2015年01月01日至2015年06月30日,,,,,,              4307947,              4307947,,,,              2037204,              2037204,              2270743,,,              2270743,,,                707858,,                350602,,                146705,              1205165,              1065578,,,                 15394,                 15394,,                 34924,,                 40299,                 10019,              1075597,,                267947,                807650,                807650,,,               -248888,               -248888,,                 21576,                 21576,               -227312,                580338,,                802039,                  5611,,                574674,                  5664,,                              4.48,                              4.48,,                              4.47,                              4.47,,,,,
1590,2015年01月01日至2015年03月31日,,,,,,              1867192,              1867192,,,,                865876,                865876,              1001316,,,              1001316,,,                347557,,                163352,,                 76321,                587230,                414086,,,,                  7311,,                -34643,,                 19885,                -47217,                366869,,                117486,                249383,                249383,,,                -94718,                -94718,,                 -3848,                 -3848,                -98566,                150817,,                246868,                  2515,,                148258,                  2559,,,                              1.45,,,                              1.45,,,,,
1590,2014年第3季,,,,              2133792,              2133792,              2133792,              2133792,,,                996020,                996020,                996020,              1137772,                              0,                              0,              1137772,,,                329484,,                175148,,                 83085,                587717,                550055,,,                  4528,                  4528,,                   -312,,                 27093,                -22877,                527178,,                147782,                379396,                379396,,,                230362,                230362,,                -40764,                -40764,                189598,                568994,,                377960,                  1436,,                567795,                  1199,,                              2.11,                              2.11,,                              2.11,                              2.11,,,,,
1590,2014年第2季,,,,,,              2369569,              2369569,,,,              1034830,              1034830,              1334739,,,              1334739,,,                341158,,                173724,,                 66845,                581727,                753012,,,                  4095,                  4095,,                 59558,,                 20974,                 42679,                795691,,                174526,                621165,                621165,,,               -145060,               -145060,,                 26850,                 26850,               -118210,                502955,,                615060,                  6105,,                497071,                  5884,,                              3.44,                              3.44,,                              3.43,                              3.43,,,,,
1590,2014年度,,,,,,              8378961,              8378961,,,,              3775784,              3775784,              4603177,,,              4603177,,,              1234776,,                693457,,                286026,              2214259,              2388918,,,                 18228,                 18228,,                 50661,,                 69265,                   -376,              2388542,,                602430,              1786112,              1786112,,,,,,,,                312925,              2099037,,              1770731,                 15381,,              2080041,                 18996,,                             10.39,                             10.39,,                             10.37,                             10.37,                304087,                  8838,,,
1590,2014年01月01日至2014年09月30日,,,,              6334981,              6334981,              6334981,              6334981,,,              2831243,              2831243,              2831243,              3503738,                              0,                              0,              3503738,,,                939996,,                495509,,                206735,              1642240,              1861498,,,                 12909,                 12909,,                 54127,,                 65572,                  1464,              1862962,,                476603,              1386359,              1386359,,,                 44389,                 44389,,                   -248,                   -248,                 44141,              1430500,,              1374515,                 11844,,              1419098,                 11402,,                              7.68,                              7.68,,                              7.67,                              7.67,,,,,
1590,2014年01月01日至2014年06月30日,,,,,,              4201189,              4201189,,,,              1835223,              1835223,              2365966,,,              2365966,,,                610512,,                320361,,                123650,              1054523,              1311443,,,                  8381,                  8381,,                 54439,,                 38479,                 24341,              1335784,,                328821,              1006963,              1006963,,,               -185973,               -185973,,                 40516,                 40516,               -145457,                861506,,                996555,                 10408,,                851303,                 10203,,                              5.57,                              5.57,,                              5.56,                              5.56,,,,,
