證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銷貨收入,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）
3579,2015年第3季,,,,              3892888,                 38863,                    888,              3853137,              3853137,,              3932708,                -79571,                -79571,,,                 36330,,                129801,,                 28816,                194947,               -274518,,,                 22605,,               -265648,,                 69174,,                -11433,               -323650,               -598168,,                  9108,               -607276,               -607276,,,                              0,                              0,,                 84786,                -94620,,                    307,                 14413,                -23940,                -23940,               -631216,,               -186139,                              0,               -421137,,               -232598,                              0,               -398618,,                             -1.61,,,,,,,,,
3579,2015年第2季,,,,              3537647,                 42857,                  2862,              3491928,              3491928,,              3924011,               -432083,               -432083,,,                 23401,,                116450,,                 32886,                172737,               -604820,,,                 11295,,                 45206,,                 66239,,                  2318,                 -7420,               -612240,,                  2362,               -614602,               -614602,,,                              0,                              0,,                -28927,                -67729,,                   -655,                 -4917,                -92394,                -92394,               -706996,,               -193438,                              0,               -421164,,               -251513,                              0,               -455483,,                             -1.67,,,,,,,,,
3579,2015年01月01日至2015年09月30日,,,,             11574988,                 81736,                  5970,             11487282,             11487282,,             12268986,               -781704,               -781704,,,                 83531,,                368832,,                 91833,                544196,             -1325900,,,                 68245,,               -154394,,                214351,,                -13563,               -314063,             -1639963,,                 13230,             -1653193,             -1653193,,,                              0,                              0,,                 10205,               -201391,,                 -1272,                  1735,               -194193,               -194193,             -1847386,,               -486010,                              0,             -1167183,,               -651578,                              0,             -1195808,,                             -4.20,,,,,,,,,
3579,2015年01月01日至2015年06月30日,,,,              7682100,                 42873,                  5082,              7634145,              7634145,,              8336278,               -702133,               -702133,,,                 47201,,                239031,,                 63017,                349249,             -1051382,,,                 45640,,                111254,,                145177,,                 -2130,                  9587,             -1041795,,                  4122,             -1045917,             -1045917,,,                              0,                              0,,                -74581,               -106771,,                 -1579,                -12678,               -170253,               -170253,             -1216170,,               -299871,                              0,               -746046,,               -418980,                              0,               -797190,,                             -2.59,,,,,,,,,
3579,2015年01月01日至2015年03月31日,,,,              4144453,                     16,                  2220,              4142217,              4142217,,              4412267,               -270050,               -270050,,,                 23800,,                122581,,                 30131,                176512,               -446562,,,                 34345,,                 66048,,                 78938,,                 -4448,                 17007,               -429555,,                  1760,               -431315,               -431315,,,,,,                -45654,                -39042,,                   -924,                 -7761,                -77859,                -77859,               -509174,,               -106433,                              0,               -324882,,               -167467,                              0,               -341707,,                             -0.92,,,,,,,,,
3579,2014年第3季,,,,              3970351,                              0,                    581,              3969770,              3969770,,              4306023,               -336253,               -336253,,,                 23847,,                141744,,                 37000,                202591,               -538844,,,                 13647,,                -52649,,                 77074,,                 -5153,               -121229,               -660073,,                -18683,               -641390,               -641390,,,                              0,                              0,,                 54272,                -39530,,                 22064,                 12994,                 23812,                 23812,               -617578,,               -155330,                              0,               -486060,,               -160760,                              0,               -456818,,                             -1.35,,,,,,,,,
3579,2014年第2季,,,,              3633002,                     16,                  1031,              3631955,              3631955,,              3740191,               -108236,               -108236,,,                 14326,,                124577,,                 28807,                167710,               -275946,,,                 17194,,                 81366,,                 60155,,                     14,                 38419,               -237527,,                 -1411,               -236116,               -236116,,,                              0,                              0,,                -58919,                -13276,,                 -4701,                -10581,                -66315,                -66315,               -302431,,                -49218,                              0,               -186898,,                -81037,                              0,               -221394,,                             -0.43,,,,,,,,,
3579,2014年度,,,,             16060794,                 95616,                 16996,             15948182,             15948182,,             16471289,               -523107,               -523107,,,                 96821,,                486266,,                120539,                703626,             -1226733,,,                 51265,,               -686725,,                288061,,                 -5833,               -929354,             -2156087,,                 11040,             -2167127,             -2167127,,,,,,,,,,,,                101674,             -2065453,,               -567121,                              0,             -1600006,,               -517255,                              0,             -1548198,,                             -4.91,                168919,                -54327,                 -4311,,                 22672,                 31279,,,
3579,2014年01月01日至2014年09月30日,,,,             11575653,                  2911,                  1761,             11570981,             11570981,,             11810911,               -239930,               -239930,,,                 74442,,                381919,,                 92143,                548504,               -788434,,,                 37908,,                -59853,,                194257,,                 -4866,               -221068,             -1009502,,                 22926,             -1032428,             -1032428,,,                              0,                              0,,                 33015,                -45393,,                 18628,                  8816,                 -2566,                 -2566,             -1034994,,               -250288,                              0,               -782140,,               -258397,                              0,               -776597,,                             -2.17,,,,,,,,,
3579,2014年01月01日至2014年06月30日,,,,              7605302,                  2911,                  1180,              7601211,              7601211,,              7504888,                 96323,                 96323,,,                 50595,,                240175,,                 55143,                345913,               -249590,,,                 24261,,                 -7204,,                117183,,                    287,                -99839,               -349429,,                 41609,               -391038,               -391038,,,                              0,                              0,,                -21257,                 -5863,,                 -3436,                 -4178,                -26378,                -26378,               -417416,,                -94958,                              0,               -296080,,                -97637,                              0,               -319779,,                             -0.82,,,,,,,,,
3579,2014年01月01日至2014年03月31日,,,,              3972300,                  2895,                    149,              3969256,              3969256,,              3764697,                204559,                204559,,,                 36269,,                115598,,                 26336,                178203,                 26356,,,                  7067,,                -88570,,                 57028,,                    273,               -138258,               -111902,,                 43020,               -154922,               -154922,,,,,,                 37662,                  7413,,                  1265,                  6403,                 39937,                 39937,               -114985,,                -45740,                              0,               -109182,,                -16600,                              0,                -98385,,                             -0.40,,,,,,,,,
3579,2013年第3季,,,,              3589405,                 19128,                    556,              3569721,              3569721,,              3861763,               -292042,               -292042,,,                 19347,,                114013,,                 25384,                158744,               -450786,,,                 13021,,                 79180,,                 73672,,                  2060,                 20589,               -430197,,                 42736,               -472933,               -472933,,,,,,,,,,,,                -40295,               -513228,,               -144039,                              0,               -328894,,               -166149,                              0,               -347079,,                             -1.25,                -27622,                -16765,,,                   -604,                 -4696,              3589405,,
3579,2013年第2季,,,,              3417317,                    -60,                  4027,              3413350,              3413350,,              3887325,               -473975,               -473975,,,                 16477,,                107363,,                 16608,                140448,               -614423,,,                 16080,,                 84147,,                 80068,,                -21636,                 -1477,               -615900,,                -20729,               -595171,               -595171,,,,,,,,,,,,                 88440,               -506731,,               -144313,                  2085,               -452943,,               -126651,                  2085,               -382165,,                             -1.25,                 57200,                 39747,,,                  1474,,,                 -9981,
3579,2013年度,,,,             13951131,                 58855,                  6646,             13885630,             13885630,,             15390879,             -1505249,             -1505249,,,                 71928,,                430925,,                115775,                618628,             -2123877,,,                 95103,,                -65235,,                282091,,                -32684,               -284907,             -2408784,,                 43052,             -2451836,             -2451836,,,,,,,,,,,,                148373,             -2303463,,               -644435,                 -3427,             -1803974,,               -600164,                 -3427,             -1699872,,                             -5.57,                132115,                  2638,                 22907,,                  9096,                 18383,,,
3579,2013年07月01日至2013年09月30日,,,,              3589405,                 19128,                    556,              3569721,              3569721,,              3861763,               -292042,               -292042,,,                 19347,,                114013,,                 25384,                158744,               -450786,,,                 13021,,                 79180,,                 73672,,                  2060,                 20589,               -430197,,                 42736,               -472933,               -472933,,,,,,,,,,,,                -40295,               -513228,,               -144039,                              0,               -328894,,               -166149,                              0,               -347079,,                             -1.25,                -27622,                -16765,,,                   -604,                 -4696,,,
3579,2013年04月01日至2013年06月30日,,,,              3290933,                              0,                  3967,              3286966,              3286966,,              3775920,               -488954,               -488954,,,                 14522,,                101625,,                 13600,                129747,               -618701,,,                 15590,,                 83507,,                 79295,,                -21636,                 -1834,               -620535,,                -20729,               -599806,               -599806,,,,,,,,,,,,                 88440,               -511366,,               -144313,,               -455493,,               -100688,,               -410678,,                             -1.25,                 57200,                 39747,,,                  1474,                  9981,,,                             -1.25
