證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益
2444,2015年第3季,,,,                421864,                421864,                421864,                421864,,,                356979,                356979,                356979,                 64885,                 64885,,,                  8457,,                 22146,,                 11175,                 41778,                 23107,,,,                    316,                    316,                    175,                  1251,                  1742,,                     48,                 20069,                 -2190,                  1138,                 16789,,                  3343,                  3343,                 15188,                 38295,,                              0,                 38295,,                              0,                 38295,                 38295,,                 38295,,                 38295,,                              0.45,                              0.45,,                              0.37,                              0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,2015年第2季,,,,                423556,                423556,                423556,                423556,,,                351462,                351462,                351462,                 72094,                 72094,,,                144651,,                 22398,,                 11505,                178554,               -106460,,,,                    468,                    468,                    325,                    308,                  1101,,                    572,                 -3848,                    240,                  2276,                 -5312,,                  1903,                  1903,                 -6114,               -112574,,                              0,               -112574,,                              0,               -112574,               -112574,,               -112574,,               -112574,,                             -1.32,                             -1.32,,                             -1.32,                             -1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,2015年01月01日至2015年09月30日,,,,              1204892,              1204892,              1204892,              1204892,,,                998373,                998373,                998373,                206519,                206519,,,                162138,,                 66957,,                 33704,                262799,                -56280,,,,                  1021,                  1021,                    825,                  1848,                  3694,,                  1970,                 11329,                 -1950,                  3528,                  7821,,                  6721,                  6721,                  4794,                -51486,,                              0,                -51486,,                              0,                -51486,                -51486,,                -51486,,                -51486,,                             -0.60,                             -0.60,,                             -0.60,                             -0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,2015年01月01日至2015年06月30日,,,,                783028,                783028,                783028,                783028,,,                641394,                641394,                641394,                141634,                141634,,,                153681,,                 44811,,                 22529,                221021,                -79387,,,,                    705,                    705,                    650,                    597,                  1952,,                  1922,                 -8740,                    240,                  2390,                 -8968,,                  3378,                  3378,                -10394,                -89781,,                              0,                -89781,,                              0,                -89781,                -89781,,                -89781,,                -89781,,                             -1.05,                             -1.05,,                             -1.05,                             -1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,2015年01月01日至2015年03月31日,,,,                434547,                434547,                434547,                434547,,,                365007,                365007,                365007,                 69540,                 69540,,,                  9030,,                 22413,,                 11024,                 42467,                 27073,,,,                    237,                    237,                    325,                    289,                    851,,                  1350,                 -4892,,                    114,                 -3656,,                  1475,                  1475,                 -4280,                 22793,,                              0,                 22793,,                              0,                 22793,                 22793,,                 22793,,                 22793,,                              0.27,                              0.27,,                              0.27,                              0.27,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,
2444,2014年第3季,,,,                387932,                387932,                387932,                387932,,,                339116,                339116,                339116,                 48816,                 48816,,,                 12954,,                 26420,,                 13397,                 52771,                 -3955,,,,                    268,                    268,                    305,                    860,                  1433,,                              0,                  8391,                              0,                              0,                  8391,,                  1969,                  1969,                  7855,                  3900,,                              0,                  3900,,                              0,                  3900,                  3900,,                  3900,,                  3900,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,2014年第2季,,,,                431320,                431320,                431320,                431320,,,                374148,                374148,                374148,                 57172,                 57172,,,                 10181,,                 23648,,                 12214,                 46043,                 11129,,,,                    384,                    384,                    314,                  2081,                  2779,,                              0,                 -8103,                              0,                      9,                 -8112,,                  2096,                  2096,                 -7429,                  3700,,                              0,                  3700,,                              0,                  3700,                  3700,,                  3700,,                  3700,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,2014年度,,,,              1632704,              1632704,              1632704,              1632704,,,              1393189,              1393189,              1393189,                239515,                239515,,,                 46917,,                110674,,                 51955,                209546,                 29969,,,,,,,,                  9694,,,,,,                 16804,,                  8015,                  8015,                 18483,                 48452,,                              0,                 48452,,                              0,                 48452,                 48551,,                 48452,,                 48551,,                              0.57,                              0.57,,                              0.56,                              0.56,,,,,,,,,,,,,,,,,,,,,,,,,,                     99,                              0,                              0,                              0,                     99
2444,2014年01月01日至2014年09月30日,,,,              1169027,              1169027,              1169027,              1169027,,,              1004124,              1004124,              1004124,                164903,                164903,,,                 32808,,                 74266,,                 36279,                143353,                 21550,,,,                  1253,                  1253,                    932,                  4317,                  6502,,                    600,                  8060,                              0,                     73,                  8587,,                  6077,                  6077,                  9012,                 30562,,                              0,                 30562,,                              0,                 30562,                 30562,,                 30562,,                 30562,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,2014年01月01日至2014年06月30日,,,,                781095,                781095,                781095,                781095,,,                665008,                665008,                665008,                116087,                116087,,,                 19854,,                 47846,,                 22882,                 90582,                 25505,,,,                    985,                    985,                    627,                  3457,                  5069,,                    600,                   -331,                              0,                     73,                    196,,                  4108,                  4108,                  1157,                 26662,,                              0,                 26662,,                              0,                 26662,                 26662,,                 26662,,                 26662,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
