證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 加工成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
4141,2014年01月01日至2014年03月31日,,,              1954401,,,                 14744,                 14744,              1969145,,,              1177641,,                 11116,                 11116,              1188757,                780388,                780388,,,                315193,,                300245,,                 71923,                687361,,                              0,                 93027,,,                 14408,                 14408,,                101081,,                 52654,                 62835,                155862,,                 80554,                 75308,                 75308,,,                 82528,                 82528,,                -71141,                -71141,                 11387,                 86695,,                 75308,                              0,                              0,,                 86695,                              0,                              0,,                              0.54,                              0.54,,                              0.54,                              0.54,
4141,2013年第3季,,,              2129231,,,                 50448,                 50448,              2179679,,,              1300810,,                 41848,                 41848,              1342658,                837021,                837021,,,                347943,,                244945,,                 75868,                668756,,                              0,                168265,,,                 21146,                 21146,,                 79888,,                 62006,                 39028,                207293,,                 19527,                187766,                187766,,,,,,,,                -89106,                 98660,,                187766,                              0,                              0,,                 98660,                              0,                              0,,                              1.43,                              1.43,,                              1.38,                              1.38,                -89106
4141,2013年第2季,,,              1941973,,,                  9574,                  9574,              1951547,,,              1204398,,                  4957,                  4957,              1209355,                742192,                742192,,,                372972,,                205974,,                 79760,                658706,,                              0,                 83486,,,                 23167,                 23167,,                -81781,,                 57932,               -116546,                -33060,,                  2828,                -35888,                -35888,,,,,,,,                 11558,                -24330,,                -35888,                              0,                              0,,                -24330,                              0,                              0,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,                 11558
4141,2013年度,,,              8576454,,,                 81092,                 81092,              8657546,,,              5297841,,                 63317,                 63317,              5361158,              3296388,              3296388,,,              1487532,,                836759,,                292254,              2616545,,                              0,                679843,,,                 68014,                 68014,,               -112076,,                213625,               -257687,                422156,,                 78080,                344076,                344076,,,,,,,,                114911,                458987,,                344076,                              0,                              0,,                458987,                              0,                              0,,                              2.70,                              2.70,,                              2.67,                              2.67,                114911
4141,2013年07月01日至2013年09月30日,,,              2129231,,,                 50448,                 50448,              2179679,,,              1300810,,                 41848,                 41848,              1342658,                837021,                837021,,,                347943,,                244945,,                 75868,                668756,,                              0,                168265,,,                 21146,                 21146,,                 79888,,                 62006,                 39028,                207293,,                 19527,                187766,                187766,,,,,,,,                -89106,                 98660,,                187766,                              0,                              0,,                 98660,                              0,                              0,,                              1.43,                              1.43,,                              1.38,                              1.38,                -89106
4141,2013年04月01日至2013年06月30日,,,              1941973,,,                  9574,                  9574,              1951547,,,              1204398,,                  4957,                  4957,              1209355,                742192,                742192,,,                372972,,                205974,,                 79760,                658706,,                              0,                 83486,,,                 23167,                 23167,,                -81781,,                 57932,               -116546,                -33060,,                  2828,                -35888,                -35888,,,,,,,,                 11558,                -24330,,                -35888,                              0,                              0,,                -24330,                              0,                              0,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,                 11558
4141,2013年01月01日至2013年12月31日,,,              8576454,,,                 81092,                 81092,              8657546,,,              5297841,,                 63317,                 63317,              5361158,              3296388,              3296388,,,              1487532,,                836759,,                292254,              2616545,,                              0,                679843,,,                 68014,                 68014,,               -112076,,                213625,               -257687,                422156,,                 78080,                344076,                344076,,,,,,,,                114911,                458987,,                344076,                              0,                              0,,                458987,                              0,                              0,,                              2.70,                              2.70,,                              2.67,                              2.67,                114911
4141,2013年01月01日至2013年09月30日,,,              5622914,,,                 75729,                 75729,              5698643,,,              3473495,,                 59248,                 59248,              3532743,              2165900,              2165900,,,              1052225,,                652386,,                215120,              1919731,,                              0,                246169,,,                 53385,                 53385,,                -16803,,                166975,               -130393,                115776,,                 57416,                 58360,                 58360,,,,,,,,                 63438,                121798,,                 58360,                              0,                              0,,                121798,                              0,                              0,,                              0.46,                              0.46,,                              0.46,                              0.46,                 63438
4141,2013年01月01日至2013年06月30日,,,              3493683,,,                 25281,                 25281,              3518964,,,              2172685,,                 17400,                 17400,              2190085,              1328879,              1328879,,,                704282,,                407441,,                139252,              1250975,,                              0,                 77904,,,                 32239,                 32239,,                -96691,,                104969,               -169421,                -91517,,                 37889,               -129406,               -129406,,,,,,,,                152544,                 23138,,               -129406,                              0,                              0,,                 23138,                              0,                              0,,                             -1.05,                             -1.05,,                             -1.05,                             -1.05,                152544
4141,2013年01月01日至2013年03月31日,,,              1551710,,,                 15707,                 15707,              1567417,,,                968287,,                 12443,                 12443,                980730,                586687,                586687,,,                331310,,                201467,,                 59492,                592269,,                              0,                 -5582,,,                  9072,                  9072,,                -14910,,                 47037,                -52875,                -58457,,                 35061,                -93518,                -93518,,,,,,,,                140986,                 47468,,                -93518,                              0,                              0,,                 47468,                              0,                              0,,                             -0.78,                             -0.78,,                             -0.78,                             -0.78,                140986
4141,2012年07月01日至2012年09月30日,,,              1838453,,,                 55688,                 55688,              1894141,,,              1138588,,                 35813,                 35813,              1174401,                719740,                719740,,,                371948,,                188134,,                 44284,                604366,,                              0,                115374,,,                 44162,                 44162,,                -10981,,                 43763,                -10582,                104792,,                -20188,                124980,                124980,,,,,,,,                -96153,                 28827,,                124980,                              0,                              0,,                 28827,                              0,                              0,,                              1.04,                              1.04,,                              1.04,                              1.04,                -96153
4141,2012年04月01日至2012年06月30日,,,              2063407,,,                    480,                    480,              2063887,,,              1294471,,                    849,                    849,              1295320,                768567,                768567,,,                322971,,                170690,,                 19563,                513224,,                              0,                255343,,,                 11125,                 11125,,               -135578,,                 38066,               -162519,                 92824,,                 32924,                 59900,                 59900,,,,,,,,                 45462,                105362,,                 59900,                              0,                              0,,                105362,                              0,                              0,,                              0.51,                              0.51,,                              0.51,                              0.51,                 45462
4141,2012年01月01日至2012年12月31日,,,              7779626,,,                 46808,                 46808,              7826434,,,              4709647,,                 25238,                 25238,              4734885,              3091549,              3091549,,,              1319216,,                740778,,                183551,              2243545,,                              0,                848004,,,                101495,                101495,,               -152938,,                176768,               -228211,                619793,,                107156,                512637,                512637,,,,,,,,               -127411,                385226,,                512637,                              0,                              0,,                385226,                              0,                              0,,                              4.43,                              4.43,,                              4.42,                              4.42,               -127411
4141,2012年01月01日至2012年09月30日,,,              5284091,,,                 63164,                 63164,              5347255,,,              3287961,,                 43289,                 43289,              3331250,              2016005,              2016005,,,                937223,,                521332,,                111527,              1570082,,                              0,                445923,,,                 68082,                 68082,,                -98672,,                124508,               -155098,                290825,,                 33230,                257595,                257595,,,,,,,,               -127690,                129905,,                257595,                              0,                              0,,                129905,                              0,                              0,,                              2.25,                              2.25,,                              2.25,                              2.25,               -127690
4141,2012年01月01日至2012年06月30日,,,              3445638,,,                  7476,                  7476,              3453114,,,              2149373,,                  7476,                  7476,              2156849,              1296265,              1296265,,,                565275,,                333198,,                 67243,                965716,,                              0,                330549,,,                 23920,                 23920,,                -87691,,                 80745,               -144516,                186033,,                 53418,                132615,                132615,,,,,,,,                -31537,                101078,,                132615,                              0,                              0,,                101078,                              0,                              0,,                              1.19,                              1.19,,                              1.19,                              1.19,                -31537
4141,2012年01月01日至2012年03月31日,,,              1382231,,,                  6996,                  6996,              1389227,,,                854902,,                  6627,                  6627,                861529,                527698,                527698,,,                242304,,                162508,,                 47680,                452492,,,                 75206,,,                 12795,                 12795,,                 47887,,                 42679,                 18003,                 93209,,                 20494,                 72715,                 72715,,,,,,,,                -76999,                 -4284,,                 72715,,                              0,,                 -4284,,                              0,,                              0.69,                              0.69,,                              0.68,                              0.68,                -76999
